epoch,total_loss,recon_loss,reg_loss,lr
1,0.31821,0.317474,0.000735,9.9999e-04
2,0.248784,0.247685,0.001099,9.9997e-04
3,0.232551,0.231443,0.001109,9.9996e-04
4,0.221834,0.220703,0.001131,9.9994e-04
5,0.214108,0.212934,0.001174,9.9993e-04
6,0.209926,0.208697,0.001228,9.9992e-04
7,0.206019,0.204771,0.001248,9.9990e-04
8,0.205005,0.203767,0.001238,9.9989e-04
9,0.204516,0.203213,0.001303,9.9988e-04
10,0.203501,0.20217,0.001332,9.9986e-04
11,0.20042,0.199114,0.001305,9.9985e-04
12,0.19934,0.198052,0.001288,9.9983e-04
13,0.198935,0.197651,0.001284,9.9982e-04
14,0.197642,0.196411,0.001231,9.9981e-04
15,0.196739,0.195535,0.001204,9.9979e-04
16,0.196489,0.195265,0.001223,9.9978e-04
17,0.19427,0.193059,0.001211,9.9976e-04
18,0.193128,0.191898,0.001231,9.9975e-04
19,0.192042,0.190795,0.001246,9.9974e-04
20,0.191605,0.190367,0.001238,9.9972e-04
21,0.192202,0.190959,0.001244,9.9971e-04
22,0.190645,0.189418,0.001227,9.9969e-04
23,0.188921,0.187682,0.001239,9.9968e-04
24,0.186628,0.185374,0.001254,9.9967e-04
25,0.185055,0.183768,0.001287,9.9965e-04
26,0.182249,0.180925,0.001324,9.9964e-04
27,0.181401,0.180062,0.001339,9.9963e-04
28,0.180528,0.179167,0.001362,9.9961e-04
29,0.179567,0.178194,0.001374,9.9960e-04
30,0.178444,0.177073,0.001371,9.9958e-04
31,0.178033,0.176659,0.001374,9.9957e-04
32,0.177192,0.175797,0.001395,9.9956e-04
33,0.179184,0.177773,0.001411,9.9954e-04
34,0.176747,0.175341,0.001406,9.9953e-04
35,0.176164,0.174749,0.001415,9.9951e-04
36,0.176346,0.174928,0.001418,9.9950e-04
37,0.17554,0.174118,0.001422,9.9949e-04
38,0.175188,0.173755,0.001433,9.9947e-04
39,0.174144,0.172711,0.001433,9.9946e-04
40,0.174095,0.172675,0.00142,9.9944e-04
41,0.173363,0.171931,0.001431,9.9943e-04
42,0.173373,0.171933,0.00144,9.9942e-04
43,0.17312,0.171678,0.001443,9.9940e-04
44,0.172671,0.171217,0.001453,9.9939e-04
45,0.171346,0.16988,0.001466,9.9938e-04
46,0.171033,0.169572,0.001461,9.9936e-04
47,0.171554,0.170092,0.001462,9.9935e-04
48,0.171007,0.169537,0.00147,9.9933e-04
49,0.170239,0.168757,0.001482,9.9932e-04
50,0.170484,0.169003,0.001481,9.9931e-04
