submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-3C-AAAU-01,-0.7477897,-0.5234394,0.2630071,-0.68196267,0.62407625,-0.10351616,-0.7754838,-1.3422828,0.65117896,-2.6297166,-0.11305615,-0.4720574,0.6657871,-2.1460857,0.49082345,1.3518224,0.21322665,0.5957156,-0.2871774,-0.13446939,1.1974092,0.06540355,-1.9954609,0.53572637,-1.0479392,0.44592005,-1.0839888,0.3139927,-0.5018942,0.14622672,1.4301871,0.043610036,0
TCGA-3C-AALI-01,0.45187694,-2.3092265,1.7427186,1.1705824,-0.3817899,-1.3442748,2.0117495,0.6314992,1.1234641,0.5177574,-0.11051768,1.670001,-1.3464708,0.83490884,-0.09915027,1.551909,0.49187297,0.3613162,-0.3670857,-0.9509002,1.7609382,-0.32032967,-0.5597101,-3.1166759,-1.8630381,-1.3834122,0.011514112,0.032361884,-0.48884726,1.3038223,-0.038955607,-1.8750191,0
TCGA-3C-AALJ-01,-0.048862517,0.40173838,1.5096076,-1.0224345,0.044738233,-0.42835397,-1.9151087,-0.6414351,-0.13015129,1.3300122,0.49178755,0.059397668,-1.46474,1.058398,-1.0758691,0.3953888,0.8712899,-0.37338167,-0.31679186,0.9038517,0.46529585,0.8269663,-0.4015756,-0.39767697,0.9997537,0.12279332,-0.49220747,0.60653335,-0.81941414,2.3411872,-0.24781173,-0.23121272,1
TCGA-3C-AALK-01,0.65038466,-0.22785497,-0.29664534,-0.2833907,-0.3607738,-0.45169923,-1.5247444,-0.88044286,-1.8755039,1.9432696,-0.7040501,0.07100999,0.16698521,-2.7370684,0.05181265,0.7254079,-2.7354364,-0.036623746,-0.88245726,-0.7643788,-1.6936163,-0.39036626,0.6560327,-1.1476262,0.13530762,-0.38519037,-0.91376406,-0.5198325,1.2548251,1.1715608,-0.76107734,-0.40176287,1
TCGA-4H-AAAK-01,0.804122,-0.819883,1.1631056,0.50575554,0.28248614,-0.87215745,-0.23923153,-0.7848638,-0.16408244,1.4438003,0.47568,-0.5849396,0.7457991,0.61696625,0.77762926,0.32322085,1.0157022,-0.6638733,-0.78762645,-0.11205123,-0.93714225,-1.3563243,0.37745422,0.103798784,1.4109548,-0.8243714,-0.3701832,0.104003124,-0.30122733,-0.29968208,-0.15449724,-0.8308547,1
TCGA-5L-AAT0-01,0.41994327,1.0014892,-2.963667,-1.6792164,1.0578539,-0.7316549,0.50830936,1.7331038,0.4669403,0.87686294,-1.6152267,0.32076946,0.73230505,-0.6785667,-0.4428426,-0.19328189,-0.85969245,-0.19498363,2.349,0.4800465,0.463701,-2.4020557,-0.40446597,-2.1809006,0.42575166,0.5069107,-0.39904016,-0.21417809,3.1893034,0.31843913,-0.95327616,0.7169671,1
TCGA-5L-AAT1-01,-1.5419021,-0.66666526,-0.9327548,-0.97725695,-1.2876071,-1.7954172,-0.14524908,-1.7328835,0.05515966,-0.6341627,0.8694496,2.0322554,0.51920027,0.6316563,0.44009107,-1.8855574,-0.033756863,-1.0908482,0.72823644,-0.8430456,-1.0848562,-0.59980047,0.2729252,1.2113168,1.448041,1.1703951,-0.072730355,0.7385812,-0.94098836,2.9411561,0.7445626,0.93928885,1
TCGA-5T-A9QA-01,-0.15938118,0.43646955,-0.7985746,-0.15360942,-0.5516968,0.11451167,-1.1434251,0.12909307,-2.599004,0.5411915,-1.0213735,0.52533895,0.28994557,-0.46252722,-0.24556977,1.9982082,-0.27440038,0.9955092,0.6141427,-0.4703052,0.86375546,0.7937348,1.4089316,-0.6239693,1.5002699,0.27832088,-0.14345485,1.0716469,1.8206503,0.5158271,-0.22408597,-1.0459192,1
TCGA-A1-A0SB-01,0.2866795,-0.748643,-0.19269553,-0.53186786,0.20203772,0.4111188,0.39945668,0.93425566,0.37005135,-0.48178178,1.1259118,-0.5738398,-0.61860543,0.6342213,-0.8670368,-0.048587024,-0.09179914,-0.0850889,-1.0919235,-1.5922594,0.31001958,2.0786028,-1.0033122,-0.9091455,0.34154725,0.13908136,-0.6922996,0.283413,0.119001046,-0.9230599,-0.08652392,1.0616891,1
TCGA-A1-A0SD-01,1.9849508,-0.24015751,-1.9576008,-0.07781464,0.516429,-0.70932615,-0.7623683,-2.0988955,-0.9240908,-0.9200157,1.2009889,-0.26779163,-1.2689472,-0.3104752,0.2037592,-1.1397911,1.1084957,0.9890349,0.26527303,-1.485743,-0.39000398,0.16323438,-1.9588306,-0.14677928,2.4213328,-0.22215533,-0.282018,-0.12861767,0.8296389,0.2801459,0.27756026,0.07238716,1
