epoch,total_loss,recon_loss,reg_loss,lr
1,0.448724,0.35898,0.089744,9.9999e-04
2,0.375046,0.31776,0.057286,9.9997e-04
3,0.344048,0.287408,0.05664,9.9996e-04
4,0.330211,0.268193,0.062018,9.9994e-04
5,0.287193,0.256492,0.030701,9.9993e-04
6,0.297617,0.248623,0.048994,9.9992e-04
7,0.286686,0.244372,0.042314,9.9990e-04
8,0.267975,0.240108,0.027867,9.9989e-04
9,0.285199,0.236143,0.049056,9.9988e-04
10,0.277452,0.234485,0.042968,9.9986e-04
11,0.272845,0.232389,0.040456,9.9985e-04
12,0.254495,0.230128,0.024367,9.9983e-04
13,0.268411,0.227986,0.040425,9.9982e-04
14,0.265993,0.225874,0.040119,9.9981e-04
15,0.279415,0.228513,0.050903,9.9979e-04
16,0.25438,0.224931,0.029448,9.9978e-04
17,0.266072,0.222842,0.043231,9.9976e-04
18,0.261204,0.222422,0.038782,9.9975e-04
19,0.26581,0.224264,0.041546,9.9974e-04
20,0.271108,0.222141,0.048968,9.9972e-04
21,0.278371,0.221681,0.05669,9.9971e-04
22,0.245815,0.217949,0.027866,9.9969e-04
23,0.25748,0.217959,0.039521,9.9968e-04
24,0.265307,0.21907,0.046238,9.9967e-04
25,0.254765,0.216671,0.038093,9.9965e-04
26,0.250949,0.216865,0.034084,9.9964e-04
27,0.233876,0.214674,0.019202,9.9963e-04
28,0.253146,0.213142,0.040003,9.9961e-04
29,0.246424,0.212542,0.033882,9.9960e-04
30,0.251201,0.210899,0.040302,9.9958e-04
31,0.231684,0.209427,0.022256,9.9957e-04
32,0.252623,0.210843,0.04178,9.9956e-04
33,0.242454,0.208163,0.034292,9.9954e-04
34,0.244623,0.208113,0.03651,9.9953e-04
35,0.245085,0.207304,0.037781,9.9951e-04
36,0.229703,0.206858,0.022845,9.9950e-04
37,0.242399,0.205706,0.036693,9.9949e-04
38,0.229326,0.206492,0.022834,9.9947e-04
39,0.237292,0.204267,0.033025,9.9946e-04
40,0.227306,0.203119,0.024187,9.9944e-04
41,0.247051,0.202575,0.044476,9.9943e-04
42,0.227663,0.201948,0.025715,9.9942e-04
43,0.24027,0.202997,0.037274,9.9940e-04
44,0.235023,0.20322,0.031803,9.9939e-04
45,0.233743,0.201685,0.032058,9.9938e-04
46,0.24194,0.200111,0.041828,9.9936e-04
47,0.250038,0.200618,0.04942,9.9935e-04
48,0.217007,0.199034,0.017973,9.9933e-04
49,0.251087,0.199933,0.051154,9.9932e-04
50,0.237304,0.199127,0.038177,9.9931e-04
