submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-3C-AAAU-01,-2.031231,1.2201096,1.929953,-0.91792315,0.0029646158,2.4393184,1.0282832,-0.04899703,0.35788122,-0.17162943,1.6845229,2.7469146,-2.0839987,-1.1580298,-0.14773998,1.5634464,-0.19064419,-0.4206207,0.5583745,-1.4814508,1.1089271,1.2342992,1.8411903,-2.388769,1.4244213,1.2739474,1.114395,-0.8011288,-0.23283121,1.2508875,0.6565919,-2.8403482,0
TCGA-3C-AALI-01,0.46621558,0.4515657,-1.0475324,-1.5315474,-1.5654725,-0.8165251,1.7470253,-0.9492399,1.8754208,-4.1865673,-1.6114277,0.64677846,-1.2351793,0.10126001,0.8923973,-1.7065567,2.0897365,-1.9424855,1.523667,0.425288,2.3650942,-2.1925368,2.4606016,-2.14435,0.17427911,-0.39807138,0.19937022,0.075682126,2.5770538,-0.12986235,-0.6569432,1.5551357,0
TCGA-3C-AALJ-01,2.021612,1.1287013,-3.1244013,-0.32438594,0.7907312,-2.7510834,-2.6038198,0.4702426,-2.5594444,-0.8253343,0.3697238,-1.081816,-0.49516064,0.8949735,0.3197489,1.482362,1.0659077,1.5941632,1.4491177,1.2967379,1.00835,-0.6405816,0.19752312,0.1524117,-2.7278106,-2.1257498,0.6176161,-0.15951556,-0.7574582,-1.0787528,0.37142494,3.8853476,1
TCGA-3C-AALK-01,2.157343,1.6887381,-2.4106195,-0.59889716,1.8438536,-2.9080284,1.4220767,-0.72530884,-0.59427357,-1.4600815,-0.630015,-0.5845505,-0.27739438,0.3178737,0.7316273,0.2525684,4.1872826,-0.72810763,0.20001325,1.4216739,-1.3287723,-1.7583153,0.32863456,0.9747573,-0.2590468,-0.9914496,0.4723279,-0.4271196,1.3802314,-1.2885132,-1.5694792,2.0933235,1
TCGA-4H-AAAK-01,2.0545523,0.086632006,-2.539002,-0.92895573,1.429072,-4.055184,0.6454307,-0.21256399,-0.47278357,-2.0352457,-0.15547016,-0.5194469,-0.6399525,0.4493091,1.2184683,0.22427523,3.2047436,0.24023865,0.7938646,1.6404779,-0.66723084,-1.102037,0.7070527,1.043269,-0.14975771,-2.1054091,-0.15649529,-1.0387155,0.40787244,-0.84442866,-1.9286854,3.877078,1
TCGA-5L-AAT0-01,0.6132704,-0.20439129,-0.79249793,-2.0933237,4.0374885,-0.31337187,-2.106466,-0.47428823,0.34211886,0.75108296,3.4265854,-0.77147496,0.4371034,-1.5055406,-2.3882878,3.721923,-0.118643165,-0.4937883,0.015843242,-0.9610836,-2.046535,2.4274657,-0.06314306,0.24856552,-1.8330152,1.0932767,0.9137306,-1.7815896,-0.64814097,1.0519699,1.1212896,-0.46407795,1
TCGA-5L-AAT1-01,1.9741598,0.8860375,-0.5457514,-1.0385826,3.5934477,-0.47582608,-2.2721493,0.56534886,-1.7211685,1.2966137,2.071751,-0.12957215,0.0670847,-1.0738311,-0.82795537,3.7263386,1.6625534,0.5621203,-1.1379646,-0.67260283,-0.9162124,0.6782389,-0.29994285,0.042836398,-1.432141,-0.0015370268,1.3177063,-1.0088017,-2.0361938,0.5531877,1.5509248,-0.49540213,1
TCGA-5T-A9QA-01,-0.86924917,0.30755568,-0.80617416,-1.2385525,-0.5072905,-0.6012084,2.2341404,-1.4206395,0.12672538,-1.0516089,-0.6611436,2.3477106,-2.5859563,0.6483366,0.7682545,-0.48920262,1.9007007,-0.3825522,1.5629394,0.7005905,0.63633704,0.43869665,0.9069386,-1.3011727,2.6943684,-0.44098428,0.22023095,-1.5566068,1.4283333,-0.43187708,-2.1101155,0.9561823,1
TCGA-A1-A0SB-01,2.2445166,-0.23520534,-0.07230937,-0.09603822,2.5387812,-0.69775116,-1.9122617,0.64409983,-1.2892647,1.2971556,2.7883468,-0.5705034,1.0348722,-1.519602,-0.98490614,3.685317,0.22989826,1.1501244,-1.4931523,-0.7256801,-0.66153604,0.17697787,-0.79672706,0.7053269,-2.3899517,-0.35328007,1.0067154,-0.1615579,-1.7921137,0.85242736,1.0683764,-0.624744,1
TCGA-A1-A0SD-01,1.7553521,-0.62406677,1.0269552,-0.38155192,1.8174888,-0.47803682,-0.9542875,0.38676992,-1.359512,0.4887088,2.85563,2.171333,-0.38237253,-0.8306197,-0.40553302,3.2461617,1.8129569,0.29264498,-0.5000039,0.5827316,-1.1600881,1.5091522,0.2870962,0.6634129,0.24039853,-0.6069142,0.17180696,-1.2761028,-2.3835137,0.25567985,-0.14020832,-0.50171936,1
TCGA-A1-A0SE-01,-1.5318055,-1.7988945,3.6724486,0.12374034,-0.6764976,1.0510626,0.18977362,0.74499434,1.376514,-1.1359828,1.0032773,2.9702036,-0.4183241,-1.1192762,-0.45930615,0.8461408,-1.2424072,-0.22299327,-0.32583073,-1.4286518,1.2341487,1.2435088,1.9911759,-1.6015338,0.65993756,1.4838499,0.65078545,0.3100316,-0.94479847,1.3815497,1.0555177,-2.5350592,1
TCGA-A1-A0SF-01,2.1129842,-1.412773,0.85761404,1.527457,1.5467962,-1.6689248,-1.0577798,0.22671065,-1.0090611,1.2726563,1.880304,0.19587249,1.484935,-1.1548755,-0.53739756,2.5372026,0.33693606,2.1764092,-1.5419312,-0.0037800372,-1.591459,0.49632868,-1.2487417,2.4819157,-0.74454963,-1.3785045,-0.4820228,0.38459837,-1.7983102,0.112383954,-0.93045104,-0.97947264,1
