epoch,total_loss,recon_loss,reg_loss,lr
1,0.809651,0.808906,0.000746,9.9999e-04
2,0.611732,0.610547,0.001185,9.9997e-04
3,0.57075,0.569536,0.001215,9.9996e-04
4,0.537983,0.536689,0.001293,9.9994e-04
5,0.525379,0.523989,0.00139,9.9993e-04
6,0.515798,0.514362,0.001435,9.9992e-04
7,0.507823,0.506367,0.001456,9.9990e-04
8,0.501804,0.500338,0.001466,9.9989e-04
9,0.494093,0.492662,0.001431,9.9988e-04
10,0.483362,0.481938,0.001424,9.9986e-04
11,0.473026,0.471541,0.001485,9.9985e-04
12,0.463299,0.461746,0.001553,9.9983e-04
13,0.456438,0.45483,0.001608,9.9982e-04
14,0.45431,0.452659,0.001651,9.9981e-04
15,0.450698,0.449035,0.001662,9.9979e-04
16,0.446783,0.445089,0.001694,9.9978e-04
17,0.445766,0.444039,0.001727,9.9976e-04
18,0.441302,0.439535,0.001767,9.9975e-04
19,0.439756,0.437942,0.001814,9.9974e-04
20,0.437825,0.435976,0.001849,9.9972e-04
21,0.432583,0.430731,0.001852,9.9971e-04
22,0.432354,0.430482,0.001872,9.9969e-04
23,0.43032,0.428449,0.001871,9.9968e-04
24,0.427914,0.426027,0.001887,9.9967e-04
25,0.427283,0.425368,0.001915,9.9965e-04
26,0.42559,0.423665,0.001925,9.9964e-04
27,0.424931,0.422973,0.001959,9.9963e-04
28,0.424419,0.42246,0.001959,9.9961e-04
29,0.42285,0.420866,0.001985,9.9960e-04
30,0.419961,0.417978,0.001983,9.9958e-04
31,0.418323,0.416322,0.002001,9.9957e-04
32,0.419665,0.417648,0.002017,9.9956e-04
33,0.417651,0.415641,0.00201,9.9954e-04
34,0.416943,0.414916,0.002026,9.9953e-04
35,0.417448,0.415409,0.002039,9.9951e-04
36,0.415462,0.413416,0.002046,9.9950e-04
37,0.415049,0.412989,0.002059,9.9949e-04
38,0.41475,0.412676,0.002074,9.9947e-04
39,0.41273,0.410638,0.002092,9.9946e-04
40,0.4117,0.40962,0.00208,9.9944e-04
41,0.412109,0.410019,0.00209,9.9943e-04
42,0.411194,0.409093,0.002101,9.9942e-04
43,0.411829,0.409727,0.002102,9.9940e-04
44,0.410286,0.408169,0.002118,9.9939e-04
45,0.409486,0.407381,0.002106,9.9938e-04
46,0.409424,0.407306,0.002119,9.9936e-04
47,0.40857,0.406446,0.002123,9.9935e-04
48,0.407812,0.405692,0.002119,9.9933e-04
49,0.407975,0.405858,0.002117,9.9932e-04
50,0.407721,0.40558,0.002142,9.9931e-04
