submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-3C-AAAU-01,0.82722056,-0.49673548,1.2083439,0.70890427,0.55366486,-0.3804534,-0.90894294,-1.6307217,-0.82961947,-0.55940413,1.784687,0.002388388,0.50400895,0.7225549,3.7835126,0.96640265,1.2289127,-0.28759634,-1.1965594,-0.29035184,0.62352705,-2.1925068,-1.0716124,0.59556663,0.32893428,-0.75155514,-0.10518048,-0.72943664,-0.3509719,1.5025206,-0.26818225,-0.8050945,0
TCGA-3C-AALI-01,-0.73937994,-1.6687027,-0.7067936,0.993425,-1.1805025,0.67944926,-0.28496075,0.80527806,0.32166195,-2.3840456,0.54296386,1.9239345,1.9083791,0.99289227,0.69330865,0.6709882,0.7570999,0.37572265,1.2435703,-0.6489058,1.0760105,-0.9929677,0.81501275,-1.174308,3.5787804,-1.1526124,-0.7077819,-1.4623268,1.7994391,-1.5093758,-0.02652973,0.01960747,0
TCGA-3C-AALJ-01,-0.8898977,0.5524336,1.307093,0.35915464,0.23300672,-0.620226,1.5790926,0.62909305,0.40400642,-0.19794175,-0.8412527,-1.4197204,-0.39913732,-0.10888481,-0.4969693,-1.5299363,-0.38454956,0.23043537,0.4680069,-0.74811196,-0.5548091,-0.4694959,0.2257855,-1.5505351,0.25235125,-0.983256,0.86026704,-1.6085429,-1.1654309,-1.0448005,-0.19154018,-0.22534274,1
TCGA-3C-AALK-01,-0.92276406,-1.633712,-0.42123425,1.0188,0.40514502,-0.86647016,-0.5049294,-0.6246678,0.31205785,-1.3229285,-1.233074,-1.0572726,1.5924716,-0.2750334,0.3923832,0.06606293,-0.52050555,1.419436,-0.17246082,1.043736,-0.7094128,0.8931452,-0.6484432,1.3717513,-0.37603998,-0.32869482,-0.55100197,-0.22823104,0.7947249,1.0096695,1.3226452,-0.7092749,1
TCGA-4H-AAAK-01,-0.9359369,1.4693166,0.09796581,0.08806661,1.6296759,-2.3310778,0.08733921,-0.7928293,0.26986814,-1.1272616,-0.91097236,-1.2456355,-0.31131428,-0.005855292,0.75683665,-0.12603807,-0.48081216,0.21345156,-0.5660341,-0.44684383,-0.87535363,-0.42029428,0.24491504,0.3647855,0.11476973,-0.07441372,1.8543899,-1.2308434,-0.25138137,0.123864196,1.2522928,-0.048490226,1
TCGA-5L-AAT0-01,2.2280164,-1.1469283,2.4019184,0.4909826,-0.81945366,-0.57457936,0.9578853,-0.4451465,-1.6848464,1.9485856,-0.81609076,-0.39761075,0.50119025,1.6174779,0.095335156,0.4931688,-0.46857744,-0.110606134,-0.69398713,0.45564854,0.24096882,-0.9781064,-0.19296765,0.03582672,2.250416,-0.20970005,-0.23066303,1.5668446,1.0514034,0.58460814,1.9122912,-0.7795458,1
TCGA-5L-AAT1-01,0.19842717,-1.2762264,0.86307335,1.1901884,-2.4418747,-0.09176779,-0.12179771,0.26780704,-0.4542448,1.0708354,-0.058449566,0.23494655,1.0013622,0.7615374,1.2954537,0.599529,0.46452487,-1.2156305,-0.83441675,1.592141,-0.17507353,-0.95889664,-0.10936156,-0.2872924,0.689601,-1.3202424,-1.218194,0.33450106,-0.30899,2.2402709,1.5685132,1.1161826,1
TCGA-5T-A9QA-01,-0.4633606,0.4212224,0.3553595,1.0365027,-1.2990046,-0.47860324,-0.41889694,-1.1557043,-0.7274747,-1.4357936,0.35740015,-0.2583428,1.571758,0.96548104,-0.51157105,0.4480285,-0.4275699,0.9272925,-0.62170553,1.4591184,0.45370704,-0.37251946,-0.8286782,0.255383,0.3986994,-0.820088,0.5015778,-1.6446435,0.13909471,-0.52281874,0.34468356,-0.72553676,1
TCGA-A1-A0SB-01,0.51855195,-0.08222583,-0.15061717,-0.19207737,-0.020930871,0.121031284,-0.15205614,-1.045514,-0.2636268,1.02366,-0.3262415,-0.21140862,-0.072864234,-0.18817586,0.7216405,1.0133872,-0.024147872,1.0247085,0.0031409562,0.8088072,-0.72919077,0.2636421,1.4786189,-1.7904786,-1.4104503,0.08424015,-0.90612483,0.58845824,0.6686886,-0.34418762,0.034418203,-0.15663034,1
TCGA-A1-A0SD-01,-0.040185966,-0.037549645,-0.0021359622,0.33092734,0.19393218,0.27960578,0.3479865,-0.7123587,-0.49849892,0.42442566,-0.79879,0.3009246,0.22204265,0.6610891,-0.5145531,-2.5937884,0.39787382,-0.19169088,0.030425265,-0.15101933,1.0014992,-0.48836502,0.14697874,0.22209671,0.13486463,-0.5999895,0.49507555,0.37063882,1.3810209,0.7051893,0.80773586,-0.74280554,1
