submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-3C-AAAU-01,0.4854442,1.6850964,1.2363403,0.6583647,0.90084505,0.4245507,1.238801,-0.8083694,1.5816268,0.5752559,0.49220896,0.7220308,-1.044554,-0.05360138,0.4712925,-0.7000305,-1.6830487,-1.2044959,-0.38940424,-0.71368456,0.7131082,1.5721717,-0.40618274,-0.2712996,-0.13915141,-0.86023974,0.63153344,-0.19857194,0.7213947,-0.35971865,-0.35431916,-0.5448507,0
TCGA-3C-AALI-01,1.4218602,0.030528791,-0.553473,-1.3307711,0.9921115,0.2778233,-1.2659488,1.3785176,1.3863496,0.18618529,1.3183095,0.3842218,-1.6604359,1.4845657,-0.18384996,-1.6072626,-1.5323266,0.03341505,-1.4656272,-0.48523292,-0.047438774,1.0570928,-0.5737132,-0.7129574,-1.8977942,0.5507136,-0.4866604,0.462951,-1.4870822,-1.4973925,-1.1388137,-1.0404038,0
TCGA-3C-AALJ-01,-0.4517723,-0.6670032,-0.5947502,-1.1036289,1.0007106,-0.59581614,1.0823348,-1.0783579,0.6229877,-0.719946,-1.256053,-0.050525002,0.8133693,1.0836595,0.7900767,0.2042658,0.09369539,-0.25905016,0.15614107,-0.6148915,0.44072762,-0.46422023,0.62462187,-1.6796128,-0.6010861,1.1555141,1.0251493,-0.62916464,-0.21485135,0.52341056,-1.3028274,-0.7964513,1
TCGA-3C-AALK-01,-0.5001729,0.5818555,0.67341167,-1.7371463,0.7801441,0.191326,-0.88648605,0.66119224,-0.041276187,1.6171166,1.1377202,1.6336352,-0.35917395,-0.5876119,1.010396,0.24111347,-0.4269159,0.49628818,-0.60994345,-1.1585739,-0.6778637,0.5225479,-1.0250776,1.2565928,1.2569069,-0.5722733,0.33803478,-0.4826905,-1.0356846,-1.7558236,-1.3707881,-0.4912988,1
TCGA-4H-AAAK-01,-0.889357,2.5572445,-0.0070161037,-1.404494,-1.726145,-1.2855049,0.18545103,-0.3303339,0.2598077,-1.5529106,0.8450038,0.75376606,0.16229686,0.9375854,1.9593745,-0.060149357,-0.9705201,0.78848624,0.13488846,1.2180585,1.2996786,-0.6711964,0.033788428,-1.4081898,0.95986444,-1.6255884,-0.974338,-1.1178002,0.6116625,0.07848942,-1.252551,-0.88606787,1
TCGA-5L-AAT0-01,-0.9845262,1.1072537,-0.89408004,-0.8614063,1.0264983,0.82223463,-2.895323,1.0258967,1.3080468,-1.91888,-0.37247851,-0.6426691,-1.8908302,-1.010696,0.016352171,0.21181718,-1.3212461,1.7271358,1.0348212,-0.31857297,0.5930442,-0.9192767,-0.6935042,0.623708,-1.0239373,1.7297654,0.8721059,-0.62546194,-1.0087775,0.83342457,0.26921797,0.3820366,1
TCGA-5L-AAT1-01,0.88001394,-1.1396204,-0.06733498,-0.12400724,-0.9750199,-1.1461028,-1.204363,1.2827662,-1.0491147,1.2439989,-1.1173744,-0.45410734,0.32287586,0.038950913,1.520692,1.2573621,-0.4829072,-0.61409026,2.3603117,0.66343254,1.5287026,-1.9748211,0.92559683,0.308121,-1.1354723,-0.17345488,-0.09912262,0.9670017,1.3976256,-1.147053,0.7104614,0.5161616,1
TCGA-5T-A9QA-01,0.31213462,0.25919563,-1.7198081,-1.9375488,1.7299474,0.45874435,-0.20576662,-1.3235437,-1.4466021,-0.062020622,-0.32629907,-0.5498737,-0.555412,0.54401976,0.68056434,0.029211434,0.16793555,1.2480165,0.17120413,0.7198739,-0.5046612,-1.0985423,0.116108805,-1.1581901,1.1411456,0.083407104,0.43553546,0.13186763,-1.9473566,0.29702023,-2.0298114,-1.3401302,1
TCGA-A1-A0SB-01,-0.5516846,1.2032576,1.3410066,-1.0965472,-0.22674492,-0.23866567,0.01840173,-0.014332009,-0.7386136,0.2576584,-0.13822338,-0.37756804,0.916177,2.7846465,0.5095144,0.11450092,-0.7391288,2.3510475,-0.54312736,1.884793,-1.053487,-0.49806648,0.4254647,-1.0592946,-1.0175179,-0.43337357,-0.9777387,1.1374674,1.2534928,-1.4245948,0.21284944,-0.57698804,1
TCGA-A1-A0SD-01,1.0806913,-0.50253683,0.22450303,-1.3887495,0.039943293,-0.5230081,-0.70977545,2.06645,-1.422638,-0.3291268,-0.4874353,1.7068237,1.1872833,1.5716938,0.5573208,-0.08004558,0.021638876,-0.3837821,-0.20992169,-0.6500358,-0.39055967,-0.3315515,1.2578137,-0.27345186,-2.5054564,-0.546441,-1.2539365,0.21912391,0.4266283,-0.95109993,0.38387462,-0.82561624,1
TCGA-A1-A0SE-01,-0.54154515,-0.0059102084,-2.1922655,0.14065811,1.3584247,0.7722458,0.39946818,-0.3558245,-0.9726052,-0.053965583,1.4510013,0.414329,0.9158557,0.8317981,1.0738227,1.5528362,-1.1688697,1.546413,0.021819778,2.5424652,-1.2359412,0.2779734,-0.024233503,1.7195286,0.025006333,-0.03813438,-1.6299168,-0.44348997,1.2871146,1.467304,1.9419873,-0.122447245,1
