epoch,total_loss,recon_loss,reg_loss,lr
1,0.436467,0.359699,0.076768,9.9999e-04
2,0.377291,0.319473,0.057818,9.9997e-04
3,0.334609,0.287739,0.04687,9.9996e-04
4,0.301209,0.266048,0.035161,9.9994e-04
5,0.282381,0.251858,0.030523,9.9993e-04
6,0.287052,0.245632,0.04142,9.9992e-04
7,0.307923,0.249081,0.058842,9.9990e-04
8,0.289607,0.242523,0.047084,9.9989e-04
9,0.290522,0.241952,0.048571,9.9988e-04
10,0.275487,0.236148,0.039339,9.9986e-04
11,0.278175,0.236628,0.041547,9.9985e-04
12,0.290974,0.236221,0.054753,9.9983e-04
13,0.264143,0.230788,0.033355,9.9982e-04
14,0.264738,0.227155,0.037583,9.9981e-04
15,0.262888,0.225706,0.037183,9.9979e-04
16,0.271431,0.224552,0.046878,9.9978e-04
17,0.270933,0.225228,0.045704,9.9976e-04
18,0.253758,0.222157,0.031601,9.9975e-04
19,0.253818,0.22197,0.031848,9.9974e-04
20,0.26164,0.220015,0.041626,9.9972e-04
21,0.258949,0.219698,0.039251,9.9971e-04
22,0.248943,0.216614,0.032329,9.9969e-04
23,0.243101,0.217615,0.025486,9.9968e-04
24,0.243113,0.2133,0.029813,9.9967e-04
25,0.257091,0.211527,0.045564,9.9965e-04
26,0.253165,0.212181,0.040984,9.9964e-04
27,0.253661,0.214817,0.038844,9.9963e-04
28,0.239318,0.211896,0.027422,9.9961e-04
29,0.246875,0.211129,0.035747,9.9960e-04
30,0.241851,0.207548,0.034303,9.9958e-04
31,0.254875,0.210688,0.044188,9.9957e-04
32,0.236167,0.205915,0.030252,9.9956e-04
33,0.238973,0.20486,0.034113,9.9954e-04
34,0.244195,0.206332,0.037863,9.9953e-04
35,0.257497,0.205078,0.052419,9.9951e-04
36,0.240685,0.20431,0.036375,9.9950e-04
37,0.240028,0.205675,0.034353,9.9949e-04
38,0.235574,0.202028,0.033546,9.9947e-04
39,0.247792,0.202569,0.045223,9.9946e-04
40,0.242037,0.201383,0.040655,9.9944e-04
41,0.241679,0.20204,0.039638,9.9943e-04
42,0.239122,0.203034,0.036088,9.9942e-04
43,0.233562,0.201144,0.032418,9.9940e-04
44,0.245015,0.202763,0.042252,9.9939e-04
45,0.241956,0.200751,0.041205,9.9938e-04
46,0.243299,0.199665,0.043634,9.9936e-04
47,0.231996,0.197668,0.034328,9.9935e-04
48,0.230308,0.198682,0.031626,9.9933e-04
49,0.233393,0.196949,0.036444,9.9932e-04
50,0.236573,0.195902,0.040671,9.9931e-04
