submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-3C-AAAU-01,1.8300154,0.34883296,1.0735525,0.3141979,-0.70511246,-0.17623372,1.5858499,-0.93256295,-0.87318313,0.8146039,-2.1210659,2.822882,0.5366724,-0.74144745,2.7767076,1.4743336,0.18784475,-2.0652356,-0.081571415,-0.60391915,0.2669685,-0.8171506,0.14232244,-0.37636817,-0.11864496,-0.9707745,-0.5030596,0.8662362,-0.29010823,-0.077123925,0.56960654,0.15016806,0
TCGA-3C-AALI-01,-0.09595311,2.1505594,-0.15612383,0.34328288,-0.13325804,0.9684523,-0.721167,0.098192364,-1.2070335,-0.62424946,0.44971722,-0.248764,0.18715861,1.061122,0.63546383,-0.8998047,-0.5211226,0.051962152,-0.7240379,-1.5477114,-0.3670246,0.7630463,0.32556996,-0.70053935,-1.8639829,-0.40368184,0.3918801,0.9766556,-0.9660264,1.6841172,0.8030403,-0.4929335,0
TCGA-3C-AALJ-01,-0.7856612,-0.6168988,0.017224692,0.73301405,1.3121653,1.7982037,0.18385243,-1.1719626,-0.5744254,-1.5662947,0.100550234,0.68360317,-1.1318449,0.90153795,-1.7622343,-0.6240622,1.9802575,-0.25366583,1.2256423,-0.55315137,0.49489668,-0.21426517,-1.787468,1.0915354,-0.4331939,-0.14678603,0.5353157,0.4971047,1.1165962,1.8210468,1.7210109,-1.15876,1
TCGA-3C-AALK-01,-0.19456618,1.5315572,0.8371596,0.039879866,0.80127454,0.95776457,0.6894852,-0.22197181,0.338962,-0.14562568,-0.20685115,-0.7180744,-0.7295598,1.6004112,0.84805244,-0.9950274,-1.2362316,-0.8259187,0.35073537,-0.5781798,-1.3899786,-0.68732744,-0.39466226,-0.6187748,1.1508242,-1.8679068,-1.0477514,0.49916342,0.50466686,1.7713652,-1.5228664,-0.0106542315,1
TCGA-4H-AAAK-01,0.8426288,-0.6472734,0.2833191,-1.1236801,1.3802831,-2.0420961,-1.5132776,1.4662606,0.27776998,0.7948436,0.013663989,0.4789477,-0.7971071,0.9766482,-0.019170597,1.0601751,0.07023199,-1.198357,1.1882193,1.6875077,0.05901903,1.4919008,-0.677233,0.31206602,0.2254579,-0.8149107,0.2500774,0.4420615,-0.15176147,1.767401,-0.59201443,-1.054006,1
TCGA-5L-AAT0-01,0.34391168,0.41723165,-0.12230797,-0.01072693,0.74039567,-0.6163353,-1.0084037,-1.3645151,0.86783797,-1.0941771,0.8530956,0.52754563,0.0069007315,-0.35507596,-1.4076807,-1.4196423,-0.49939403,0.829363,-1.354912,-0.1292502,-0.1888606,0.65161955,-1.3142381,-1.489256,0.15500924,0.55338997,0.6616708,-0.6701088,0.9597295,-1.5737473,-0.05819008,-0.061148718,1
TCGA-5L-AAT1-01,0.7531089,-1.9163699,-0.5911222,0.20751356,0.764332,2.1387455,0.8917213,-0.39172924,-1.7528753,0.9324959,1.3449787,0.14023694,0.663246,-0.49573112,0.6323525,-0.7296563,0.28524786,-0.5632798,-0.058868222,-0.24669376,-2.0052614,-0.69119316,-0.061793383,-0.7482526,0.5334241,-0.105486386,0.54873675,0.7305614,-0.31255868,-1.4117358,-0.42749977,2.5308816,1
TCGA-5T-A9QA-01,-0.5617541,-1.270221,1.5021499,0.3957166,-0.39771724,-0.25187707,-0.40309322,0.20085901,0.40786824,1.5625721,1.9289751,0.3817998,-0.55116075,0.574705,1.5674134,-1.3190067,-0.5285061,-0.3100033,-1.4570947,-0.18508124,-0.74904644,-1.5418943,-0.16522264,0.114533484,0.48101288,-0.16896182,0.15666059,0.680603,1.1957644,2.2366662,0.86271375,-0.10858823,1
TCGA-A1-A0SB-01,-0.77481276,-1.095393,0.76533824,0.15863717,-0.7033329,-0.24590732,1.4763114,-1.4801621,1.4725492,2.100308,2.0635796,2.2954366,1.1267247,0.20326428,0.8534207,0.56091285,-1.114401,-0.041076083,-0.93161994,-0.18589589,0.34132725,0.2461955,0.1414966,-0.7341211,0.401044,2.3703408,0.029041052,0.5166077,-0.6782376,-0.37022388,0.8696324,0.24412353,1
TCGA-A1-A0SD-01,0.8491476,0.14022523,0.5124977,-0.08443044,1.2019923,1.1087533,-0.81846565,2.0660946,0.4454959,1.1625245,-0.20089538,1.2704319,1.2245038,-0.435957,0.80957335,1.5126529,-0.70160466,0.76203465,-2.2845294,1.866187,0.3077724,-1.2790617,-1.0538375,2.2089684,-0.09582322,2.0558815,-0.8238343,-2.6404812,-0.6886243,-0.9281892,-0.75634784,-0.7687039,1
TCGA-A1-A0SE-01,0.062403977,1.4194399,-0.28099787,0.06759638,-1.8716242,1.4248526,0.20768312,-0.37963748,0.8217921,0.9296187,1.7557414,0.50455207,-1.1095268,-0.97449,-0.674574,-1.0143415,-1.0264477,-1.6563605,2.1480255,-2.4238641,0.15890324,-0.1689901,-2.0837214,-1.0636044,0.33842102,-0.33600193,1.0229023,-1.5157695,-0.9434248,-0.7655348,-0.46484202,0.6158541,1
TCGA-A1-A0SF-01,-0.79880047,-0.83524823,-1.1296548,0.8046722,0.022854328,-0.648234,1.01115,-0.4154501,0.90690887,-0.55909616,-0.27772057,0.2797278,0.86127126,-2.1249757,0.16942476,-0.7438194,-1.6487147,-0.1300101,1.2737257,0.9519175,-0.33783132,-0.25665677,-0.04877328,-0.4875995,0.94520855,-2.0529344,0.0123980045,-1.8459797,0.3354842,-0.54110426,0.2541563,-2.636523,1
TCGA-A1-A0SG-01,-0.58574283,0.24901454,1.17774,-0.50005525,-0.250152,0.6998037,-0.5462702,-0.15640432,0.22918828,0.37442237,-0.23317993,-0.35238194,1.0641017,0.28276297,-0.31631598,0.46548218,1.0556554,-0.5545834,0.5167738,-0.91415584,-2.4931543,2.0219848,1.3332238,1.0376004,-0.056501247,-0.69214267,1.330011,-0.79747593,-0.9568185,0.22907215,-1.5957148,1.3044895,1
TCGA-A1-A0SH-01,-1.5339298,-0.41372353,0.8537492,0.36436805,-0.12879086,0.20245397,-1.7577267,-0.1767629,-1.665535,1.2202817,0.4445657,-1.0618712,0.14113969,-1.1763022,-0.14726898,0.8145362,-0.5260458,0.21842957,0.4039927,-1.985068,0.7696934,-0.73465216,-0.6271235,-0.1485344,-0.5576937,1.1945698,-0.29525942,-0.45883337,1.2083219,1.2851506,0.48583898,-1.5031072,1
TCGA-A1-A0SI-01,1.6778655,-0.09059021,0.16440904,0.037124284,-0.043011308,-0.00785413,-0.34308678,-0.9356433,0.34314957,-0.4885109,-0.5733516,-1.0046134,0.14876673,0.60708845,-0.44613102,0.50858563,1.7102836,-0.17342882,2.2511327,1.1939433,0.220642,1.0273182,0.1687291,-1.0703394,0.43133023,0.74042404,-0.7395186,-2.090764,-0.84933454,-1.0577728,0.51328707,1.3832985,1
TCGA-A1-A0SJ-01,0.5714254,-0.4223413,-0.087223485,-0.7663437,-1.1784508,-0.8567962,-0.2595858,0.101194695,-0.71058613,-1.8181701,-1.6846917,-0.5957886,-1.0057706,-0.0049709007,0.5226163,-0.048476964,-1.5041904,0.6563911,0.15959565,0.13240679,-0.57994854,0.8550607,0.3124077,-0.41152957,-0.2572779,-0.39959282,-1.2273352,0.8719334,0.81292075,2.056544,-0.019749314,-0.6467019,1
TCGA-A1-A0SK-01,-0.83842146,0.24098054,-0.46799737,-1.1899378,-1.7291787,0.6734026,0.18053769,-0.8292808,0.19847831,-0.78697926,-0.051494643,-0.9948786,0.06005097,-1.0560398,-0.9996683,2.5032191,-0.43700036,-1.1683615,0.7044779,1.2808578,0.08484706,0.9151683,0.27719557,0.66468686,-1.0869355,0.53663635,-0.2960026,1.9246991,1.3641547,-0.56616855,0.3930251,-0.25273296,1
TCGA-A1-A0SM-01,-1.1937773,0.9822451,-0.12547562,0.63346446,1.1980386,1.6252241,-0.1784852,0.40456277,-0.19740587,0.99307656,0.16851486,0.974159,1.7750885,-0.08494383,0.30634558,-0.55882674,0.5226252,-0.23861933,-0.72405255,-2.1177032,1.456535,1.0616666,0.81043303,-0.089361206,-0.8647071,0.9010763,1.0799675,-2.136843,0.31386977,1.6626738,1.0447824,0.1518775,1
TCGA-A1-A0SN-01,-2.0713205,-0.059867818,1.1657132,-0.37241277,1.4377408,1.2536021,0.46675774,-1.3660523,1.3544971,0.90379363,-0.5406565,-1.3462772,-0.933864,-0.6477414,-1.4081538,-0.27451319,0.011574721,-1.7438054,0.19392073,-0.44150713,-2.0552225,-1.3825631,0.8210184,0.021679588,-1.161299,0.34587467,0.49729696,-1.4455965,-0.19083378,0.5708765,1.2349256,-0.64532894,1
TCGA-A1-A0SO-01,0.20502613,-0.50160915,-0.53603184,0.35875452,1.0628641,2.3697991,-0.8128308,0.5437291,1.0088161,-0.07993668,0.658111,-0.16873191,1.2393341,-0.74299335,-0.23372716,-0.36013627,0.20016599,-1.2942128,-0.6727936,-0.4727078,-0.61333084,0.42719457,-0.302253,-1.2325997,-0.28031462,1.7618258,1.1653172,0.718813,-1.4053135,1.5911365,-0.4994682,0.5030756,1
TCGA-A1-A0SP-01,-1.186458,-0.46438417,-1.1464379,0.17914197,1.6533964,-0.2655012,1.9376464,0.60707194,-0.86579484,0.77921605,1.6528946,0.01996027,-0.17826955,0.61251235,-0.41729558,-0.16330883,0.16038531,0.61028826,0.9127555,-2.304729,0.17928849,-0.23344153,0.3789193,-0.5438006,-0.14899376,0.5137807,-0.14259231,-1.1514865,-0.079838514,-1.058375,0.67813915,1.6145461,1
TCGA-A1-A0SQ-01,-0.34899396,-1.855578,0.39788887,-0.21016707,0.84850436,-0.794893,1.1134397,0.7368856,0.5468076,1.2449806,0.38171273,1.315458,-1.2507312,0.025829028,1.019605,1.7721093,0.096314654,0.3194784,-0.8230001,0.9277754,0.21434657,-0.027411124,0.7897566,1.4349364,0.2625246,1.2834544,-1.9970437,0.21217835,-0.52076685,-1.1475111,0.11818108,0.7862863,1
TCGA-A2-A04N-01,1.4094415,0.7904506,0.300157,-0.120575644,-0.45530373,-0.24709722,-1.2264373,1.1413636,-0.092211425,0.18210681,0.84983313,-0.1914483,-0.30089822,-1.5336758,0.40705934,0.27813706,-0.90123206,-0.22164157,1.2306311,0.45771414,-0.16956252,0.07514918,-0.3291679,-0.8001811,-0.42533156,2.2245822,-1.5010612,0.119599946,1.7325238,-0.63350797,-1.1488507,0.07989366,0
TCGA-A2-A04P-01,0.32268125,-0.3024002,2.2017622,0.0012671351,1.061962,-0.2838996,0.34842598,-1.7055004,1.3799473,0.19895819,0.65694886,-1.0136734,0.21491921,-1.3367605,-1.1243165,-1.854707,0.042035073,1.0254077,-2.076027,1.5073621,1.1497219,0.96752167,-0.16961813,2.4099474,-0.0038298145,-0.4508149,0.13592765,0.96196485,1.7664484,-1.0121918,-0.15124175,1.1926924,1
TCGA-A2-A04Q-01,1.5070175,-0.48930496,0.9978804,1.2743505,0.21290651,-0.07302952,-0.13073489,-0.42687145,-0.9260654,0.25205034,-0.6023175,0.97530013,-0.5702836,0.32965213,-0.09304068,-0.9440214,1.3593988,1.6063181,0.6148098,1.0886155,0.470928,0.37306982,0.7922226,-0.4953212,0.14212486,-0.11676882,-0.43762216,-0.83726424,0.3451528,-1.5304978,0.22934714,0.81392246,0
