epoch,total_loss,recon_loss,reg_loss,lr
1,0.982178,0.911841,0.070337,9.9999e-04
2,0.834879,0.775756,0.059123,9.9997e-04
3,0.71772,0.669723,0.047997,9.9996e-04
4,0.671567,0.631477,0.04009,9.9994e-04
5,0.660956,0.606166,0.054791,9.9993e-04
6,0.645413,0.589884,0.055529,9.9992e-04
7,0.624455,0.577575,0.04688,9.9990e-04
8,0.623002,0.568543,0.05446,9.9989e-04
9,0.601876,0.557004,0.044872,9.9988e-04
10,0.588985,0.546296,0.042689,9.9986e-04
11,0.583882,0.540014,0.043868,9.9985e-04
12,0.587398,0.528162,0.059236,9.9983e-04
13,0.573373,0.525587,0.047786,9.9982e-04
14,0.569155,0.519617,0.049538,9.9981e-04
15,0.556036,0.517287,0.038749,9.9979e-04
16,0.560924,0.506507,0.054418,9.9978e-04
17,0.540538,0.506339,0.034199,9.9976e-04
18,0.544455,0.498526,0.045928,9.9975e-04
19,0.537074,0.495653,0.041421,9.9974e-04
20,0.543858,0.492807,0.051051,9.9972e-04
21,0.532778,0.488146,0.044632,9.9971e-04
22,0.543226,0.484419,0.058807,9.9969e-04
23,0.544954,0.485473,0.059481,9.9968e-04
24,0.546185,0.478261,0.067924,9.9967e-04
25,0.532444,0.476306,0.056138,9.9965e-04
26,0.525254,0.473484,0.05177,9.9964e-04
27,0.529486,0.471971,0.057515,9.9963e-04
28,0.507705,0.46933,0.038374,9.9961e-04
29,0.51133,0.468141,0.04319,9.9960e-04
30,0.515042,0.466451,0.048592,9.9958e-04
31,0.512537,0.463204,0.049333,9.9957e-04
32,0.51188,0.461724,0.050157,9.9956e-04
33,0.510045,0.460436,0.049609,9.9954e-04
34,0.497976,0.463346,0.03463,9.9953e-04
35,0.499242,0.454595,0.044647,9.9951e-04
36,0.491047,0.453302,0.037745,9.9950e-04
37,0.498558,0.452763,0.045795,9.9949e-04
38,0.48735,0.449817,0.037533,9.9947e-04
39,0.491231,0.447173,0.044058,9.9946e-04
40,0.500164,0.445975,0.054189,9.9944e-04
41,0.48981,0.446279,0.043531,9.9943e-04
42,0.48675,0.443291,0.043459,9.9942e-04
43,0.482714,0.442451,0.040263,9.9940e-04
44,0.506485,0.446021,0.060465,9.9939e-04
45,0.477253,0.440746,0.036507,9.9938e-04
46,0.475367,0.440379,0.034988,9.9936e-04
47,0.486666,0.440346,0.046321,9.9935e-04
48,0.473995,0.438403,0.035592,9.9933e-04
49,0.476651,0.437971,0.03868,9.9932e-04
50,0.478815,0.437143,0.041672,9.9931e-04
