run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,cv_roc_auc,cv_auprc,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_tn,cv_fp,cv_fn,cv_tp,full_roc_auc,full_auprc,full_tn,full_fp,full_fn,full_tp
mse_kl,mse,kl,0.001,10.0,cnv,rbf_svm,0.5507,0.801,0.5539,0.7965,0.5635,0.659,13.1,12.0,36.1,46.6,0.7422,0.8917,174,77,308,519
logcosh_kl,logcosh,kl,0.001,10.0,cnv,rbf_svm,0.5253,0.7902,0.5501,0.7796,0.5756,0.6612,11.7,13.4,35.1,47.6,0.8104,0.9182,192,59,255,572
mse_mmd,mse,mmd,0.001,10.0,cnv,rbf_svm,0.5932,0.8228,0.6892,0.7899,0.8102,0.7991,7.3,17.8,15.7,67.0,0.9452,0.9772,197,54,59,768
logcosh_mmd,logcosh,mmd,0.001,10.0,cnv,rbf_svm,0.5051,0.7851,0.6298,0.7558,0.7631,0.7588,4.8,20.3,19.6,63.1,0.9348,0.9749,201,50,83,744
mse_kl,mse,kl,0.001,10.0,cnv,linear_svm,0.5142,0.7806,0.54,0.7849,0.5515,0.6461,12.6,12.5,37.1,45.6,0.6102,0.8294,149,102,345,482
logcosh_kl,logcosh,kl,0.001,10.0,cnv,linear_svm,0.5037,0.782,0.5288,0.7728,0.5454,0.6382,11.9,13.2,37.6,45.1,0.6094,0.8254,158,93,371,456
mse_mmd,mse,mmd,0.001,10.0,cnv,linear_svm,0.5676,0.8158,0.5538,0.7926,0.5684,0.6605,12.7,12.4,35.7,47.0,0.6471,0.8433,160,91,361,466
logcosh_mmd,logcosh,mmd,0.001,10.0,cnv,linear_svm,0.5229,0.7915,0.5268,0.7823,0.5309,0.6305,12.9,12.2,38.8,43.9,0.6142,0.8386,156,95,348,479
mse_kl,mse,kl,0.001,10.0,cnv,poly_svm,0.5281,0.7912,0.5427,0.7787,0.5658,0.6542,11.7,13.4,35.9,46.8,0.7568,0.9023,182,69,312,515
logcosh_kl,logcosh,kl,0.001,10.0,cnv,poly_svm,0.5359,0.7991,0.5798,0.7778,0.6336,0.6974,10.1,15.0,30.3,52.4,0.8226,0.9296,182,69,213,614
mse_mmd,mse,mmd,0.001,10.0,cnv,poly_svm,0.5881,0.8173,0.7301,0.7795,0.9045,0.837,3.9,21.2,7.9,74.8,0.9659,0.9836,177,74,11,816
logcosh_mmd,logcosh,mmd,0.001,10.0,cnv,poly_svm,0.5087,0.7828,0.7115,0.7725,0.8852,0.8246,3.5,21.6,9.5,73.2,0.9714,0.9873,180,71,5,822
mse_kl,mse,kl,0.001,10.0,cnv,sigmoid_svm,0.5011,0.7692,0.4593,0.7403,0.4536,0.5614,12.0,13.1,45.2,37.5,0.5446,0.7876,114,137,433,394
logcosh_kl,logcosh,kl,0.001,10.0,cnv,sigmoid_svm,0.5197,0.7874,0.4898,0.7688,0.4777,0.5889,13.3,11.8,43.2,39.5,0.555,0.7973,119,132,456,371
mse_mmd,mse,mmd,0.001,10.0,cnv,sigmoid_svm,0.4656,0.758,0.4991,0.7823,0.4813,0.5938,14.0,11.1,42.9,39.8,0.5873,0.8034,102,149,446,381
mse_kl,mse,kl,0.001,10.0,cnv,random_forest,0.5313,0.7863,0.6522,0.7726,0.7751,0.7737,6.2,18.9,18.6,64.1,0.9744,0.985,230,21,21,806
logcosh_kl,logcosh,kl,0.001,10.0,cnv,random_forest,0.5294,0.7829,0.6679,0.7746,0.8006,0.7869,5.8,19.3,16.5,66.2,0.9773,0.988,227,24,19,808
logcosh_mmd,logcosh,mmd,0.001,10.0,cnv,sigmoid_svm,0.4679,0.7663,0.4925,0.788,0.4632,0.5797,14.8,10.3,44.4,38.3,0.589,0.8144,110,141,499,328
mse_mmd,mse,mmd,0.001,10.0,cnv,random_forest,0.5591,0.7986,0.6976,0.7891,0.8271,0.8072,6.8,18.3,14.3,68.4,0.9854,0.9929,228,23,17,810
logcosh_mmd,logcosh,mmd,0.001,10.0,cnv,random_forest,0.5068,0.7737,0.6577,0.7608,0.8078,0.7829,4.1,21.0,15.9,66.8,0.9704,0.9839,225,26,14,813
