run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,fold,roc_auc,auprc,accuracy,precision,recall,f1,tn,fp,fn,tp
mse_kl,mse,kl,0.001,10.0,cnv,rbf_svm,1,0.4705,0.7202,0.5833,0.7846,0.622,0.6939,12,14,31,51
mse_kl,mse,kl,0.001,10.0,cnv,rbf_svm,2,0.5217,0.7827,0.5463,0.7833,0.5663,0.6573,12,13,36,47
mse_kl,mse,kl,0.001,10.0,cnv,rbf_svm,3,0.56,0.8073,0.5648,0.7812,0.6024,0.6803,11,14,33,50
mse_kl,mse,kl,0.001,10.0,cnv,rbf_svm,4,0.5523,0.8292,0.5093,0.7679,0.5181,0.6187,12,13,40,43
mse_kl,mse,kl,0.001,10.0,cnv,rbf_svm,5,0.4846,0.7607,0.5185,0.7627,0.5422,0.6338,11,14,38,45
mse_kl,mse,kl,0.001,10.0,cnv,rbf_svm,6,0.5952,0.8375,0.5833,0.8167,0.5904,0.6853,14,11,34,49
mse_kl,mse,kl,0.001,10.0,cnv,rbf_svm,7,0.6135,0.8439,0.5926,0.8545,0.5663,0.6812,17,8,36,47
mse_kl,mse,kl,0.001,10.0,cnv,rbf_svm,8,0.4501,0.7491,0.4815,0.7368,0.506,0.6,10,15,41,42
mse_kl,mse,kl,0.001,10.0,cnv,rbf_svm,9,0.6034,0.832,0.6075,0.8226,0.622,0.7083,14,11,31,51
mse_kl,mse,kl,0.001,10.0,cnv,rbf_svm,10,0.6556,0.8474,0.5514,0.8542,0.5,0.6308,18,7,41,41
mse_kl,mse,kl,0.001,10.0,cnv,linear_svm,1,0.4224,0.7176,0.5,0.7414,0.5244,0.6143,11,15,39,43
mse_kl,mse,kl,0.001,10.0,cnv,linear_svm,2,0.4241,0.7387,0.5093,0.7679,0.5181,0.6187,12,13,40,43
mse_kl,mse,kl,0.001,10.0,cnv,linear_svm,3,0.5113,0.7735,0.6019,0.7941,0.6506,0.7152,11,14,29,54
mse_kl,mse,kl,0.001,10.0,cnv,linear_svm,4,0.5402,0.8114,0.537,0.7797,0.5542,0.6479,12,13,37,46
mse_kl,mse,kl,0.001,10.0,cnv,linear_svm,5,0.5094,0.7494,0.5278,0.8077,0.506,0.6222,15,10,41,42
mse_kl,mse,kl,0.001,10.0,cnv,linear_svm,6,0.5701,0.8368,0.5556,0.8182,0.5422,0.6522,15,10,38,45
mse_kl,mse,kl,0.001,10.0,cnv,linear_svm,7,0.5619,0.797,0.5093,0.7885,0.494,0.6074,14,11,42,41
mse_kl,mse,kl,0.001,10.0,cnv,linear_svm,8,0.4583,0.7476,0.5,0.7843,0.4819,0.597,14,11,43,40
mse_kl,mse,kl,0.001,10.0,cnv,linear_svm,9,0.6141,0.8365,0.6262,0.8088,0.6707,0.7333,12,13,27,55
mse_kl,mse,kl,0.001,10.0,cnv,linear_svm,10,0.53,0.7975,0.5327,0.7581,0.5732,0.6528,10,15,35,47
