run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,fold,roc_auc,auprc,accuracy,precision,recall,f1,tn,fp,fn,tp
mse_mmd,mse,mmd,0.001,10.0,cnv,rbf_svm,1,0.6735,0.8434,0.7407,0.8068,0.8659,0.8353,9,17,11,71
mse_mmd,mse,mmd,0.001,10.0,cnv,rbf_svm,2,0.5455,0.8167,0.6389,0.7821,0.7349,0.7578,8,17,22,61
mse_mmd,mse,mmd,0.001,10.0,cnv,rbf_svm,3,0.6063,0.8253,0.6759,0.7927,0.7831,0.7879,8,17,18,65
mse_mmd,mse,mmd,0.001,10.0,cnv,rbf_svm,4,0.6053,0.825,0.75,0.8043,0.8916,0.8457,7,18,9,74
mse_mmd,mse,mmd,0.001,10.0,cnv,rbf_svm,5,0.4863,0.7639,0.6389,0.7683,0.759,0.7636,6,19,20,63
mse_mmd,mse,mmd,0.001,10.0,cnv,rbf_svm,6,0.6149,0.842,0.7037,0.8,0.8193,0.8095,8,17,15,68
mse_mmd,mse,mmd,0.001,10.0,cnv,rbf_svm,7,0.5576,0.8174,0.7222,0.7849,0.8795,0.8295,5,20,10,73
mse_mmd,mse,mmd,0.001,10.0,cnv,rbf_svm,8,0.5836,0.8126,0.6574,0.7875,0.759,0.773,8,17,20,63
mse_mmd,mse,mmd,0.001,10.0,cnv,rbf_svm,9,0.7273,0.8875,0.7009,0.7778,0.8537,0.814,5,20,12,70
mse_mmd,mse,mmd,0.001,10.0,cnv,rbf_svm,10,0.5315,0.7941,0.6636,0.7949,0.7561,0.775,9,16,20,62
mse_mmd,mse,mmd,0.001,10.0,cnv,linear_svm,1,0.591,0.8256,0.6019,0.8,0.6341,0.7075,13,13,30,52
mse_mmd,mse,mmd,0.001,10.0,cnv,linear_svm,2,0.479,0.7936,0.4722,0.7321,0.494,0.5899,10,15,42,41
mse_mmd,mse,mmd,0.001,10.0,cnv,linear_svm,3,0.7111,0.897,0.5926,0.8679,0.5542,0.6765,18,7,37,46
mse_mmd,mse,mmd,0.001,10.0,cnv,linear_svm,4,0.6118,0.8637,0.5463,0.7656,0.5904,0.6667,10,15,34,49
mse_mmd,mse,mmd,0.001,10.0,cnv,linear_svm,5,0.508,0.7656,0.5185,0.8039,0.494,0.6119,15,10,42,41
mse_mmd,mse,mmd,0.001,10.0,cnv,linear_svm,6,0.5602,0.8128,0.5556,0.7966,0.5663,0.662,13,12,36,47
mse_mmd,mse,mmd,0.001,10.0,cnv,linear_svm,7,0.4766,0.759,0.5278,0.7353,0.6024,0.6623,7,18,33,50
mse_mmd,mse,mmd,0.001,10.0,cnv,linear_svm,8,0.5747,0.8321,0.5741,0.8136,0.5783,0.6761,14,11,35,48
mse_mmd,mse,mmd,0.001,10.0,cnv,linear_svm,9,0.6268,0.8361,0.6262,0.8182,0.6585,0.7297,13,12,28,54
mse_mmd,mse,mmd,0.001,10.0,cnv,linear_svm,10,0.5371,0.7728,0.5234,0.7925,0.5122,0.6222,14,11,40,42
mse_mmd,mse,mmd,0.001,10.0,cnv,poly_svm,1,0.6759,0.8399,0.7593,0.78,0.9512,0.8571,4,22,4,78
mse_mmd,mse,mmd,0.001,10.0,cnv,poly_svm,2,0.6361,0.8337,0.7222,0.7789,0.8916,0.8315,4,21,9,74
mse_mmd,mse,mmd,0.001,10.0,cnv,poly_svm,3,0.5634,0.8138,0.7037,0.7742,0.8675,0.8182,4,21,11,72
mse_mmd,mse,mmd,0.001,10.0,cnv,poly_svm,4,0.6395,0.841,0.75,0.7979,0.9036,0.8475,6,19,8,75
mse_mmd,mse,mmd,0.001,10.0,cnv,poly_svm,5,0.4463,0.7523,0.713,0.7653,0.9036,0.8287,2,23,8,75
mse_mmd,mse,mmd,0.001,10.0,cnv,poly_svm,6,0.6207,0.8534,0.6944,0.7604,0.8795,0.8156,2,23,10,73
mse_mmd,mse,mmd,0.001,10.0,cnv,poly_svm,7,0.5075,0.7435,0.7593,0.7879,0.9398,0.8571,4,21,5,78
mse_mmd,mse,mmd,0.001,10.0,cnv,poly_svm,8,0.6048,0.8509,0.7222,0.7789,0.8916,0.8315,4,21,9,74
mse_mmd,mse,mmd,0.001,10.0,cnv,poly_svm,9,0.6015,0.8284,0.7383,0.7647,0.9512,0.8478,1,24,4,78
mse_mmd,mse,mmd,0.001,10.0,cnv,poly_svm,10,0.5854,0.8163,0.7383,0.8068,0.8659,0.8353,8,17,11,71
mse_mmd,mse,mmd,0.001,10.0,cnv,sigmoid_svm,1,0.4751,0.7555,0.5093,0.7736,0.5,0.6074,14,12,41,41
mse_mmd,mse,mmd,0.001,10.0,cnv,sigmoid_svm,2,0.568,0.8189,0.463,0.7193,0.494,0.5857,9,16,42,41
