submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-AR-A5QQ-01,-0.7368911,-0.30884776,-2.5000076,0.1263029,0.38730544,-0.9562431,-1.6649524,-0.7471445,-1.1069835,-0.11635792,1.5792232,-1.5136973,-0.64965236,1.0773292,1.1601796,0.8520828,-0.59374166,-1.3446478,2.2069294,1.2276739,1.6809137,-0.08242947,-0.5752833,-2.650837,-0.3956224,0.31312063,0.48449242,-0.31718937,-1.0180413,-0.8602603,1.6471199,0.81098056,1
TCGA-D8-A1JA-01,0.06622188,-0.25039744,0.6646186,0.65642834,-0.5114189,-0.91468304,1.0013776,-1.3382316,-1.2594599,-1.1108909,-0.57508796,1.0534768,0.43122387,0.88207805,0.40023294,-1.0812635,0.3806077,-0.39890188,0.29448515,-0.056042194,1.363534,-0.17341985,0.7761232,-0.8525341,-1.5358617,1.4859619,0.65247196,0.47299996,-1.255485,2.914169,0.6466874,0.34405997,1
TCGA-BH-A0BQ-01,0.26666942,0.2516677,1.0540705,0.054299403,0.15944128,-0.5021456,2.0059154,-0.21770597,-1.1431174,-0.05095941,-1.0039178,-0.7600363,-0.40345922,1.6524673,1.3668107,-0.019578483,-0.35076895,-0.7679637,0.76918817,-0.26510534,-0.6335346,0.1959924,-1.4020752,-0.6351276,-1.1420827,-0.9556186,1.0676641,0.92391795,-0.5641565,1.0460155,0.6440252,-0.74692845,0
TCGA-BH-A0BT-01,-0.775979,-0.04811992,1.4063287,-0.6053167,-0.57308203,-0.8260781,0.5056955,-2.5402825,-0.97614914,-0.45060995,0.54604185,-0.7025807,-0.69315135,0.008344986,0.661352,-0.36027592,-1.4666275,-0.03720444,-0.72583175,-0.47030666,-0.5784183,-0.25669312,-0.17821169,-0.6438329,1.0500274,0.121081054,1.6327451,-1.4543926,1.4506999,-1.1540248,0.84372264,2.8814259,0
TCGA-A8-A06X-01,0.79557407,0.6888813,-0.40684807,-1.4018508,1.8229313,-0.94408125,-0.8843679,-0.56747735,0.5580711,-0.29642403,-0.15790182,-0.8213966,0.8084782,-0.6390555,0.94809043,-0.6218854,1.0729573,0.95140624,-1.4643666,0.65174574,-1.1590003,1.2055783,-0.16748063,0.6756136,0.87643766,0.6489895,1.8802013,0.024055535,1.2275536,0.029120442,0.5265189,0.26166973,1
TCGA-A8-A096-01,0.66996455,-0.8718152,-0.88335997,0.18439665,0.022710998,0.44115964,0.21431616,-0.0014097379,1.4151598,0.68109375,-0.35728317,-0.15568234,1.4145049,0.7572283,-1.3954223,1.0082468,0.3356799,0.618176,-0.75532556,-0.30988732,2.1272602,0.8020081,-1.3038536,-0.10580948,0.37902385,0.4934742,-0.29881448,-1.0297873,-0.31622508,1.8452158,-0.2890755,-0.21553315,1
TCGA-BH-A0C7-01,-1.7381976,-0.0097864065,1.4312533,0.27521554,2.3216226,-0.67930007,-0.9473317,1.9536117,0.56176805,1.6004018,1.9727132,1.3620474,0.088204406,-0.12751792,-0.14733876,0.5666587,0.29702362,-0.14661038,1.1366504,1.5270339,0.19515781,-0.279493,0.13373856,0.02345423,0.8478972,-1.6697598,0.8182322,-0.16972464,-1.086843,-0.5131798,-1.9901692,-0.2879248,0
TCGA-AC-A5XU-01,0.39891487,-0.19094071,1.0821562,2.3148856,-0.7160214,0.16398242,0.67029023,0.46568364,0.33117637,-0.07832391,1.6833447,-0.38061932,0.9684226,0.37979996,0.3402152,1.2372555,-0.10872039,1.4463406,0.604503,0.35718396,1.2581664,-0.36575162,-1.1878185,-0.11526361,-1.7887689,0.11307765,-0.33340076,0.032247536,-0.009366115,-1.9261471,0.42012292,0.51586044,1
TCGA-PE-A5DE-01,-0.60572636,0.557483,1.8436325,0.6990821,-0.6493812,-2.0561268,1.4988748,0.9185729,0.02977179,0.26984906,1.4663666,0.05977916,0.07815807,-1.0221534,0.39879873,0.65777934,0.6681343,-1.6269932,-0.88360703,1.4429141,0.42521873,-0.0760271,1.0274664,-2.225337,0.8908754,0.13429323,-1.0180776,2.4081795,-0.9680207,-0.66258913,0.0122326985,0.22765455,0
TCGA-PE-A5DC-01,-0.82904106,-1.167202,0.56203437,0.8607934,0.8637403,0.81859803,-0.39278606,0.07823773,-1.9224467,-1.7867627,-0.44334278,1.189536,1.4379358,0.8083427,1.1520442,1.183298,-0.65021074,0.6432076,-1.6037982,0.7003498,1.2853851,-0.26606467,-0.41444123,-0.31541088,-0.4656465,0.13670695,-0.045425456,1.0167853,-0.81887394,1.0991853,-0.84211946,-1.7349243,1
