epoch,total_loss,recon_loss,reg_loss,lr
1,0.157756,0.0945,0.063256,9.9998e-04
2,0.073548,0.050238,0.02331,9.9997e-04
3,0.049295,0.038127,0.011168,9.9995e-04
4,0.025643,0.02371,0.001933,9.9994e-04
5,0.02168,0.020699,0.000981,9.9992e-04
6,0.021013,0.020321,0.000692,9.9991e-04
7,0.020324,0.019814,0.000509,9.9989e-04
8,0.020017,0.019621,0.000396,9.9988e-04
9,0.019824,0.019513,0.000312,9.9986e-04
10,0.01959,0.01934,0.00025,9.9984e-04
11,0.019482,0.019278,0.000204,9.9983e-04
12,0.019374,0.019203,0.000171,9.9981e-04
13,0.019334,0.019189,0.000144,9.9980e-04
14,0.019229,0.019103,0.000125,9.9978e-04
15,0.019162,0.019053,0.00011,9.9977e-04
16,0.019139,0.019041,9.8e-05,9.9975e-04
17,0.01908,0.018992,8.8e-05,9.9974e-04
18,0.019031,0.018952,7.9e-05,9.9972e-04
19,0.019042,0.018968,7.4e-05,9.9971e-04
20,0.018995,0.01893,6.5e-05,9.9969e-04
21,0.018967,0.018905,6.2e-05,9.9967e-04
22,0.018937,0.018881,5.6e-05,9.9966e-04
23,0.01897,0.018919,5.1e-05,9.9964e-04
24,0.018906,0.018857,4.8e-05,9.9963e-04
25,0.018901,0.018855,4.5e-05,9.9961e-04
26,0.018883,0.018842,4.1e-05,9.9960e-04
27,0.018902,0.018862,4e-05,9.9958e-04
28,0.018874,0.018836,3.8e-05,9.9957e-04
29,0.018866,0.018831,3.5e-05,9.9955e-04
30,0.018823,0.018792,3e-05,9.9953e-04
31,0.01881,0.018781,2.8e-05,9.9952e-04
32,0.018803,0.018777,2.6e-05,9.9950e-04
33,0.018791,0.018767,2.5e-05,9.9949e-04
34,0.018837,0.018813,2.4e-05,9.9947e-04
35,0.01879,0.018767,2.3e-05,9.9946e-04
36,0.018806,0.018785,2.2e-05,9.9944e-04
37,0.018742,0.018721,2e-05,9.9943e-04
38,0.018765,0.018746,1.9e-05,9.9941e-04
39,0.018748,0.018731,1.7e-05,9.9940e-04
40,0.018762,0.018744,1.7e-05,9.9938e-04
41,0.018716,0.018699,1.7e-05,9.9936e-04
42,0.018707,0.018691,1.6e-05,9.9935e-04
43,0.018713,0.018697,1.6e-05,9.9933e-04
44,0.018698,0.018682,1.5e-05,9.9932e-04
45,0.018743,0.018727,1.6e-05,9.9930e-04
46,0.018731,0.018715,1.6e-05,9.9929e-04
47,0.018682,0.01867,1.3e-05,9.9927e-04
48,0.018719,0.018706,1.3e-05,9.9926e-04
49,0.018739,0.018727,1.3e-05,9.9924e-04
50,0.018691,0.018679,1.2e-05,9.9922e-04
