submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-AR-A5QQ-01,-0.6514183,-0.08391054,1.7771283,0.49551576,-1.0268023,1.824322,1.153683,-1.4351673,0.095281415,-1.2660528,0.8090422,-0.16212347,-0.4050312,0.8158998,-1.4366642,-0.53989094,1.0523233,0.12368049,-0.640237,-0.56970304,-1.9550303,0.86899143,0.58544993,2.1235368,-1.9346946,-0.44027713,-0.5127673,0.48085123,0.8372551,-0.022253897,1.1777582,-0.7382048,1
TCGA-D8-A1JA-01,-0.5224681,-0.8547308,-0.1564052,0.52633303,-0.45539445,-1.635472,0.2589541,0.62418085,-0.43363544,-0.43693548,0.45991522,-1.132701,-1.9025984,0.5922196,0.37465966,0.15990788,-1.2961662,1.2801278,1.0843587,0.3139343,0.84376645,-2.5532777,0.17871949,0.060919102,-0.804467,-0.49846384,-1.028037,-0.8448871,0.9658333,-0.81867665,0.50441086,-0.30748826,1
TCGA-BH-A0BQ-01,0.94094855,-1.2015415,-0.18654841,-0.4975276,-0.5742612,-0.31964973,0.055801563,0.86689925,0.17361498,-0.2603562,-0.81466687,0.09211345,0.21454856,-0.41527987,-0.12808679,0.89245135,1.3105989,-0.4146469,-1.1355919,0.62248015,0.45827925,-2.0249305,-0.06151607,-3.2372744,-2.0911758,1.7622018,-0.003322862,-0.6332766,-0.24159876,-1.3717206,0.11699106,0.35886574,0
TCGA-BH-A0BT-01,-0.1897925,0.012934431,0.1348433,1.4058416,-0.19024406,0.81647795,-0.5716075,-0.29398176,0.79654974,0.48258108,-0.7014826,-0.41715997,0.96299154,1.86191,1.560251,0.025049925,-0.81330764,-1.4878701,0.34897083,0.34306824,-0.43118832,-1.1387584,0.7613776,0.60752845,-0.9523524,-0.71852934,-0.7645098,-0.19311494,0.05161991,-0.3983032,-1.3562757,2.315498,0
TCGA-A8-A06X-01,-1.9364184,2.029123,1.603763,-0.20825061,0.28458408,-1.0179391,1.4274267,-1.0046959,-0.035881575,0.7002993,-3.2567465,-0.85282624,-0.36755145,0.15286541,-0.18274133,0.4750176,1.0451822,-0.6723267,-0.10535409,0.30048642,-2.0075047,0.9447682,-2.3220375,-1.1179721,-1.2119772,0.8377923,1.7505544,-1.5691124,-0.8762806,-0.9669419,-0.7306445,-2.6461117,1
TCGA-A8-A096-01,0.9902853,0.6695644,-0.38684872,-0.19372408,-0.07849378,-0.9320681,0.18854433,1.3650013,-1.238024,-1.4400551,0.24681847,-0.8991522,0.75637,-0.035918705,0.6803087,-0.64147174,-0.16109839,-1.3345938,-0.2590796,0.41793734,-0.12238314,-1.2087842,0.034125686,-0.8413,-0.8920313,2.6199052,0.035680942,0.5787593,0.49978682,2.5608115,-0.0010871552,-1.4698588,1
TCGA-BH-A0C7-01,-0.13669732,-1.3136156,0.3836984,-1.6002116,-1.0961621,1.620357,0.30584717,-0.68713725,0.32403585,1.0085396,-1.1458441,1.3611962,0.54332304,-0.054077283,0.47937578,0.9395098,-1.4900562,-0.5031179,0.5988418,-1.1826476,0.27248016,0.27531675,0.020859383,0.12788413,-0.97375154,-0.8590842,-1.3967731,0.3115333,0.59798187,0.18842694,-2.1311445,0.45234853,0
TCGA-AC-A5XU-01,-0.940414,0.6286477,-0.44968444,0.965706,-0.2695682,1.0796038,-0.043279327,-0.43023628,-0.82053214,0.9089407,0.43125892,0.32193393,-0.27610236,0.117657766,0.22342461,-0.64359766,-1.4126486,-0.9229442,0.7490673,-0.6237128,1.3008764,-1.9188548,0.9929997,-1.7738307,-0.5155065,-1.3703059,-0.7932379,0.6198084,-0.8342364,-0.38857463,-0.78558725,-0.03694231,1
TCGA-PE-A5DE-01,-0.3514271,-0.53744054,-0.8824089,-0.43876705,0.42877883,-2.1624877,1.0960852,-0.22283193,-0.30647987,-0.49112198,0.5748411,1.1463007,0.53487664,-1.0435474,0.4724067,0.67671657,0.47247863,2.6103582,0.19551021,0.7339211,-0.5537833,-1.2203557,-1.471828,0.17143741,-0.13755603,0.5035258,-0.45969772,-0.48775405,-1.9698995,-0.9888905,0.55480653,2.0348735,0
TCGA-PE-A5DC-01,-0.42272258,-0.7091939,-0.07068604,0.9360361,1.4095354,-2.9668052,0.6570116,-0.68575394,-0.9666782,0.843786,-0.49290267,0.14896241,-0.2370669,-1.1272753,0.651284,0.05016423,0.6944701,1.5827435,0.21972428,-0.30607557,0.63801265,-1.103889,-0.2073738,-0.5183866,1.081025,-1.2898577,-0.095802456,1.2352153,-0.13812536,-0.17450447,-1.5378438,0.19112216,1
TCGA-AR-A0TV-01,0.22453532,1.5327699,1.3677682,0.22384009,-2.3625388,-0.2086831,-1.7667174,0.103902504,-0.22201186,-0.86486953,-2.4953325,-1.7200662,-0.30253714,0.6955095,0.24780396,1.3900857,0.36427906,-0.0138684735,1.2302012,-0.07661924,0.40793055,1.403655,-1.1279844,1.7416903,0.5408762,-1.9221641,-1.268923,-3.1593184,0.29750752,-0.12348386,2.5183847,-0.7309572,0
TCGA-GM-A3XG-01,-0.39733922,0.07447757,-0.5603075,1.4695076,2.4368792,1.149816,0.54356056,-0.27275386,-1.2736636,1.1482064,-0.23768175,1.5302439,-0.55125606,-1.3098547,0.29884002,1.067173,-0.24307725,-0.093831755,0.067500934,-1.1754456,-0.46428698,1.3871526,0.7747778,1.0487697,0.7884545,0.5685324,0.37896955,-0.6188232,-0.30141222,0.76080614,-1.98507,0.5142358,1
TCGA-BH-A18J-01,0.8756701,-0.011456214,-0.5146115,1.5288182,1.3851544,-0.29917932,0.96174735,-0.5409808,1.1117566,1.3770133,2.6515794,1.4137348,-0.87527543,-2.2932851,0.61238885,0.43662906,1.9597731,-0.6499113,1.3371688,0.8930102,-0.5501155,-0.9010842,-1.9717816,-1.3469297,-0.15194848,0.6417334,-0.36702192,-1.0737208,-1.6266538,-1.3256841,-0.37491387,1.4056362,1
TCGA-BH-A0W7-01,-1.442549,-0.21268436,0.83845955,-0.16839264,-0.79027313,-0.22794542,-1.0851071,-0.2790565,0.5261426,-1.1044778,0.33610457,0.66327435,1.2310224,-0.6966993,0.09225559,0.18496376,-1.4568778,0.1973733,-0.66110754,1.8269094,0.11126695,-1.4049382,-1.7442192,-1.1420383,-0.17245239,-1.2004043,-1.2230608,-0.9791548,-0.61474437,0.0071714073,0.86265856,-0.10368217,1
TCGA-E9-A3QA-01,-2.838859,-0.8602793,-0.8809763,-0.9045684,-0.6932217,-0.0975502,1.2533463,-0.19037881,-1.0514174,-1.8769042,1.0923609,1.4493532,-1.08075,-0.05129213,1.1873119,1.3557359,0.4360562,2.2812068,0.07120182,0.6586535,0.7144714,-0.23097387,0.6115904,0.6800398,0.13020243,-3.1237154,-0.9366791,0.8242943,0.04860659,-0.10163961,-0.109553665,-0.6750408,1
TCGA-A7-A4SD-01,-0.88392603,0.27839917,-2.1579556,-0.4818055,1.265968,1.5070872,-0.29165438,0.12584262,0.1647524,-0.13153093,1.9818149,-0.3988082,-0.62101865,-0.3222515,-0.10466418,1.1843573,0.6661103,0.84124124,-0.76721644,-1.2679863,0.600731,-1.9137443,0.9074413,0.4393752,-1.3436702,-1.1389735,1.6275908,-0.9415132,-1.2631922,-0.12503356,1.5990092,0.34600592,1
TCGA-BH-A0HA-01,-0.46604186,-0.73807293,0.76255,2.3580759,0.62485266,0.8969991,0.34842122,0.43262202,0.45599422,-2.0937462,-1.3237151,1.5865101,0.16511324,1.7656552,-1.6336483,0.41219467,0.631304,0.14205016,-0.556074,-0.4304882,0.91595316,0.4471935,-0.37505713,-0.41948962,-1.4745916,0.9663097,0.9342995,-1.0326173,-0.84313506,0.19990247,-0.71559775,1.3780761,1
TCGA-AR-A5QN-01,-0.7790304,-0.8601532,-0.05717528,0.7784945,-0.26150018,-0.35565835,-0.075521745,0.17053156,0.35103056,2.4782903,0.025239952,-0.04421879,0.6571417,-0.06608961,0.058282927,0.44445133,0.32611832,-1.5225768,0.23769832,-1.7595615,0.36878914,1.9959829,-0.39836124,-0.81687367,1.2988732,-1.1017362,0.7931106,-0.12631029,0.08055219,-1.265288,-0.95207345,0.43378395,1
TCGA-A7-A0CH-11,-0.46610177,-0.057991467,0.70408696,0.40840328,-1.4417424,-1.514706,2.1060228,0.53540385,-1.4531298,1.3498998,-0.6471527,-1.5120132,0.21201137,1.1599616,-1.399461,-0.32921794,0.5374244,1.5304152,0.3758963,0.008718954,0.4026881,2.86687,0.48563778,-1.6121733,0.45920074,-0.9546706,0.49386042,0.47809243,-1.580087,-2.4283834,-1.2884177,-1.3987252,1
TCGA-A7-A0CE-01,0.29803935,-1.4880913,-1.4682555,0.23809618,-0.17381574,-1.5936048,-1.4480015,-0.7123632,-0.5066705,-0.14250119,0.07403174,-0.2303973,0.49612615,-0.5788609,0.7058985,-1.045689,-0.3056663,0.6433723,-0.44609475,-0.43368605,0.8907395,0.9786595,0.65158147,-0.56414014,0.8774291,1.9149759,1.3137044,0.14738065,0.91804826,-1.2168055,-1.3010197,-0.043770887,1
TCGA-AR-A0U1-01,2.2614245,2.3927948,-0.020707771,0.14441301,0.36105612,1.0625405,1.729857,0.54031456,-0.3038473,1.0687258,-1.2947335,0.5162717,0.25347754,-0.60388154,-1.2835228,0.40261453,-0.89928705,0.6694118,1.0368956,-0.23481104,-0.101206556,-0.8436914,-0.799373,-0.58478415,0.258836,0.27436045,-0.69695485,1.3007871,-1.2973238,-0.9278008,-1.6088417,-0.9338497,0
