epoch,total_loss,recon_loss,reg_loss,lr
1,0.355529,0.138814,0.216715,9.9998e-04
2,0.166717,0.077259,0.089459,9.9997e-04
3,0.101765,0.029899,0.071867,9.9995e-04
4,0.112775,0.022858,0.089917,9.9994e-04
5,0.069547,0.021301,0.048246,9.9992e-04
6,0.075227,0.020479,0.054748,9.9991e-04
7,0.075348,0.020044,0.055303,9.9989e-04
8,0.081977,0.019728,0.062249,9.9988e-04
9,0.072675,0.019693,0.052982,9.9986e-04
10,0.052842,0.019397,0.033445,9.9984e-04
11,0.04867,0.019326,0.029344,9.9983e-04
12,0.070544,0.019304,0.05124,9.9981e-04
13,0.057686,0.019199,0.038487,9.9980e-04
14,0.065078,0.019162,0.045916,9.9978e-04
15,0.054317,0.019126,0.03519,9.9977e-04
16,0.054936,0.019074,0.035862,9.9975e-04
17,0.065268,0.019051,0.046218,9.9974e-04
18,0.045849,0.019054,0.026795,9.9972e-04
19,0.058944,0.018978,0.039966,9.9971e-04
20,0.055284,0.018994,0.03629,9.9969e-04
21,0.051579,0.018889,0.03269,9.9967e-04
22,0.047942,0.018911,0.02903,9.9966e-04
23,0.048284,0.018905,0.029379,9.9964e-04
24,0.063656,0.018902,0.044753,9.9963e-04
25,0.048492,0.018869,0.029622,9.9961e-04
26,0.057975,0.018868,0.039107,9.9960e-04
27,0.061938,0.018845,0.043093,9.9958e-04
28,0.062035,0.018814,0.043221,9.9957e-04
29,0.052327,0.018819,0.033508,9.9955e-04
30,0.059799,0.018802,0.040996,9.9953e-04
31,0.064572,0.018809,0.045763,9.9952e-04
32,0.048042,0.018779,0.029263,9.9950e-04
33,0.065359,0.018809,0.046549,9.9949e-04
34,0.060088,0.01876,0.041329,9.9947e-04
35,0.061071,0.018756,0.042314,9.9946e-04
36,0.066565,0.018782,0.047783,9.9944e-04
37,0.067106,0.018762,0.048345,9.9943e-04
38,0.059737,0.018721,0.041016,9.9941e-04
39,0.043728,0.018767,0.024961,9.9940e-04
40,0.06028,0.018736,0.041544,9.9938e-04
41,0.052464,0.018707,0.033757,9.9936e-04
42,0.054988,0.018696,0.036292,9.9935e-04
43,0.053186,0.018718,0.034468,9.9933e-04
44,0.067017,0.018711,0.048306,9.9932e-04
45,0.048835,0.018746,0.030089,9.9930e-04
46,0.058337,0.018677,0.03966,9.9929e-04
47,0.057531,0.018707,0.038825,9.9927e-04
48,0.056682,0.01867,0.038012,9.9926e-04
49,0.045963,0.018677,0.027286,9.9924e-04
50,0.055936,0.018639,0.037297,9.9922e-04
