submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-AR-A5QQ-01,-0.040529393,-0.59661996,-0.12397089,-0.26779196,-0.4424351,-1.1447979,0.3487781,1.4468598,-2.8060727,1.2154312,-0.56836474,-1.4091936,-1.6147971,-0.7427403,1.121003,0.19340594,1.5057267,0.61145717,-1.3593905,0.22656463,-1.2244891,-0.7085582,1.3503067,-0.46892053,0.3695949,0.08097032,1.7503839,1.0337065,-0.10079401,-0.37414747,-0.81246495,0.58204824,1
TCGA-D8-A1JA-01,1.0774146,-0.61322665,-0.93822294,-1.0000751,-0.35870978,1.015241,-0.098935455,1.8491801,0.985313,1.6445733,-0.69962656,0.07633833,1.7723048,-1.0718821,0.101842225,-0.4914329,-0.115964174,0.93317527,1.0583615,-0.55121285,-0.4294128,-0.5199068,-1.6467677,-1.324284,-0.37038353,0.7324432,1.4897234,-1.3481591,0.28219005,-1.0956155,1.3565496,-0.9082055,1
TCGA-BH-A0BQ-01,2.0773458,1.4869885,1.2673206,-0.40423045,0.41228652,0.78307945,1.5102358,-1.5751109,0.3859695,-0.78709465,0.16301344,0.1532271,0.110079065,1.4559602,-1.6516235,-0.6086484,-1.6158941,1.6577381,0.5198472,0.5208294,-0.46385628,1.3475134,0.0066693323,0.062995374,-1.0753125,0.107914835,0.7525271,1.5584486,-0.22042611,1.3863604,2.1208575,1.2226156,0
TCGA-BH-A0BT-01,0.5141932,0.07396246,-1.6298617,0.36721274,1.4281987,1.1940308,-2.2214909,1.4660363,-1.7566696,0.021891877,-1.1780217,0.4368172,-0.4759872,-1.3486495,0.96513134,0.52835184,-1.2212044,-0.17166342,-1.27941,0.75373316,0.75123984,-1.1669012,-1.1960865,-0.14158417,0.67768615,-2.4788666,1.6953824,-0.97679913,0.048751082,-0.83469135,0.54221755,0.9731702,0
TCGA-A8-A06X-01,-0.5145214,0.9325163,-1.0875667,-0.012130178,-0.25136882,0.8288152,1.1134427,1.7372106,1.0392091,1.1471089,-1.3610139,0.19885293,-0.38132313,0.68317634,0.35145319,1.3879285,-1.3323681,-0.9457777,0.25293347,-0.84358203,-0.5799689,1.1262264,-1.6626492,0.43225223,0.6419227,-0.34376025,0.011726004,1.891326,-0.493171,-1.1311258,-0.33527702,0.9273223,1
TCGA-A8-A096-01,-0.11514225,0.2212724,-1.5592059,-0.76155394,0.2500681,-0.22647187,0.1529913,-0.68169993,1.3865827,0.4049217,1.0052774,0.16084392,0.06224827,1.0593303,-0.39913332,-0.7196204,-0.32596093,1.075003,-0.5822249,-0.613955,-0.84940964,-0.71154463,-0.19961046,-0.7419412,-0.16398151,-0.24368444,-0.51989174,-0.36396536,-0.5897629,-0.17781506,-0.60417384,0.037762046,1
TCGA-BH-A0C7-01,-1.7413629,0.28404912,-0.14087172,-1.5790286,0.6453893,0.9962937,0.7173818,0.6503227,1.1607051,-1.1144569,-0.7938471,0.07889946,1.6280931,0.8594269,0.37284568,-1.3321787,-1.6158684,0.046095893,-1.0902281,0.31676137,-0.7998722,-1.2456174,-0.23172195,0.38867638,-0.5569977,1.3089317,1.0989165,-0.6068999,-0.5621467,-1.0931648,-1.3743902,0.3656909,0
TCGA-AC-A5XU-01,-1.2505051,0.5823118,-0.29439658,0.9994247,1.2819664,1.8110857,0.55679053,-0.14765999,0.8326319,-1.0144953,-1.5223699,-0.3184194,0.08011871,-1.4039181,-1.1771731,-0.05283983,-0.40523994,0.7180466,-0.06552729,-0.44894713,-0.36712477,-1.216726,1.8619869,1.2307287,-0.22448269,-0.92504644,-0.36119205,-0.55916095,-0.6592854,-0.06877314,0.5631866,0.3834428,1
TCGA-PE-A5DE-01,1.7197235,-1.0552763,1.3861935,0.018134177,-2.498836,-1.2536703,0.9387766,0.21998973,-1.9415832,0.5243406,-0.75278616,1.0828704,-0.010745496,0.93295556,-1.2003837,-0.38519853,-0.5200021,0.101915196,0.66861725,2.5624855,-0.98699915,1.3701497,1.0070944,-0.3621124,0.5124962,-1.6304955,-0.67718595,0.6614213,-0.67798966,-0.4462834,1.7643706,0.41346797,0
TCGA-PE-A5DC-01,0.050639197,-0.62719375,-0.18649139,-0.4599207,-0.2865579,-0.30652225,-0.9519587,0.7318874,-1.0427556,0.60248375,-1.9746106,-0.13376501,-1.6642501,0.9362686,0.9514408,1.0085378,-0.23670723,1.0356864,0.39222044,-0.37416118,-0.7815103,0.95079046,-0.7264846,0.5786746,-0.19921418,-0.71879184,0.05488387,-0.6458058,0.038016323,-0.27190313,0.51517093,-0.49669087,1
