epoch,total_loss,recon_loss,reg_loss,lr
1,0.241459,0.172034,0.069425,9.9998e-04
2,0.126013,0.084331,0.041683,9.9997e-04
3,0.100125,0.069374,0.030751,9.9995e-04
4,0.080953,0.061769,0.019184,9.9994e-04
5,0.049409,0.046461,0.002948,9.9992e-04
6,0.043362,0.042655,0.000707,9.9991e-04
7,0.042565,0.042053,0.000512,9.9989e-04
8,0.041689,0.041305,0.000384,9.9988e-04
9,0.04131,0.041014,0.000296,9.9986e-04
10,0.040814,0.04059,0.000225,9.9984e-04
11,0.04057,0.040383,0.000187,9.9983e-04
12,0.04039,0.040241,0.000149,9.9981e-04
13,0.040155,0.040031,0.000124,9.9980e-04
14,0.039906,0.039799,0.000107,9.9978e-04
15,0.039758,0.039667,9.2e-05,9.9977e-04
16,0.039736,0.039655,8.1e-05,9.9975e-04
17,0.039612,0.039541,7e-05,9.9974e-04
18,0.039609,0.039544,6.5e-05,9.9972e-04
19,0.039574,0.039517,5.8e-05,9.9971e-04
20,0.039508,0.039454,5.4e-05,9.9969e-04
21,0.039362,0.039312,5e-05,9.9967e-04
22,0.039424,0.039378,4.6e-05,9.9966e-04
23,0.039294,0.039251,4.3e-05,9.9964e-04
24,0.039304,0.039263,4.1e-05,9.9963e-04
25,0.039239,0.039202,3.7e-05,9.9961e-04
26,0.039283,0.039245,3.8e-05,9.9960e-04
27,0.039225,0.039188,3.7e-05,9.9958e-04
28,0.039156,0.039122,3.3e-05,9.9957e-04
29,0.039127,0.039097,3e-05,9.9955e-04
30,0.039157,0.039127,3.1e-05,9.9953e-04
31,0.039214,0.039183,3e-05,9.9952e-04
32,0.039159,0.039132,2.7e-05,9.9950e-04
33,0.039197,0.039167,3e-05,9.9949e-04
34,0.03916,0.039134,2.6e-05,9.9947e-04
35,0.039101,0.039076,2.6e-05,9.9946e-04
36,0.039031,0.039008,2.2e-05,9.9944e-04
37,0.038961,0.03894,2e-05,9.9943e-04
38,0.039012,0.038991,2.1e-05,9.9941e-04
39,0.038995,0.038974,2.1e-05,9.9940e-04
40,0.038933,0.038912,2.1e-05,9.9938e-04
41,0.038999,0.038979,2.1e-05,9.9936e-04
42,0.038974,0.038957,1.7e-05,9.9935e-04
43,0.038907,0.038891,1.6e-05,9.9933e-04
44,0.0389,0.038882,1.8e-05,9.9932e-04
45,0.038955,0.038939,1.6e-05,9.9930e-04
46,0.03887,0.038854,1.7e-05,9.9929e-04
47,0.038851,0.038835,1.6e-05,9.9927e-04
48,0.038836,0.03882,1.5e-05,9.9926e-04
49,0.038914,0.038897,1.7e-05,9.9924e-04
50,0.038896,0.038882,1.4e-05,9.9922e-04
