submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-AR-A5QQ-01,-0.039641827,-0.73885095,-0.19196112,0.2366897,1.1914048,0.43717763,-0.69369096,-0.7694687,0.3365078,-0.28150344,1.3121058,-0.12613085,-1.9663371,-0.84038544,-0.175779,0.15980256,-1.1833719,0.28845987,1.7996315,-0.721852,-0.24036086,-0.1369493,1.0308564,-1.777235,-0.1659371,0.8200868,0.9956245,0.77925533,1.4586408,-0.2924763,-0.7993365,-3.9301789,1
TCGA-D8-A1JA-01,-0.101208664,1.7006043,0.30347368,-0.8687887,-0.20378536,-0.47465473,1.228291,-1.3102844,0.22781473,2.1568513,-1.4702067,0.12865928,-1.4843771,-0.67971647,0.19082089,-0.7419118,1.0131408,-2.108085,0.5922352,0.4323008,-0.118216395,0.082222216,-0.90047073,-0.29222563,-0.106047094,0.41126794,-1.0295472,0.41073155,0.76541746,-2.6156113,1.3030812,-2.5429592,1
TCGA-BH-A0BQ-01,0.18797272,-1.935319,-1.0002807,1.2816983,-0.09600486,-0.0988185,0.52378684,0.84416753,0.17157178,1.4918326,-0.7904679,0.045435987,0.44401076,-0.06368327,-0.06852239,-0.07413155,-0.2172783,-1.6052773,-1.1259917,1.3389778,-0.09014066,-0.7556048,-0.11517252,-1.0722557,0.028493755,-1.4706188,0.7915184,0.5858223,2.229465,1.0028125,-0.47377872,0.18517953,0
TCGA-BH-A0BT-01,0.7279645,-2.5359535,-0.007413108,-0.69720995,1.8862797,-1.5743271,0.19218475,0.4111808,-1.9542089,0.12435807,0.39219248,0.35903507,0.16378225,-1.0752892,-1.133382,0.30743694,-0.9663416,0.1348696,-0.31545392,0.1065412,0.28202003,1.5738614,-0.88118374,-0.76894176,-0.02276396,0.814667,1.472533,-0.6110153,0.59747744,-0.050201654,0.0011261366,-0.7143376,0
TCGA-A8-A06X-01,0.8398917,0.95371956,-0.07574991,-0.83592033,0.8964676,-0.57689816,0.9161419,-0.5613914,-0.84897655,0.2720693,0.8588989,-0.3756571,-1.1739179,1.5548178,-0.99730444,-0.6081619,-3.5436964,0.1186531,0.34344795,1.6823432,-1.1339973,1.1393961,-0.54705495,1.7106607,-0.96976316,-1.445437,0.98100156,0.5453138,1.9662704,-0.035042837,0.7069777,-0.2692752,1
TCGA-A8-A096-01,-0.84735495,-0.47544986,-1.1273699,-0.8993257,0.43097067,1.0387594,-0.2472365,1.4357734,1.3043216,1.1767157,-0.2255676,-0.8960893,0.41887102,-0.013119489,-1.2435511,-1.036511,-0.03103823,0.6709788,-1.4657872,-0.8025399,-0.38327157,0.26139456,-1.3278053,-1.624699,0.3265865,-0.40351203,1.8094865,0.5941906,-0.9276275,-1.5602409,0.9837148,-0.17229566,1
TCGA-BH-A0C7-01,0.9813341,-0.28415972,0.49011326,-1.1212763,1.3543521,-0.6215787,0.7567113,-1.8054212,-0.3933234,0.27992466,0.34326047,-0.5620161,1.9753655,0.20246956,-1.0696907,0.29667515,-1.4928938,0.025304366,-1.779961,0.24145713,0.062769204,-0.48434928,1.015348,0.19416055,-1.5364149,-1.0207648,-2.1255312,-0.68205124,-0.34661663,2.5525248,-0.5503998,1.3639596,0
TCGA-AC-A5XU-01,-1.0403252,-1.4840199,0.7261195,0.7113423,0.7706321,1.3727175,-0.017724268,0.9707265,0.3051911,-1.1361403,-1.4009836,-0.34184247,-0.38583556,-0.75773627,-0.18572083,-0.35775775,0.62375754,0.745689,1.0146489,-0.61700475,1.1413268,0.17174807,-0.10472014,1.210225,0.21701922,0.8460867,-0.058156885,-0.05179458,-0.12281301,-2.5342195,1.0073318,-0.8382888,1
TCGA-PE-A5DE-01,1.8844213,2.2507463,-0.119028434,0.8719057,0.29361308,-1.0788889,1.129382,-0.2198049,-0.19112898,-0.41881973,-0.66749036,0.16655883,0.06124613,0.8951143,2.0579453,0.41645783,2.3889048,-1.0052358,2.5152752,-0.40667933,-0.121852234,0.04800145,-1.6452026,-0.93934155,0.3266141,1.5006348,2.731774,-0.17254326,0.40038735,0.27906471,-1.168627,-1.1210123,0
TCGA-PE-A5DC-01,-1.6747782,0.78924185,-0.063739724,-0.856078,0.46826085,-0.026607305,-1.3130789,0.6194579,0.13628623,-0.41134918,-0.6126673,0.066669285,-1.0614182,1.4066659,1.1979786,0.08869533,-0.99701184,0.4989769,0.6430931,0.11178796,-0.052234113,-0.8953307,-0.75926584,1.4933069,1.8262954,-0.3690005,-1.7206042,-0.5798887,0.08802533,1.0104305,0.0036306754,-1.7189507,1
TCGA-AR-A0TV-01,-0.25543296,-1.9253129,-0.01913744,1.2108672,0.9402423,-0.26342687,0.40693453,0.95039666,-1.2284415,0.8772133,0.8921458,0.42460042,0.046744294,0.13438371,2.2093372,1.6071298,-0.040843725,1.305071,0.9975895,-0.3491207,-2.1775274,0.16233617,0.10234389,0.10637503,0.0055882707,-0.51054406,-1.962253,-0.5421969,-0.80799747,1.4538074,-0.18605794,-1.2930331,0
TCGA-GM-A3XG-01,0.41317806,1.6188056,-1.9000949,-0.16871339,2.4660003,-0.11580168,0.7136138,-2.1050134,-0.3611852,-1.0576346,0.33288836,1.0908253,-0.21819122,0.80046797,1.1923593,-0.46507996,-0.4318656,0.547581,1.0996984,-1.5605494,-0.94461,-0.49588498,0.46267292,0.15818588,1.7793888,1.0666062,1.3066592,-0.4814189,-1.6568608,0.12200484,0.14744015,0.10545156,1
TCGA-BH-A18J-01,0.82191753,-0.45203158,-1.4909062,-0.91603136,-0.5784076,-0.39369714,-1.277874,0.67553437,0.24109453,0.35292304,-0.16303518,-0.009625867,0.91285115,-2.2724605,0.49529472,-0.40618616,1.1315184,-2.3334901,0.56004965,-0.47760546,1.5633659,-0.64617676,-2.2195861,0.36466062,1.8435214,0.17022762,2.7719278,1.0882934,0.7487761,-0.121793374,0.6006686,0.99462134,1
TCGA-BH-A0W7-01,-0.08591686,1.2307019,1.9097981,-2.5094237,2.012667,1.1608391,-0.5085678,-1.349275,0.40970618,1.1328269,-0.41499564,-0.2705047,-0.015071749,-0.58725923,0.43292454,-0.51629174,-0.5494711,-1.6472251,0.9638673,0.5331194,-1.02885,-2.356763,0.7768992,-0.8676444,0.58243775,-1.0697061,0.45922416,0.1972433,0.012632776,-1.9150771,-0.71161,0.74569535,1
TCGA-E9-A3QA-01,-0.9031992,-0.2963002,-0.28340858,1.421089,1.3350087,0.31046957,-0.39735362,-0.9386408,0.97568756,1.6927825,1.757935,0.45139322,0.18481465,-0.10586224,-0.69530684,0.2231746,0.68574595,-0.6967099,0.67458206,-0.39798415,-1.434561,-1.4167898,-0.9865336,1.6092869,0.22852762,2.0446172,-0.24896039,1.7193854,1.0144604,-0.15448205,1.2728578,-1.9365306,1
TCGA-A7-A4SD-01,0.19905308,0.9935875,-1.7016706,0.87893534,0.8265133,0.5846501,0.91608644,1.2583505,1.3715671,-1.519797,0.12530719,-0.89063036,-1.3406874,0.069870315,-0.38640085,0.35995013,-0.297203,-0.26091874,-2.0078404,1.8232821,-1.4068866,-1.6569157,1.3687037,0.11810498,-0.6572416,-0.5847548,-0.055051375,-0.4078379,-0.3143634,-0.8559995,-0.36133975,1.864299,1
TCGA-BH-A0HA-01,-0.069297835,-0.9505271,0.9573766,0.8706165,0.29319823,-2.1946778,-0.278963,-0.7955296,-0.06507259,0.2669424,0.9391321,-2.181423,0.05538594,1.0393143,0.36184648,1.3896351,0.9050878,-0.690976,-0.99773836,0.27161527,0.33869255,-0.271716,-2.0594108,0.4820691,0.16837338,0.0036101341,-0.9877114,0.35579994,0.9269289,1.7008332,-0.29679295,1.4590783,1
TCGA-AR-A5QN-01,0.7877954,-0.27883244,-0.6688775,1.2917209,0.8851608,-0.38315564,1.0823334,1.5575919,0.25968817,1.6762308,-1.5020498,-0.119742736,-1.1401888,-1.8281025,-1.1750252,1.0508223,-0.67301506,0.66142076,0.6835467,0.33223236,-0.047125157,0.5238879,1.7595425,1.8212386,0.2761808,-2.0525913,1.3074316,0.04061419,-1.429268,1.3544717,0.9503023,0.33651453,1
TCGA-A7-A0CH-11,1.471303,-0.5100072,0.87311745,-1.7494415,-1.0645393,-0.15571073,0.48553675,-0.1844682,-1.1145113,0.2703274,-0.90790266,1.0985533,0.78046685,0.19970593,-0.55662096,-1.2121456,-1.9747634,-1.5408928,-0.4589297,-0.2975676,-0.009106167,1.5474703,-0.026142277,-1.4538296,-0.2956648,0.46894634,0.20562637,0.018808179,-0.07921892,0.39237556,0.05979048,-0.26909855,1
TCGA-A7-A0CE-01,0.3307091,1.4161323,-2.652088,0.27874506,-0.17899956,-0.21656191,1.1369777,-0.85267407,-0.9388164,0.76480496,-0.32285795,-0.12675346,1.7691975,1.318758,0.56081223,-0.66895187,0.74030596,0.7302163,0.45411676,-0.6943319,-1.1428663,-0.40767002,1.0785604,-1.3783083,1.2395339,0.470133,1.5582455,-1.6467087,-0.6252061,0.6167865,-0.2081323,1.4207829,1
TCGA-AR-A0U1-01,-0.7197019,0.3024509,-1.1340781,1.033929,0.47047558,0.25570083,1.4515203,0.18473089,-1.8647285,-0.23765278,0.37360567,1.1898692,-0.049010593,1.059225,0.91563743,0.6572988,-1.3467948,1.4806926,-0.86816096,0.046309453,2.4025369,-0.73441666,-0.44586194,0.7664873,-1.022734,-1.8281056,-0.91663,-1.3244839,-0.39017308,-1.4860464,0.4658481,-0.38468057,0
TCGA-EW-A1OZ-01,-0.59403336,1.2103984,1.1164839,-1.3209002,-0.5651961,1.4429134,1.3774719,1.1741259,-0.4930228,1.1325055,-0.51048744,-0.46406832,-0.33870158,0.6190504,0.795401,-0.008009933,-1.6929953,0.7563196,0.42221576,-0.61821073,0.43258023,-0.5198397,0.54396015,-0.21846297,0.83654284,-0.3084177,1.1182506,0.5526846,-1.190357,1.7827098,0.25790906,-2.1964796,1
TCGA-A2-A0EY-01,-0.844287,-1.5397307,-0.126252,-1.4365997,-0.086131446,-1.2316576,0.32929224,-0.38165644,1.0039021,0.72618353,-0.34475422,-1.4046369,0.97573197,0.310907,-0.3661045,0.19721484,-1.5163118,-0.091100566,0.025816767,0.17055641,-1.5355091,-1.1858891,-0.6601208,-0.4518073,-0.6333771,-1.1583234,0.8187276,0.4894971,0.48687223,-0.13970792,-0.48604554,1.5509835,0
TCGA-A8-A09R-01,1.4168041,0.74039173,-0.039205357,-1.8614725,-1.4092963,0.73169744,-0.008594409,0.85840607,0.080042765,0.033714645,0.0424371,0.99849534,-0.63207954,1.2461197,0.5072729,0.9058159,-0.86232656,-1.3741292,-0.12733227,1.8956324,0.8312499,-0.37309054,0.06671351,-1.723323,0.97034526,-2.0398998,-1.1326901,2.4589543,0.19651587,-0.19163036,-1.4889338,0.10950126,1
TCGA-LL-A440-01,0.6135764,1.3730966,-0.7688484,-1.7358065,-0.1329724,-0.9903922,1.2056911,-0.10722722,1.4399935,-0.6094301,-1.7971622,0.20686997,0.030776424,0.61119133,1.2498243,0.9918513,1.2024916,0.069470316,1.5924792,1.9640626,0.16540849,-1.1282356,0.8242987,-0.014777908,-0.7412878,-0.83227205,1.5119561,0.94574195,0.7167413,0.11447698,0.10255656,1.1080502,1
TCGA-BH-A8FY-01,-0.53734016,-1.1032907,-0.48576906,0.429034,-0.21717799,-1.4215583,-1.3912219,-0.72850966,-1.591634,0.31518707,0.44581792,0.4341936,-1.3237652,-0.40675536,0.5588952,0.37659824,-1.5967467,1.4082737,0.22784545,-0.3244369,0.21529685,0.23911056,-0.80090487,0.97278863,-1.2568988,-1.013556,-0.98862827,-0.7236792,-0.6545465,-0.11922997,1.7107936,0.93701255,1
TCGA-E2-A1II-01,-0.45857584,0.11910481,0.068870544,-0.5828728,-0.8595465,0.04434882,-0.020483539,0.5388271,-0.23555502,1.0488657,2.480955,-0.93846613,-0.011519751,0.13125287,-0.07948452,-0.22322717,0.957459,-1.6820697,-0.38275543,-1.0156018,-1.557533,2.2459493,-0.23476419,0.19128378,0.43984765,-0.5973183,2.007685,1.4792316,-0.57325304,-0.22993237,-0.5513162,-2.0130508,1
TCGA-A7-A6VX-01,0.9446361,-1.5743151,1.2919303,0.7258947,0.75589025,-0.7098699,0.3986008,-0.17666267,0.22147676,-0.14636618,-0.52714664,-0.55361694,-0.88692075,0.13226977,0.73842776,-0.29671776,-1.0226271,-0.49669555,-0.36054993,0.3432449,0.044911668,-2.365632,0.0668254,0.59919053,1.3093632,0.4391569,-0.20236912,-0.016026737,1.1825788,-0.28674647,-0.63573307,0.9775147,1
TCGA-C8-A273-01,0.36090332,-0.89726484,-1.072541,-0.96952987,-0.20868674,-2.3921466,1.0454823,-3.2001348,-1.4315634,0.87492406,-0.08480059,0.90447515,-0.35618266,0.4441801,0.015834855,0.70471555,0.19986588,-1.7881372,1.0464705,-0.37793323,-0.6898156,-1.894198,-0.33610514,0.5542316,1.35974,0.5781826,-1.0479419,-0.41401544,-0.042533454,-1.0600464,1.0608068,0.80464125,1
TCGA-BH-A1EO-01,0.98965985,0.22594194,-0.20909601,-0.11649766,-0.2433264,-0.824715,0.41301107,1.5350592,0.15331036,-0.05874788,-0.27263826,0.62005484,-0.4502095,0.44035047,0.62529206,1.2551744,0.07228591,-0.37386438,0.21853076,-0.7485891,0.66290605,0.48442817,0.3717653,0.8160945,-0.6702566,-0.25645325,-1.4147248,0.09066366,-0.24203196,-0.16509283,0.4283665,-0.37665775,0
TCGA-OL-A5RX-01,-1.5057768,0.796178,-1.3249655,0.45175207,-0.1114754,0.6268109,-0.78268117,-0.49774748,0.16279443,0.090880334,0.23961101,-1.6960672,-2.0923004,-1.4707224,-1.0413176,-0.3807793,0.6709349,-0.23499309,-1.0796819,-0.41717196,-0.21191403,-0.81871253,0.4726239,-0.5290404,-1.3061345,-0.29212618,1.4663486,0.41424692,0.3361732,0.4026715,-0.0012766011,-0.1669096,1
TCGA-BH-A0B9-01,-1.7775055,-1.0783557,1.789708,0.0734825,-1.813514,0.9541682,0.19981997,-0.20279548,0.19522254,-0.12318289,0.4756547,-1.5200044,-1.4253165,0.05472888,-0.5501855,-0.16643116,-1.2752299,-2.7481236,1.200518,0.59682345,0.061092272,-1.9061809,1.6593887,-0.0870706,0.9697183,0.8865025,-1.7732716,0.37151945,-0.74044013,-1.0910552,-1.1598481,1.224257,1
TCGA-EW-A1P5-01,0.8455782,-0.38324082,0.2914377,0.7152393,0.89440095,-0.5319915,1.7336639,-1.2702793,0.55220354,0.34270215,-0.8319422,0.7026314,-0.5845378,-0.4635182,1.0281373,0.0126507655,-1.4836947,3.2168324,0.99404365,-0.2481499,0.5014015,1.715569,-0.627787,-0.57096624,0.6385586,1.3552862,1.4344813,-0.7691647,-0.5549642,-1.206673,0.37162516,1.9196689,1
TCGA-AO-A03P-01,-1.743785,0.7319312,2.0785165,-0.19244671,-1.6687183,0.71100855,0.13044953,-0.3045239,0.71002454,0.52914625,0.53891957,0.34905082,-0.14768288,0.75049055,2.4169576,0.5844618,-2.1370404,-1.2140108,-1.0152442,1.1303178,-0.287915,1.5179992,0.22877118,-1.7974951,0.33771503,0.94994795,1.3180546,0.6499553,0.9536158,1.1959907,1.4402204,2.2478452,0
TCGA-AN-A0AS-01,0.10266548,-0.5886512,-1.1561675,-0.7580793,0.15681352,-0.50522774,0.3845346,0.7390505,0.58352226,-0.81413317,-0.4536196,-0.6978674,-0.09660936,0.5563165,-0.45370412,1.1440345,0.36528653,0.20590654,-1.7191513,-1.6367424,0.6109514,-0.5532423,-0.07563159,-0.5161633,0.17545763,1.5268312,-0.67302835,0.64019316,-0.08743383,0.8302072,-0.59955955,3.1791244,1
TCGA-A2-A1G0-01,-0.44580883,0.12285407,-0.54061186,-0.5402442,0.10559471,-0.89354295,-1.8981566,0.020784609,-0.6185696,-1.294369,-0.37732008,-0.83413184,-0.48791134,-0.5906281,-2.2991376,-0.18531615,1.1149616,0.03674301,0.26606986,-2.6198125,-1.192639,0.13141814,-0.1708225,-0.9592527,-0.5683435,2.1355052,0.23157725,-2.1927295,0.69856113,-0.16263068,0.66123235,-2.331409,1
TCGA-B6-A0I8-01,-0.47095805,-0.8125855,0.79098433,0.3894233,-0.57351816,-0.83651817,0.405011,-0.4770922,-0.66871846,-0.002989836,-0.9405654,-0.8068211,-0.190624,-0.11161614,-0.37683246,1.575008,0.081658736,-0.18934822,1.121932,0.2426031,-1.2681243,-0.85941947,-0.22640643,-0.6827966,0.07636135,1.082814,1.2363877,0.2549646,-0.37379563,0.77254224,1.1288955,-0.5478058,1
TCGA-A7-A4SA-01,0.761403,1.3961871,0.6406596,0.12992704,-0.82110894,-1.938936,0.8778445,-0.7782992,-0.3634094,0.51594406,-1.9850061,-0.92609584,1.3893664,0.406928,-0.09672538,-0.6797115,-1.9966059,1.5401907,-0.18990335,0.51789904,0.68841,-1.2223748,0.48694962,0.47350702,0.068903476,-0.18563841,-0.32600927,0.36107388,1.0583768,-0.15254144,0.5248195,-1.3301853,1
TCGA-E9-A1RC-11,-1.8169777,-0.27899525,0.22205205,-0.6449685,-1.5780344,0.24262619,-0.97019243,0.0029768539,2.3335059,0.09579121,0.86834097,-0.30632114,-1.4130311,-0.6456458,-0.28410837,-0.10302498,-0.8942462,0.37711784,0.60268843,-0.33353895,-0.83773834,0.12357328,-1.1317168,0.72070307,0.29265875,0.0456654,0.44231343,1.9183623,0.34557614,0.32464382,1.3802661,0.10954685,1
TCGA-A7-A0DB-11,0.60186946,-0.34726253,0.44508332,-0.836009,0.83722156,-0.16782033,-0.64959896,-1.4026595,1.3648331,0.029728416,-0.47807837,3.0174794,-0.90288377,-0.79345936,-2.2776344,-0.3872607,-1.0804056,-1.6018378,0.551329,0.33871564,-0.44415724,0.48378113,-0.052025743,-0.8336849,-0.42529655,1.2688073,-0.10843521,-0.3035416,0.9071674,1.4697317,-0.63621604,0.3185446,1
