epoch,total_loss,recon_loss,reg_loss,lr
1,0.504113,0.281424,0.222689,9.9998e-04
2,0.243209,0.118889,0.12432,9.9997e-04
3,0.140708,0.064111,0.076597,9.9995e-04
4,0.108287,0.047972,0.060315,9.9994e-04
5,0.109977,0.044378,0.065598,9.9992e-04
6,0.114191,0.042708,0.071483,9.9991e-04
7,0.088683,0.041672,0.047011,9.9989e-04
8,0.090328,0.041352,0.048975,9.9988e-04
9,0.0936,0.040759,0.052841,9.9986e-04
10,0.092729,0.040508,0.05222,9.9984e-04
11,0.077843,0.040283,0.037559,9.9983e-04
12,0.101462,0.040183,0.061279,9.9981e-04
13,0.086531,0.039926,0.046605,9.9980e-04
14,0.07638,0.039871,0.036509,9.9978e-04
15,0.084526,0.039831,0.044695,9.9977e-04
16,0.088503,0.039715,0.048788,9.9975e-04
17,0.091006,0.0397,0.051306,9.9974e-04
18,0.094092,0.039667,0.054425,9.9972e-04
19,0.096,0.039585,0.056415,9.9971e-04
20,0.07639,0.039514,0.036876,9.9969e-04
21,0.066532,0.039425,0.027106,9.9967e-04
22,0.076815,0.03932,0.037495,9.9966e-04
23,0.083625,0.039264,0.044362,9.9964e-04
24,0.085647,0.039449,0.046198,9.9963e-04
25,0.069295,0.039264,0.030031,9.9961e-04
26,0.080585,0.039328,0.041257,9.9960e-04
27,0.088533,0.03933,0.049203,9.9958e-04
28,0.078425,0.03924,0.039185,9.9957e-04
29,0.07029,0.03918,0.03111,9.9955e-04
30,0.092193,0.039261,0.052932,9.9953e-04
31,0.079045,0.039077,0.039968,9.9952e-04
32,0.064614,0.039089,0.025525,9.9950e-04
33,0.068501,0.039232,0.029269,9.9949e-04
34,0.079738,0.039135,0.040604,9.9947e-04
35,0.074771,0.039078,0.035693,9.9946e-04
36,0.088497,0.039129,0.049368,9.9944e-04
37,0.07937,0.039096,0.040273,9.9943e-04
38,0.072673,0.039078,0.033595,9.9941e-04
39,0.076562,0.039043,0.037519,9.9940e-04
40,0.068522,0.039084,0.029438,9.9938e-04
41,0.065731,0.039079,0.026652,9.9936e-04
42,0.0765,0.038977,0.037523,9.9935e-04
43,0.097134,0.039047,0.058087,9.9933e-04
44,0.078811,0.038992,0.039818,9.9932e-04
45,0.071241,0.039042,0.0322,9.9930e-04
46,0.087422,0.038955,0.048468,9.9929e-04
47,0.080122,0.038947,0.041175,9.9927e-04
48,0.077628,0.038917,0.038712,9.9926e-04
49,0.093604,0.038925,0.054679,9.9924e-04
50,0.085344,0.03889,0.046454,9.9922e-04
