run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,cv_roc_auc,cv_auprc,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_tn,cv_fp,cv_fn,cv_tp,full_roc_auc,full_auprc,full_tn,full_fp,full_fn,full_tp
logcosh_kl,logcosh,kl,1.0,10.0,mrna,rbf_svm,0.5066,0.7717,0.6797,0.7643,0.8363,0.7979,5.4,23.8,15.1,77.1,0.9441,0.9686,235,57,59,863
mse_kl,mse,kl,1.0,10.0,mrna,rbf_svm,0.493,0.756,0.673,0.7596,0.834,0.7948,4.8,24.4,15.3,76.9,0.9414,0.9672,236,56,53,869
logcosh_kl,logcosh,kl,1.0,10.0,mrna,linear_svm,0.4723,0.7455,0.5123,0.7569,0.5283,0.6206,13.5,15.7,43.5,48.7,0.5752,0.7973,164,128,407,515
mse_kl,mse,kl,1.0,10.0,mrna,linear_svm,0.5016,0.7668,0.5149,0.7602,0.5295,0.622,13.7,15.5,43.4,48.8,0.5876,0.8036,163,129,408,514
logcosh_kl,logcosh,kl,1.0,10.0,mrna,poly_svm,0.4742,0.7471,0.7159,0.7532,0.9306,0.8325,1.1,28.1,6.4,85.8,0.9691,0.9753,221,71,1,921
mse_kl,mse,kl,1.0,10.0,mrna,poly_svm,0.5141,0.7763,0.7191,0.7609,0.9186,0.8322,2.6,26.6,7.5,84.7,0.9735,0.9826,231,61,4,918
logcosh_kl,logcosh,kl,1.0,10.0,mrna,sigmoid_svm,0.5206,0.781,0.4827,0.763,0.4621,0.5736,16.0,13.2,49.6,42.6,0.6201,0.8214,131,161,572,350
logcosh_kl,logcosh,kl,1.0,10.0,mrna,random_forest,0.488,0.7556,0.6689,0.7611,0.8221,0.7903,5.4,23.8,16.4,75.8,0.9681,0.9826,252,40,18,904
mse_kl,mse,kl,1.0,10.0,mrna,sigmoid_svm,0.5079,0.7706,0.4852,0.7595,0.474,0.5815,15.2,14.0,48.5,43.7,0.6223,0.8154,111,181,532,390
mse_kl,mse,kl,1.0,10.0,mrna,random_forest,0.4897,0.7572,0.6771,0.7648,0.8298,0.7954,5.7,23.5,15.7,76.5,0.9709,0.9835,252,40,15,907
