run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,fold,roc_auc,auprc,accuracy,precision,recall,f1,tn,fp,fn,tp
logcosh_kl,logcosh,kl,1.0,10.0,mrna,rbf_svm,1,0.4397,0.7497,0.6311,0.74,0.7957,0.7668,3,26,19,74
logcosh_kl,logcosh,kl,1.0,10.0,mrna,rbf_svm,2,0.4587,0.7355,0.6639,0.7708,0.7957,0.7831,7,22,19,74
logcosh_kl,logcosh,kl,1.0,10.0,mrna,rbf_svm,3,0.504,0.7577,0.6475,0.7526,0.7935,0.7725,6,24,19,73
logcosh_kl,logcosh,kl,1.0,10.0,mrna,rbf_svm,4,0.633,0.8469,0.6557,0.7778,0.7609,0.7692,10,20,22,70
logcosh_kl,logcosh,kl,1.0,10.0,mrna,rbf_svm,5,0.4106,0.74,0.6529,0.7404,0.837,0.7857,2,27,15,77
logcosh_kl,logcosh,kl,1.0,10.0,mrna,rbf_svm,6,0.5555,0.7718,0.7273,0.798,0.8587,0.8272,9,20,13,79
logcosh_kl,logcosh,kl,1.0,10.0,mrna,rbf_svm,7,0.4816,0.7619,0.6446,0.7526,0.7935,0.7725,5,24,19,73
logcosh_kl,logcosh,kl,1.0,10.0,mrna,rbf_svm,8,0.4595,0.7339,0.7273,0.7757,0.9022,0.8342,5,24,9,83
logcosh_kl,logcosh,kl,1.0,10.0,mrna,rbf_svm,9,0.5678,0.8189,0.719,0.7544,0.9348,0.835,1,28,6,86
logcosh_kl,logcosh,kl,1.0,10.0,mrna,rbf_svm,10,0.5551,0.8002,0.7273,0.781,0.8913,0.8325,6,23,10,82
logcosh_kl,logcosh,kl,1.0,10.0,mrna,linear_svm,1,0.4926,0.7676,0.5082,0.7797,0.4946,0.6053,16,13,47,46
logcosh_kl,logcosh,kl,1.0,10.0,mrna,linear_svm,2,0.3773,0.7012,0.4344,0.7,0.4516,0.549,11,18,51,42
logcosh_kl,logcosh,kl,1.0,10.0,mrna,linear_svm,3,0.4583,0.7194,0.6148,0.7848,0.6739,0.7251,13,17,30,62
logcosh_kl,logcosh,kl,1.0,10.0,mrna,linear_svm,4,0.5908,0.8163,0.5738,0.8571,0.5217,0.6486,22,8,44,48
logcosh_kl,logcosh,kl,1.0,10.0,mrna,linear_svm,5,0.4022,0.7158,0.5041,0.7353,0.5435,0.625,11,18,42,50
logcosh_kl,logcosh,kl,1.0,10.0,mrna,linear_svm,6,0.4636,0.7272,0.4711,0.7414,0.4674,0.5733,14,15,49,43
logcosh_kl,logcosh,kl,1.0,10.0,mrna,linear_svm,7,0.4284,0.7325,0.4711,0.7121,0.5109,0.5949,10,19,45,47
logcosh_kl,logcosh,kl,1.0,10.0,mrna,linear_svm,8,0.4768,0.7343,0.5124,0.7705,0.5109,0.6144,15,14,45,47
logcosh_kl,logcosh,kl,1.0,10.0,mrna,linear_svm,9,0.5686,0.8165,0.5372,0.7571,0.5761,0.6543,12,17,39,53
logcosh_kl,logcosh,kl,1.0,10.0,mrna,linear_svm,10,0.4642,0.7245,0.4959,0.7313,0.5326,0.6164,11,18,43,49
logcosh_kl,logcosh,kl,1.0,10.0,mrna,poly_svm,1,0.403,0.7312,0.7131,0.7544,0.9247,0.8309,1,28,7,86
logcosh_kl,logcosh,kl,1.0,10.0,mrna,poly_svm,2,0.5365,0.7761,0.7295,0.7679,0.9247,0.839,3,26,7,86
logcosh_kl,logcosh,kl,1.0,10.0,mrna,poly_svm,3,0.3699,0.6889,0.6967,0.7434,0.913,0.8195,1,29,8,84
logcosh_kl,logcosh,kl,1.0,10.0,mrna,poly_svm,4,0.4891,0.7829,0.6803,0.7345,0.9022,0.8098,0,30,9,83
logcosh_kl,logcosh,kl,1.0,10.0,mrna,poly_svm,5,0.5195,0.763,0.7438,0.7699,0.9457,0.8488,3,26,5,87
logcosh_kl,logcosh,kl,1.0,10.0,mrna,poly_svm,6,0.3984,0.686,0.7438,0.7607,0.9674,0.8517,1,28,3,89
logcosh_kl,logcosh,kl,1.0,10.0,mrna,poly_svm,7,0.5015,0.7486,0.6942,0.7434,0.913,0.8195,0,29,8,84
logcosh_kl,logcosh,kl,1.0,10.0,mrna,poly_svm,8,0.4352,0.7285,0.6942,0.7477,0.9022,0.8177,1,28,9,83
logcosh_kl,logcosh,kl,1.0,10.0,mrna,poly_svm,9,0.5513,0.7759,0.7521,0.7583,0.9891,0.8585,0,29,1,91
logcosh_kl,logcosh,kl,1.0,10.0,mrna,poly_svm,10,0.5371,0.7896,0.7107,0.7522,0.9239,0.8293,1,28,7,85
logcosh_kl,logcosh,kl,1.0,10.0,mrna,sigmoid_svm,1,0.4627,0.7653,0.5,0.7963,0.4624,0.585,18,11,50,43
logcosh_kl,logcosh,kl,1.0,10.0,mrna,sigmoid_svm,2,0.611,0.8324,0.418,0.7115,0.3978,0.5103,14,15,56,37
logcosh_kl,logcosh,kl,1.0,10.0,mrna,sigmoid_svm,3,0.4946,0.756,0.5492,0.7681,0.5761,0.6584,14,16,39,53
logcosh_kl,logcosh,kl,1.0,10.0,mrna,sigmoid_svm,4,0.4417,0.7412,0.5164,0.8367,0.4457,0.5816,22,8,51,41
logcosh_kl,logcosh,kl,1.0,10.0,mrna,sigmoid_svm,5,0.6001,0.8373,0.5124,0.7538,0.5326,0.6242,13,16,43,49
logcosh_kl,logcosh,kl,1.0,10.0,mrna,sigmoid_svm,6,0.5094,0.7533,0.4298,0.7255,0.4022,0.5175,15,14,55,37
logcosh_kl,logcosh,kl,1.0,10.0,mrna,sigmoid_svm,7,0.5375,0.785,0.4463,0.7551,0.4022,0.5248,17,12,55,37
