run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,cv_roc_auc,cv_auprc,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_tn,cv_fp,cv_fn,cv_tp,full_roc_auc,full_auprc,full_tn,full_fp,full_fn,full_tp
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,rbf_svm,0.4566,0.7386,0.6532,0.7497,0.8156,0.7812,4.1,25.1,17.0,75.2,0.9288,0.9632,221,71,47,875
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,linear_svm,0.4534,0.737,0.5058,0.7418,0.5346,0.62,12.1,17.1,42.9,49.3,0.5585,0.7874,150,142,378,544
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,poly_svm,0.4775,0.754,0.7084,0.7555,0.911,0.8257,2.0,27.2,8.2,84.0,0.9685,0.9773,222,70,8,914
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,sigmoid_svm,0.528,0.7823,0.4523,0.7335,0.4348,0.5447,14.8,14.4,52.1,40.1,0.6262,0.815,123,169,553,369
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,random_forest,0.4689,0.7511,0.6425,0.7457,0.8027,0.7728,4.0,25.2,18.2,74.0,0.9591,0.9771,247,45,19,903
mse_mmd,mse,mmd,1.0,10.0,mrna,rbf_svm,0.4768,0.7668,0.6689,0.7549,0.8352,0.7929,4.2,25.0,15.2,77.0,0.9318,0.9584,227,65,44,878
mse_mmd,mse,mmd,1.0,10.0,mrna,linear_svm,0.5052,0.7715,0.5287,0.7662,0.5433,0.6336,14.1,15.1,42.1,50.1,0.5877,0.8074,141,151,351,571
mse_mmd,mse,mmd,1.0,10.0,mrna,poly_svm,0.5156,0.7821,0.7159,0.76,0.9155,0.83,2.5,26.7,7.8,84.4,0.9693,0.9818,220,72,7,915
mse_mmd,mse,mmd,1.0,10.0,mrna,sigmoid_svm,0.4951,0.7638,0.4777,0.76,0.4576,0.5697,15.8,13.4,50.0,42.2,0.6155,0.8101,119,173,535,387
mse_mmd,mse,mmd,1.0,10.0,mrna,random_forest,0.489,0.7588,0.6697,0.7627,0.8199,0.7901,5.7,23.5,16.6,75.6,0.9727,0.9851,255,37,15,907
