run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,fold,roc_auc,auprc,accuracy,precision,recall,f1,tn,fp,fn,tp
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,rbf_svm,1,0.4082,0.7205,0.623,0.7374,0.7849,0.7604,3,26,20,73
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,rbf_svm,2,0.4968,0.7588,0.6803,0.7647,0.8387,0.8,5,24,15,78
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,rbf_svm,3,0.4572,0.7357,0.6639,0.7525,0.8261,0.7876,5,25,16,76
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,rbf_svm,4,0.5087,0.7849,0.6639,0.7525,0.8261,0.7876,5,25,16,76
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,rbf_svm,5,0.4535,0.7362,0.6281,0.7374,0.7935,0.7644,3,26,19,73
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,rbf_svm,6,0.3842,0.6987,0.6446,0.7379,0.8261,0.7795,2,27,16,76
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,rbf_svm,7,0.443,0.7229,0.6198,0.7347,0.7826,0.7579,3,26,20,72
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,rbf_svm,8,0.4618,0.7349,0.686,0.7547,0.8696,0.8081,3,26,12,80
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,rbf_svm,9,0.4674,0.7427,0.6612,0.7629,0.8043,0.7831,6,23,18,74
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,rbf_svm,10,0.4854,0.7511,0.6612,0.7629,0.8043,0.7831,6,23,18,74
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,linear_svm,1,0.4153,0.7297,0.5328,0.725,0.6237,0.6705,7,22,35,58
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,linear_svm,2,0.4249,0.7275,0.5082,0.7391,0.5484,0.6296,11,18,42,51
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,linear_svm,3,0.4957,0.7833,0.5246,0.7576,0.5435,0.6329,14,16,42,50
logcosh_mmd,logcosh,mmd,1.0,10.0,mrna,linear_svm,4,0.4322,0.7256,0.418,0.6981,0.4022,0.5103,14,16,55,37
