submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-3C-AAAU-01,0.51378214,-0.917125,-0.070605054,0.7951248,-0.4505702,0.69672227,1.2297609,1.2790304,-1.34355,0.9212506,1.4293824,0.22216684,0.9084293,0.6518978,-0.5040188,1.4832317,-0.26432794,1.8624728,0.6905424,-0.09010484,2.1876974,-0.61564064,1.3155495,1.1199527,1.7426605,1.3684419,-1.5285257,1.0676029,0.27320933,1.0894945,2.6969812,0.7151916,0
TCGA-3C-AALI-01,-0.83243424,-0.5109482,-1.4655881,-1.3796978,0.019913808,-0.91737175,2.0399096,-0.88963664,-1.0115807,-0.44432223,-1.7902479,0.44198847,-0.47856316,-1.5902793,-0.75760704,2.6356392,-1.3745533,1.1523452,0.9427695,-0.3590172,-0.35914415,0.8304884,-1.5438085,0.5393312,0.0028046966,-0.39903152,0.6001993,0.3526047,-0.9505687,1.1097312,-1.7478548,1.9486109,0
TCGA-3C-AALJ-01,-0.11881444,0.8479437,-0.5281113,-0.45255065,1.3768897,1.2770617,-0.049664646,-0.69806445,2.4172082,-3.2423246,-0.8014772,-0.8508681,0.015123978,1.8099567,0.29321235,2.1998594,-0.7946341,-0.66949356,0.57293975,-0.6465226,-1.7623023,1.3058105,0.4416448,-1.6368337,0.1660098,-1.1335759,1.7768887,-0.48789018,-1.0136871,0.68052185,-1.6012263,-1.1411482,1
TCGA-3C-AALK-01,-1.1252226,0.69475996,-1.9903619,-0.3363887,-0.25269055,-0.29630524,0.011604279,-0.5378983,-0.14923324,-1.0595208,-1.0698582,0.0043557584,-1.5801963,-0.9541199,-0.9140091,0.9603142,-0.48107183,-0.031658083,0.5104905,-1.8186934,-2.4713213,0.56092405,-1.7398938,0.14758128,0.10648044,-0.45825374,-0.31436947,0.12613504,-2.3148525,0.057925157,-3.0623217,-0.59679556,1
TCGA-4H-AAAK-01,-1.323647,0.8038863,-1.4438838,-0.8267999,-0.10068908,-0.4074756,-0.22227134,-1.5197513,1.044007,-2.0819104,-1.070988,-1.7307533,-1.801782,0.17818695,-0.77459306,0.62500226,-0.34748113,-1.2134613,0.961906,-1.97685,-2.55204,0.8141514,-1.6023451,-0.629949,-0.27593657,-0.33183706,-0.46137625,-0.07271262,-1.3337135,0.66206706,-3.2595737,-0.95700574,1
TCGA-5L-AAT0-01,1.0636108,1.1050638,-1.6519923,1.3243885,-0.19181101,1.8982965,-1.6640954,1.4233072,-0.47599202,-0.4263891,2.2083268,0.96110195,-0.44953644,0.97638357,1.9949585,-0.8502573,1.9311825,0.74914575,-0.59005433,-2.7388158,-2.948358,-0.94364905,1.1309816,0.39810237,0.9338004,-0.2560959,-0.71704507,-1.1444142,0.79680413,-2.121666,1.329229,0.06812301,1
TCGA-5L-AAT1-01,-0.75315917,1.4957469,-1.7621425,1.0447218,0.6796249,1.1894708,-1.4573348,0.3668119,-0.31434733,0.4572008,0.44075626,0.31292397,-0.33496216,1.2292017,1.9812218,-0.7470304,0.69688964,-0.10943909,-1.3873258,-2.0035348,-2.5597415,0.6655117,1.5583969,-0.06975996,0.28786045,-0.014877781,-0.75271213,-0.71270734,0.4413222,-0.77098304,1.556514,-1.5546257,1
TCGA-5T-A9QA-01,-0.8230931,-0.36619514,0.1347065,-1.7274269,-0.6819353,-0.621251,2.0033753,-0.108904436,0.011577211,-1.2631385,0.61228514,-0.6064512,-1.4334862,-1.7789425,-1.6667424,2.3175542,-1.6598238,0.37924492,1.8972231,-1.6067919,1.6552606,0.17926884,-0.4852727,-0.16382238,-0.29143286,0.4172628,-0.59238744,1.9963949,-2.0322418,1.0819831,-0.3199737,-0.2916153,1
TCGA-A1-A0SB-01,1.1548924,0.6361395,-1.2490767,0.7969937,-0.26493403,0.13978666,-1.2744408,0.09531152,-0.47975132,-0.2113366,0.9289992,0.015229642,-0.575372,0.60115993,1.7639207,-0.8545749,1.6242256,0.0076911096,-0.7026758,0.15128401,-2.2463088,0.2356449,0.97431946,0.14180492,-0.025585085,0.40461293,-0.51767015,-1.3616441,0.32689926,-0.9602931,0.9677115,-1.4982588,1
TCGA-A1-A0SD-01,-0.34025747,0.47650877,0.077192515,0.0016844012,-1.671076,-0.021367103,0.84346455,1.0609524,0.059345365,-0.091307506,0.8895866,-0.5579669,-1.5190756,0.6653372,-0.37787873,-1.3312604,1.2176192,-1.3375788,0.23607346,-1.0239614,-1.6159351,-0.7022803,1.709548,0.0006702915,-0.22316808,0.6153184,-2.0511184,0.2913366,-0.07542319,-0.2779215,1.5798966,-1.358827,1
TCGA-A1-A0SE-01,2.675817,-1.5372854,0.947967,0.006638944,-1.1260469,0.34946674,1.1694276,0.35099617,-0.6796735,0.060730085,1.30081,0.87237525,0.9637148,-0.24422415,-0.26834416,0.3259205,0.9023708,0.012921546,-0.078882724,1.7301997,1.9834791,-1.7835798,-0.09760088,0.89376926,-0.51731354,0.85514975,-0.4829375,2.2072544,1.2203315,-0.5547416,1.8548427,2.225441,1
TCGA-A1-A0SF-01,0.061317425,2.0027928,1.2055975,1.5959388,-0.15270469,-1.3656887,-0.6440201,1.6669737,1.1143498,0.03307295,1.581508,-0.119415104,0.9522483,0.7504075,1.5206603,-2.861316,1.5470916,-0.2599637,-0.6239398,1.1678271,-0.77180535,0.20501015,1.2210262,-1.4059441,-2.369279,-0.04549256,0.30704045,0.09785156,1.3699061,-1.7945207,-1.7228305,-1.4369832,1
