epoch,total_loss,recon_loss,reg_loss,lr
1,0.416101,0.363645,0.052456,9.9999e-04
2,0.362766,0.34373,0.019036,9.9997e-04
3,0.321757,0.294799,0.026957,9.9996e-04
4,0.315314,0.28948,0.025834,9.9994e-04
5,0.304872,0.27979,0.025082,9.9993e-04
6,0.29501,0.270306,0.024703,9.9992e-04
7,0.290158,0.266833,0.023325,9.9990e-04
8,0.287546,0.264277,0.023269,9.9989e-04
9,0.288347,0.263739,0.024609,9.9988e-04
10,0.288873,0.265009,0.023864,9.9986e-04
11,0.289399,0.265405,0.023993,9.9985e-04
12,0.288416,0.265538,0.022878,9.9983e-04
13,0.287655,0.263513,0.024142,9.9982e-04
14,0.286093,0.262416,0.023678,9.9981e-04
15,0.288479,0.265575,0.022904,9.9979e-04
16,0.284445,0.262044,0.022401,9.9978e-04
17,0.287465,0.263842,0.023623,9.9976e-04
18,0.28415,0.262048,0.022102,9.9975e-04
19,0.286814,0.263707,0.023107,9.9974e-04
20,0.283864,0.26186,0.022005,9.9972e-04
21,0.282024,0.260371,0.021653,9.9971e-04
22,0.282544,0.260131,0.022414,9.9969e-04
23,0.285332,0.261533,0.0238,9.9968e-04
24,0.284154,0.261786,0.022368,9.9967e-04
25,0.284327,0.260504,0.023823,9.9965e-04
26,0.28156,0.260001,0.021559,9.9964e-04
27,0.288024,0.26389,0.024134,9.9963e-04
28,0.285019,0.262212,0.022806,9.9961e-04
29,0.28214,0.259154,0.022987,9.9960e-04
30,0.281221,0.258033,0.023188,9.9958e-04
31,0.283862,0.261517,0.022345,9.9957e-04
32,0.284167,0.260658,0.023509,9.9956e-04
33,0.280009,0.256494,0.023515,9.9954e-04
34,0.281479,0.258726,0.022753,9.9953e-04
35,0.278174,0.256839,0.021334,9.9951e-04
36,0.280978,0.257419,0.023558,9.9950e-04
37,0.278375,0.255535,0.02284,9.9949e-04
38,0.28056,0.258143,0.022417,9.9947e-04
39,0.274706,0.251198,0.023508,9.9946e-04
40,0.275698,0.25334,0.022358,9.9944e-04
41,0.276678,0.2538,0.022878,9.9943e-04
42,0.271615,0.249177,0.022438,9.9942e-04
43,0.275628,0.253259,0.022369,9.9940e-04
44,0.274538,0.250713,0.023826,9.9939e-04
45,0.274586,0.24998,0.024605,9.9938e-04
46,0.27142,0.248764,0.022656,9.9936e-04
47,0.270828,0.248614,0.022214,9.9935e-04
48,0.273212,0.250123,0.023089,9.9933e-04
49,0.271747,0.247913,0.023834,9.9932e-04
50,0.270892,0.246578,0.024314,9.9931e-04
