submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-3C-AAAU-01,-0.038823523,-1.6451819,-0.7329937,-0.34295955,0.77204543,0.26699677,-0.095792025,-0.09183985,0.58853775,-0.43341362,1.577973,-0.026860178,0.36131054,-2.1437523,1.0521734,-0.49714047,-0.43252155,-0.13652843,-1.3524692,1.4013474,0.35987687,1.0964721,0.125079,-0.33035237,-0.30279624,1.535337,-1.761323,-0.4324301,-0.39366093,-0.41842192,0.66376126,-1.1207645,0
TCGA-3C-AALI-01,-0.23824716,-0.5082066,-0.005596459,2.580936,1.6122111,-1.1620079,-0.5580312,-1.4111955,0.70244575,1.4868971,2.1502018,0.1862556,0.84857285,-0.34459388,0.80544114,-0.7426721,-1.4173759,2.21411,0.7507331,-0.33373022,-0.6214041,1.0247085,0.04782632,-0.5271777,0.40068883,0.83997834,-0.42020732,-0.45562944,0.61354077,-2.2065642,0.8260704,1.3227631,0
TCGA-3C-AALJ-01,-0.037054688,0.005520582,0.24497998,1.275956,-1.4067575,-0.42824575,-0.00041002035,-0.110096484,-0.68347776,-0.34648383,0.48913625,0.6341988,2.140811,-1.0324279,-0.10115835,0.85983497,-0.1316223,0.6521746,1.6544771,-1.2878188,-0.15598203,0.17566633,0.5330146,-0.63164353,0.40997863,-1.041237,-0.38605767,-0.2929122,-0.6251789,-0.35454205,-0.8339915,1.1165292,1
TCGA-3C-AALK-01,-2.2448275,-0.9306417,-0.94447255,2.918262,3.1343353,0.694589,0.8640228,0.06655497,1.7259237,0.54393,1.1647613,0.66017973,-2.1501176,0.69222,0.542593,-1.5410633,-0.5626515,-0.2137528,0.5894212,0.16931495,-2.2199032,-0.3574734,-0.23925284,-0.08305752,0.40394753,-0.73629683,0.2312168,0.6700188,-0.8600147,0.9499256,0.29838887,-0.8467429,1
TCGA-4H-AAAK-01,0.024242118,-0.20321393,-1.3269589,1.7649494,-2.1557467,-0.8169887,-0.009442508,0.45867363,-0.46898004,-0.32774282,-0.08105789,0.43066412,-4.2899446,-0.4520118,-0.9756194,-1.0817817,0.6579942,-0.16133061,1.1402723,-0.075728595,1.2293173,0.33862412,-0.41051176,0.39476818,1.2137468,-0.22449839,-0.22477794,-0.4344013,0.5586598,0.41054672,-0.2136715,-0.5992036,1
TCGA-5L-AAT0-01,-1.8958443,-0.286438,-0.32757437,0.3804473,0.20133065,-0.58942753,-1.3962982,0.6543116,1.3564242,-0.70538783,0.78920156,0.23406231,-0.44179744,-3.6334262,1.7048593,-0.5650312,2.3450997,-0.035198424,-0.04376602,1.0460625,0.15636829,-1.32422,1.1353917,1.1181791,0.24978295,0.77769965,0.9418763,-1.691291,-1.6370004,-1.5846514,-0.7276447,-0.45287943,1
TCGA-5L-AAT1-01,-1.3803834,-0.66507703,2.1107876,0.81362426,-1.6890991,-0.8977474,1.0321335,-0.52890515,-0.5138317,1.2742275,-0.09660039,-0.36398843,-0.51312304,0.10752651,-0.031824112,-0.9156477,1.5838728,-0.37153196,-0.54975,0.95717084,-0.15111145,0.71918297,0.7061531,1.0296054,-0.073545806,1.8379375,1.0753758,0.94675386,0.9046874,0.51955146,-1.7662482,-1.0518148,1
TCGA-5T-A9QA-01,0.6832165,-1.6015544,-0.21503098,1.4058414,-0.42768902,0.055071592,-0.35468122,-0.8268417,1.537177,-0.2744098,0.559535,0.26663065,-0.019332081,-0.229411,1.8480461,0.6274762,-0.5542092,1.1880878,0.8880524,0.8056652,0.38518208,1.239668,0.7684932,-0.43774843,-0.25967267,-1.3056713,-0.23922123,-0.09417975,1.0500605,1.5079718,-0.8176321,-0.35090828,1
TCGA-A1-A0SB-01,-1.4802747,0.2066749,-0.008999214,-0.82730055,0.06698536,0.63402486,1.2625147,0.83371884,-0.07374336,0.21437618,0.19951671,-0.8313442,-0.41284004,-0.026562743,-0.5770473,0.6858102,1.4138389,0.5885962,0.09024337,-1.9326711,-0.10838386,0.21413475,0.21031643,-0.12777558,0.10266393,0.8850859,0.45069653,0.53649396,-1.4930787,0.13191873,-1.0920513,1.0215325,1
TCGA-A1-A0SD-01,-0.1166504,-0.19119343,1.1811888,0.8899001,-0.038912952,1.3096398,-0.6601324,-0.07008597,-0.6474906,-1.9058952,-0.5027263,0.01331988,0.36231476,-2.3644774,0.6905112,-0.66509974,1.61567,1.312302,-1.5751482,0.23600043,-0.23796497,-1.966777,0.79395354,0.092933625,-0.23294456,0.26030695,1.7736588,-0.15982002,-1.3597009,-0.16133991,0.3119862,-0.06820083,1
