epoch,total_loss,recon_loss,reg_loss,lr
1,0.972969,0.920007,0.052962,9.9999e-04
2,0.838078,0.791313,0.046764,9.9997e-04
3,0.759141,0.700702,0.058439,9.9996e-04
4,0.715299,0.650989,0.064311,9.9994e-04
5,0.689058,0.627693,0.061365,9.9993e-04
6,0.686123,0.626074,0.060049,9.9992e-04
7,0.678577,0.619408,0.059169,9.9990e-04
8,0.67358,0.616434,0.057146,9.9989e-04
9,0.673987,0.61375,0.060237,9.9988e-04
10,0.671563,0.609577,0.061985,9.9986e-04
11,0.671288,0.610694,0.060594,9.9985e-04
12,0.663233,0.600188,0.063045,9.9983e-04
13,0.655531,0.59475,0.060782,9.9982e-04
14,0.654776,0.592266,0.062511,9.9981e-04
15,0.650407,0.588284,0.062122,9.9979e-04
16,0.650335,0.588992,0.061343,9.9978e-04
17,0.654308,0.590911,0.063397,9.9976e-04
18,0.648478,0.584593,0.063885,9.9975e-04
19,0.656251,0.588909,0.067343,9.9974e-04
20,0.646277,0.58046,0.065817,9.9972e-04
21,0.643685,0.582023,0.061662,9.9971e-04
22,0.638136,0.575472,0.062665,9.9969e-04
23,0.640385,0.578927,0.061458,9.9968e-04
24,0.644097,0.580548,0.063549,9.9967e-04
25,0.638038,0.5735,0.064538,9.9965e-04
26,0.640636,0.577498,0.063138,9.9964e-04
27,0.633245,0.571916,0.061329,9.9963e-04
28,0.629061,0.569926,0.059135,9.9961e-04
29,0.619542,0.561635,0.057907,9.9960e-04
30,0.62966,0.569323,0.060337,9.9958e-04
31,0.627146,0.562821,0.064325,9.9957e-04
32,0.623527,0.56296,0.060567,9.9956e-04
33,0.622511,0.562066,0.060445,9.9954e-04
34,0.619319,0.559933,0.059385,9.9953e-04
35,0.620068,0.558873,0.061195,9.9951e-04
36,0.617411,0.557944,0.059467,9.9950e-04
37,0.61523,0.558456,0.056774,9.9949e-04
38,0.612535,0.554265,0.05827,9.9947e-04
39,0.612367,0.555527,0.05684,9.9946e-04
40,0.616316,0.5564,0.059916,9.9944e-04
41,0.613339,0.553783,0.059556,9.9943e-04
42,0.610499,0.551093,0.059406,9.9942e-04
43,0.610106,0.549034,0.061072,9.9940e-04
44,0.618051,0.55609,0.061961,9.9939e-04
45,0.611489,0.551857,0.059633,9.9938e-04
46,0.607218,0.54703,0.060188,9.9936e-04
47,0.610005,0.550533,0.059473,9.9935e-04
48,0.607723,0.547935,0.059788,9.9933e-04
49,0.604454,0.543625,0.060829,9.9932e-04
50,0.605799,0.547063,0.058735,9.9931e-04
