submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-3C-AAAU-01,-0.6610179,0.2618364,-1.4488127,-0.1982418,0.4759453,-0.9802769,0.60233414,1.1944091,0.8126428,-0.22652324,-0.5998188,-0.36748528,1.3098744,0.55590504,0.02483242,-0.30531067,-1.8492302,0.39027286,-1.3419863,-1.4745879,-2.5871246,1.4060622,-1.823069,0.19272284,1.9140115,-1.7107265,1.4314841,0.057499543,-0.8651712,-2.0267336,0.029163599,0.58972585,0
TCGA-3C-AALI-01,0.069986045,-0.17231542,1.4439111,1.0588112,-0.02477482,-1.169276,0.0037931502,2.1558564,-1.2781183,0.48953664,0.756585,-0.12479463,-0.6059357,-1.20253,-1.918703,1.57107,1.0161521,0.8625765,-0.14172894,0.05853069,-1.5355453,-0.22456199,-1.6258808,-1.067257,1.695642,0.53153074,0.27007636,-0.57975954,0.3879867,0.9953683,-0.24987337,-0.6872271,0
TCGA-3C-AALJ-01,3.4278798,-0.5419,0.221291,-1.0567403,1.4661928,0.41343278,-0.030874774,-1.8013278,-0.012855142,0.020356845,0.6861423,-0.9035456,0.7948382,-1.2430133,-0.5199816,1.4369453,1.237131,-0.1990327,1.2451437,0.13846096,0.86454654,0.016015425,-0.6651166,1.5958595,1.0211986,1.590774,-0.28185332,-0.32732895,1.4904938,2.371353,-0.23919056,-0.37254456,1
TCGA-3C-AALK-01,3.9362109,-0.52981925,0.6398145,-0.51938975,0.62190187,0.70634526,1.0150293,0.15023197,0.25238103,0.83657515,1.4972935,0.1252974,0.33383673,0.52437496,-2.3050656,0.18562037,0.92870605,-0.49672553,1.4743865,0.13171996,-0.10510425,-0.59431696,0.63202,-2.584014,-0.43901804,-1.085082,-1.559456,-0.53835005,-1.8850021,1.3947873,-0.78474414,-0.9796243,1
TCGA-4H-AAAK-01,2.6329808,-0.61528265,1.8182662,-0.7659049,0.56352586,0.45835748,-1.4608274,-1.1894268,-0.24912833,0.23606357,1.1909587,-0.22658032,1.041126,0.79991484,-1.9505976,-0.47925043,1.5918305,-0.22810942,0.45158297,-0.31050134,0.38093552,0.5639637,0.36506534,0.2720161,1.4329295,-0.45198828,-0.99634,-0.45620367,-0.26053357,1.3543983,-0.21152094,0.10800606,1
TCGA-5L-AAT0-01,-0.30995694,0.11551088,-0.9174171,-1.2155213,-1.0723646,0.49845254,-1.2702401,2.1744766,-1.2406946,1.6051309,1.1722491,-1.6388808,0.45189926,-0.20802261,-0.017729878,0.06791669,1.025064,-2.2666266,-1.6848409,-2.7693975,-1.6579158,-1.1559714,0.05577892,-0.6977088,-0.08351325,-1.1242019,-0.90673304,-2.6931202,-1.8929498,-1.0228143,-0.3846544,2.4432235,1
TCGA-5L-AAT1-01,-0.25342375,0.3304786,-0.37440258,-1.2631519,-1.0969392,-0.70699227,1.4180684,-1.6451437,2.458611,0.02358517,0.8415407,0.07532483,-0.7496304,-0.2366211,0.7416834,1.1007535,-0.20072165,-1.2803237,0.8077486,2.9747891,-0.23803052,-0.23862019,-0.71108973,0.82863355,-0.1947388,-0.84689385,-0.46085072,-0.3491352,0.7812813,-0.06588061,-0.007062316,0.05869367,1
TCGA-5T-A9QA-01,-0.355102,0.5526407,1.937181,0.28469604,0.32982573,-1.842797,-0.24990676,-1.1263461,0.085555196,-1.1998019,0.86322236,-0.6559423,-1.9469694,-0.4136238,-1.7700899,0.6694629,-1.3641266,0.8748745,-0.13569598,0.48965856,-1.0062879,-0.7196627,-0.116700456,-0.40974703,2.349329,1.4958215,0.22443083,-0.29952973,1.1026644,-0.3147186,-0.58845913,0.6731521,1
TCGA-A1-A0SB-01,-0.011279717,-0.320124,-1.0135845,-0.8350839,-0.27560794,0.5904194,0.49483112,-0.46760288,0.06071472,-0.0001535099,-1.604492,0.21938634,-0.36850974,0.29839838,1.4287002,0.5342794,0.37751925,-0.7101824,0.0038465932,-0.30078757,-1.2222794,0.859334,-0.46290892,1.5037701,0.033575416,0.17619537,-1.4127812,0.99576485,-0.2910299,0.05486928,0.612814,-0.06498617,1
TCGA-A1-A0SD-01,-0.4855831,-1.4078455,0.01854536,-1.378717,0.55796945,-0.7782794,-0.1487664,0.21345073,-0.8840442,0.30129093,1.2795148,-0.19803005,0.0326043,-0.46207303,0.11893004,-0.42853448,0.3415087,-0.54137206,-0.73188853,1.1247499,0.46024442,-0.24623051,0.1599356,-0.12083843,-2.0004988,-0.097170174,-0.86826366,-1.1473168,2.259937,0.17319155,0.042480633,1.1517289,1
