run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,fold,roc_auc,auprc,accuracy,precision,recall,f1,tn,fp,fn,tp
logcosh_kl,logcosh,kl,0.001,10.0,cnv,rbf_svm,1,0.5239,0.7901,0.5926,0.7794,0.6463,0.7067,11,15,29,53
logcosh_kl,logcosh,kl,0.001,10.0,cnv,rbf_svm,2,0.5084,0.7824,0.5093,0.7778,0.506,0.6131,13,12,41,42
logcosh_kl,logcosh,kl,0.001,10.0,cnv,rbf_svm,3,0.588,0.8296,0.6019,0.803,0.6386,0.7114,12,13,30,53
logcosh_kl,logcosh,kl,0.001,10.0,cnv,rbf_svm,4,0.5306,0.7921,0.5278,0.7857,0.5301,0.6331,13,12,39,44
logcosh_kl,logcosh,kl,0.001,10.0,cnv,rbf_svm,5,0.4516,0.7538,0.5185,0.7541,0.5542,0.6389,10,15,37,46
logcosh_kl,logcosh,kl,0.001,10.0,cnv,rbf_svm,6,0.588,0.8184,0.6204,0.8281,0.6386,0.7211,14,11,30,53
logcosh_kl,logcosh,kl,0.001,10.0,cnv,rbf_svm,7,0.5499,0.8079,0.5926,0.8,0.6265,0.7027,12,13,31,52
logcosh_kl,logcosh,kl,0.001,10.0,cnv,rbf_svm,8,0.4178,0.7356,0.463,0.7119,0.506,0.5915,8,17,41,42
logcosh_kl,logcosh,kl,0.001,10.0,cnv,rbf_svm,9,0.5698,0.7992,0.5607,0.7778,0.5976,0.6759,11,14,33,49
logcosh_kl,logcosh,kl,0.001,10.0,cnv,rbf_svm,10,0.5254,0.7934,0.514,0.7778,0.5122,0.6176,13,12,40,42
logcosh_kl,logcosh,kl,0.001,10.0,cnv,linear_svm,1,0.4972,0.7824,0.5556,0.7656,0.5976,0.6712,11,15,33,49
logcosh_kl,logcosh,kl,0.001,10.0,cnv,linear_svm,2,0.4949,0.8001,0.4722,0.7321,0.494,0.5899,10,15,42,41
logcosh_kl,logcosh,kl,0.001,10.0,cnv,linear_svm,3,0.6058,0.8184,0.6111,0.8475,0.6024,0.7042,16,9,33,50
logcosh_kl,logcosh,kl,0.001,10.0,cnv,linear_svm,4,0.5055,0.7586,0.4907,0.7692,0.4819,0.5926,13,12,43,40
logcosh_kl,logcosh,kl,0.001,10.0,cnv,linear_svm,5,0.4477,0.7839,0.5,0.7231,0.5663,0.6351,7,18,36,47
logcosh_kl,logcosh,kl,0.001,10.0,cnv,linear_svm,6,0.5231,0.8206,0.5185,0.7627,0.5422,0.6338,11,14,38,45
logcosh_kl,logcosh,kl,0.001,10.0,cnv,linear_svm,7,0.5827,0.8221,0.6019,0.8226,0.6145,0.7034,14,11,32,51
logcosh_kl,logcosh,kl,0.001,10.0,cnv,linear_svm,8,0.4347,0.747,0.4722,0.7708,0.4458,0.5649,14,11,46,37
logcosh_kl,logcosh,kl,0.001,10.0,cnv,linear_svm,9,0.5263,0.7759,0.6168,0.8254,0.6341,0.7172,14,11,30,52
logcosh_kl,logcosh,kl,0.001,10.0,cnv,linear_svm,10,0.4195,0.7113,0.4486,0.7091,0.4756,0.5693,9,16,43,39
