run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,fold,roc_auc,auprc,accuracy,precision,recall,f1,tn,fp,fn,tp
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,rbf_svm,1,0.4831,0.7471,0.6667,0.7738,0.7927,0.7831,7,19,17,65
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,rbf_svm,2,0.5773,0.8032,0.7037,0.8312,0.7711,0.8,12,13,19,64
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,rbf_svm,3,0.5836,0.8073,0.7037,0.8,0.8193,0.8095,8,17,15,68
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,rbf_svm,4,0.5812,0.8465,0.6944,0.7841,0.8313,0.807,6,19,14,69
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,rbf_svm,5,0.5007,0.7874,0.6944,0.7778,0.8434,0.8092,5,20,13,70
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,rbf_svm,6,0.4675,0.7555,0.6574,0.7738,0.7831,0.7784,6,19,18,65
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,rbf_svm,7,0.5533,0.8022,0.6759,0.7927,0.7831,0.7879,8,17,18,65
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,rbf_svm,8,0.5084,0.7474,0.6944,0.7907,0.8193,0.8047,7,18,15,68
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,rbf_svm,9,0.5949,0.8066,0.7009,0.7976,0.8171,0.8072,8,17,15,67
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,rbf_svm,10,0.3759,0.7192,0.6075,0.7439,0.7439,0.7439,4,21,21,61
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,linear_svm,1,0.4883,0.7597,0.4722,0.7551,0.4512,0.5649,14,12,45,37
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,linear_svm,2,0.586,0.8155,0.6296,0.8413,0.6386,0.726,15,10,30,53
logcosh_mmd,logcosh,mmd,1.0,10.0,cnv,linear_svm,3,0.5031,0.797,0.5185,0.7541,0.5542,0.6389,10,15,37,46
