run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,fold,roc_auc,auprc,accuracy,precision,recall,f1,tn,fp,fn,tp
mse_kl,mse,kl,1.0,10.0,cnv,rbf_svm,1,0.507,0.7737,0.6944,0.7526,0.8902,0.8156,2,24,9,73
mse_kl,mse,kl,1.0,10.0,cnv,rbf_svm,2,0.5186,0.7813,0.6852,0.7634,0.8554,0.8068,3,22,12,71
mse_kl,mse,kl,1.0,10.0,cnv,rbf_svm,3,0.5475,0.8179,0.6759,0.7553,0.8554,0.8023,2,23,12,71
mse_kl,mse,kl,1.0,10.0,cnv,rbf_svm,4,0.4747,0.7429,0.6852,0.7634,0.8554,0.8068,3,22,12,71
mse_kl,mse,kl,1.0,10.0,cnv,rbf_svm,5,0.3961,0.7063,0.6852,0.7692,0.8434,0.8046,4,21,13,70
mse_kl,mse,kl,1.0,10.0,cnv,rbf_svm,6,0.5272,0.7623,0.6759,0.7553,0.8554,0.8023,2,23,12,71
mse_kl,mse,kl,1.0,10.0,cnv,rbf_svm,7,0.4308,0.7355,0.6759,0.7667,0.8313,0.7977,4,21,14,69
mse_kl,mse,kl,1.0,10.0,cnv,rbf_svm,8,0.4405,0.757,0.6296,0.7416,0.7952,0.7674,2,23,17,66
mse_kl,mse,kl,1.0,10.0,cnv,rbf_svm,9,0.3532,0.6962,0.6355,0.7471,0.7927,0.7692,3,22,17,65
mse_kl,mse,kl,1.0,10.0,cnv,rbf_svm,10,0.4298,0.7254,0.6822,0.75,0.878,0.809,1,24,10,72
mse_kl,mse,kl,1.0,10.0,cnv,linear_svm,1,0.4601,0.7747,0.5185,0.7344,0.5732,0.6438,9,17,35,47
mse_kl,mse,kl,1.0,10.0,cnv,linear_svm,2,0.5537,0.8177,0.537,0.8,0.5301,0.6377,14,11,39,44
mse_kl,mse,kl,1.0,10.0,cnv,linear_svm,3,0.4549,0.7559,0.4537,0.7308,0.4578,0.563,11,14,45,38
mse_kl,mse,kl,1.0,10.0,cnv,linear_svm,4,0.4706,0.7339,0.537,0.7895,0.5422,0.6429,13,12,38,45
mse_kl,mse,kl,1.0,10.0,cnv,linear_svm,5,0.3484,0.6703,0.4907,0.7258,0.5422,0.6207,8,17,38,45
mse_kl,mse,kl,1.0,10.0,cnv,linear_svm,6,0.4492,0.7555,0.5185,0.7627,0.5422,0.6338,11,14,38,45
mse_kl,mse,kl,1.0,10.0,cnv,linear_svm,7,0.4357,0.7107,0.537,0.7705,0.5663,0.6528,11,14,36,47
mse_kl,mse,kl,1.0,10.0,cnv,linear_svm,8,0.3831,0.7321,0.4352,0.7037,0.4578,0.5547,9,16,45,38
mse_kl,mse,kl,1.0,10.0,cnv,linear_svm,9,0.4439,0.7362,0.5047,0.7377,0.5488,0.6294,9,16,37,45
mse_kl,mse,kl,1.0,10.0,cnv,linear_svm,10,0.499,0.7653,0.4766,0.7407,0.4878,0.5882,11,14,42,40
mse_kl,mse,kl,1.0,10.0,cnv,poly_svm,1,0.5417,0.7613,0.7407,0.77,0.939,0.8462,3,23,5,77
mse_kl,mse,kl,1.0,10.0,cnv,poly_svm,2,0.6212,0.8384,0.7407,0.7619,0.9639,0.8511,0,25,3,80
mse_kl,mse,kl,1.0,10.0,cnv,poly_svm,3,0.5128,0.7706,0.7222,0.7732,0.9036,0.8333,3,22,8,75
mse_kl,mse,kl,1.0,10.0,cnv,poly_svm,4,0.5267,0.7958,0.7407,0.767,0.9518,0.8495,1,24,4,79
mse_kl,mse,kl,1.0,10.0,cnv,poly_svm,5,0.4602,0.7632,0.8056,0.8039,0.988,0.8865,5,20,1,82
mse_kl,mse,kl,1.0,10.0,cnv,poly_svm,6,0.454,0.7554,0.7407,0.767,0.9518,0.8495,1,24,4,79
mse_kl,mse,kl,1.0,10.0,cnv,poly_svm,7,0.4617,0.7358,0.7222,0.7624,0.9277,0.837,1,24,6,77
mse_kl,mse,kl,1.0,10.0,cnv,poly_svm,8,0.4988,0.7988,0.75,0.7745,0.9518,0.8541,2,23,4,79
mse_kl,mse,kl,1.0,10.0,cnv,poly_svm,9,0.5805,0.8237,0.729,0.7624,0.939,0.8415,1,24,5,77
mse_kl,mse,kl,1.0,10.0,cnv,poly_svm,10,0.4634,0.7616,0.7664,0.7767,0.9756,0.8649,2,23,2,80
mse_kl,mse,kl,1.0,10.0,cnv,sigmoid_svm,1,0.5396,0.8082,0.5,0.7692,0.4878,0.597,14,12,42,40
mse_kl,mse,kl,1.0,10.0,cnv,sigmoid_svm,2,0.4824,0.7703,0.5093,0.8,0.4819,0.6015,15,10,43,40
mse_kl,mse,kl,1.0,10.0,cnv,sigmoid_svm,3,0.459,0.7672,0.5278,0.7759,0.5422,0.6383,12,13,38,45
mse_kl,mse,kl,1.0,10.0,cnv,sigmoid_svm,4,0.5455,0.8096,0.4815,0.7755,0.4578,0.5758,14,11,45,38
mse_kl,mse,kl,1.0,10.0,cnv,sigmoid_svm,5,0.6383,0.8083,0.3889,0.6667,0.4096,0.5075,8,17,49,34
mse_kl,mse,kl,1.0,10.0,cnv,sigmoid_svm,6,0.5084,0.7886,0.4722,0.7708,0.4458,0.5649,14,11,46,37
mse_kl,mse,kl,1.0,10.0,cnv,sigmoid_svm,7,0.5598,0.7923,0.4444,0.7347,0.4337,0.5455,12,13,47,36
mse_kl,mse,kl,1.0,10.0,cnv,sigmoid_svm,8,0.6357,0.864,0.3796,0.6667,0.3855,0.4885,9,16,51,32
mse_kl,mse,kl,1.0,10.0,cnv,sigmoid_svm,9,0.5202,0.8034,0.4486,0.7347,0.439,0.5496,12,13,46,36
mse_kl,mse,kl,1.0,10.0,cnv,sigmoid_svm,10,0.5071,0.7669,0.3925,0.7073,0.3537,0.4715,13,12,53,29
mse_kl,mse,kl,1.0,10.0,cnv,random_forest,1,0.5821,0.7971,0.6944,0.7882,0.8171,0.8024,8,18,15,67
