submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-3C-AAAU-01,2.45176,-0.99626744,0.5795399,0.2144171,0.013531141,-0.853584,-2.7085297,-0.343555,-0.31567726,-0.591096,-0.9293112,0.28260398,-0.48981434,-1.5791233,-0.24764541,1.7507756,-0.14392097,-0.5549042,0.6784202,-0.39248282,1.2775905,-2.2153568,1.6438439,0.2692608,0.060012236,2.210296,-0.5173278,1.6578083,-0.8327455,-0.5936748,-0.19030207,0.034869626,0
TCGA-3C-AALI-01,0.26485914,-2.5320811,-0.710055,-0.46066904,-0.9197265,0.68655825,-1.992165,-0.3513821,-0.50926447,-1.2548006,0.8775922,0.1350041,1.6889803,-1.3224719,-1.2352057,-0.4755526,0.24117135,-0.7259242,-0.11856841,-1.5056237,-0.43332916,-0.99947476,-0.2730939,0.15975419,0.1684496,0.8778501,-0.8166856,-2.1805062,1.2976581,-0.93659264,0.9592233,2.0850396,0
TCGA-3C-AALJ-01,-1.7080189,-0.28847185,0.42113572,0.4546073,-0.31667092,-1.1198533,1.8647927,-0.47494137,0.20483139,0.5089626,-1.4734706,0.78720593,-0.052968793,0.44182524,0.21259078,-2.829988,1.3814298,-1.2326436,-2.4266527,-1.1040624,-2.4112992,-0.6970724,0.10162442,-1.2638644,-1.924635,-2.176069,0.5048209,-0.422261,-1.1529726,-0.73436844,0.76237756,-1.2359029,1
TCGA-3C-AALK-01,-2.5274556,0.20152172,-0.572189,0.15607885,-0.48227367,-0.3713368,0.6872511,-0.25152543,0.98229015,-0.10000608,0.27812457,-0.055488326,0.85746294,-1.3020837,-0.52499497,-1.1089897,-1.8051745,0.13985446,-0.009588681,-1.7934877,-1.6331446,-0.22248083,-1.0233197,-0.40901795,-1.3739843,-1.068717,0.8088588,-2.4521232,0.6374348,-0.4584137,1.1976383,0.10508524,1
TCGA-4H-AAAK-01,-2.3892374,0.082925595,-0.79210037,0.16345203,0.23877314,-0.34059283,0.008761972,-0.39049459,1.1476582,0.54966587,-0.068573266,0.4273536,0.63690263,-1.9667784,-0.43835983,-1.7279397,-1.5444944,-0.022530884,0.18876511,-1.7251222,-1.7041407,-0.7525429,-0.7702736,0.017233334,-1.0288911,-0.8274709,0.9707605,-2.637244,0.47486362,-0.6773006,1.161234,-0.1826411,1
TCGA-5L-AAT0-01,-0.3167793,2.1740515,0.18248194,2.1451485,0.05166664,0.1161922,-0.64920366,1.432728,1.2596084,-0.10961036,0.35529664,2.0226045,-1.2823826,-2.0162385,1.4849255,-0.123762034,-1.6774449,1.4155319,2.7264144,-0.5660194,-1.1336855,-0.313627,-2.498974,0.4745677,0.9690558,-0.16094448,2.7916274,0.15999722,-0.07948395,-0.10448912,0.6635796,-2.7196958,1
TCGA-5L-AAT1-01,0.0868807,1.6133463,0.76324594,1.6004517,-0.08791185,0.15067099,-0.39889833,0.3171101,0.42359176,-0.68239325,-0.587926,1.803352,-1.1358063,-1.6070447,1.2213128,-0.49760798,-0.46010363,0.6822602,1.1081944,-0.5950033,-0.9486848,-0.05129344,-1.4629104,0.3243036,0.37676346,-0.66348267,1.3697382,0.7212797,-0.056056134,-0.6271225,1.0590684,-3.3052664,1
TCGA-5T-A9QA-01,-0.9499572,-1.6137279,0.8907578,-1.1601949,0.34842816,-1.3028663,-1.6660262,-1.2496796,0.84356487,0.688001,-0.51676524,-0.0227044,0.84618586,-1.0015186,-1.5569663,0.89027566,-1.1173809,-0.0016070893,0.37557077,-0.76025116,0.93294066,-1.9335105,2.1015527,0.38222888,-0.67202884,0.66046476,0.6409482,-1.5368016,-0.15685984,-0.9852824,-0.19034648,1.6799374,1
TCGA-A1-A0SB-01,0.29415902,1.5845627,0.0741921,1.3015902,0.093766294,-0.48812464,0.70765424,0.6517553,0.03790468,-0.077053644,-0.005092602,1.1736473,-0.7767082,-0.84090155,1.6598947,-0.2826394,0.44068354,-0.12782817,0.824607,0.21524277,-0.42106766,0.38035464,-1.4703355,0.33132273,0.031658247,-0.5513049,0.42099333,1.3119636,-0.11273717,-0.24306944,0.99104893,-3.3793778,1
TCGA-A1-A0SD-01,-0.59691656,1.6561192,1.0849304,1.1013567,0.41524476,-1.2013799,-0.7478137,-0.553848,0.07605912,0.84259415,-1.3852718,0.63238156,0.39116442,-1.284878,1.032872,-0.1589159,-0.5235741,-0.8091854,0.77132714,0.40065122,-0.99587035,-0.5703428,-0.10774764,-0.05172146,-1.0917636,-0.3765728,-0.17838345,1.4529262,-0.7996905,-0.98270166,1.0360348,-2.15214,1
TCGA-A1-A0SE-01,1.989621,-1.6621888,0.43294638,-0.18452573,0.37375224,-0.20578432,-1.5549077,0.07491234,-0.7992115,0.5903305,0.4385906,-0.19956782,0.40988797,-0.55969447,0.049842335,1.9167539,0.8135705,-0.8420157,0.76746166,1.2885709,1.380497,-0.9891553,1.3096303,0.48761648,-0.044044048,1.8683585,-1.9452804,2.004269,-1.0122002,-0.34913912,-0.113873936,0.87915415,1
TCGA-A1-A0SF-01,-0.5725265,1.6633968,-0.03600788,0.76691276,0.3775554,-0.79906565,2.9910333,0.8294709,-0.53085196,0.802475,0.83113164,0.8157397,-0.31384036,1.2493265,1.7080104,1.1365254,0.003151903,0.10213277,0.1926963,2.1194677,0.7750417,1.9920958,-1.323232,0.50451905,-0.37734592,-1.0832399,0.029985197,2.2384422,-0.18101439,0.6471019,0.62765557,-1.7977219,1
TCGA-A1-A0SG-01,0.12928148,-1.2373158,-0.23453127,-1.0300574,0.7040812,0.017584031,-0.16226599,0.32538056,-0.26663357,2.9543025,1.5494332,0.7602768,0.6856848,-1.4533129,0.55342096,1.1083214,0.54974014,-1.0353277,0.8315293,2.2924848,-0.15150727,-0.13662285,0.40792271,2.043989,1.065369,0.08159752,-1.205869,0.64787763,-1.6576017,-0.18370321,0.96709895,-0.5884939,1
TCGA-A1-A0SH-01,-2.4094462,-0.43545246,-1.0107753,-0.15256968,-0.7098691,-0.3805397,1.2690798,-0.21718079,0.9213345,-0.07414875,0.6342957,0.023021013,0.76577514,-0.7709841,-0.10460194,-1.3445429,-0.976952,0.19820169,-0.15248519,-1.422779,-1.5302207,-0.15946245,-1.2981611,-0.5625655,-1.5169154,-1.3759719,0.80873144,-2.2868338,0.6553787,-0.18160114,1.2850943,0.13072418,1
TCGA-A1-A0SI-01,-0.4680038,2.518431,0.89918244,0.49271083,0.6909839,-1.4539255,1.58572,0.16035998,-0.0055674613,0.9920355,-1.2475495,-0.5216111,-1.0585791,1.0463068,0.6970388,1.6417804,-1.0462931,0.83866316,0.5465614,1.8289702,2.0784578,0.99220884,0.7931181,0.13445911,-0.336909,0.21527822,0.30342793,2.663492,-0.86510456,0.658218,-0.56551594,-1.9410671,1
TCGA-A1-A0SJ-01,0.076302245,-2.034581,0.1797734,-1.1645064,-0.4439315,-1.1934627,-1.1049181,-0.9772167,-0.5293907,0.1981233,-0.6540928,-0.35429177,0.99130136,0.87790877,-1.403697,0.49921745,1.1342497,-0.5621187,-0.88649225,-0.5341458,1.3368438,-0.7794021,2.3039014,-0.65859705,-0.8560808,0.6876839,-0.18231796,-1.0753024,-0.09342893,-0.37799662,-0.8655642,2.4156795,1
TCGA-A1-A0SK-01,0.6690927,0.029819556,0.8049574,-0.052491106,0.26180118,-0.65309745,-2.3753223,-0.4260924,0.33999234,1.165359,-0.9227794,1.0130777,-0.3609506,-2.012306,-0.008726947,1.4778044,-0.7862713,-0.49644724,1.2923086,0.8334044,0.53454673,-1.885522,1.2297269,1.879025,0.18177982,0.88603145,0.29002148,1.191454,-1.2331932,-0.7087408,0.37005046,-1.1954778,1
TCGA-A1-A0SM-01,-2.2200284,1.2875898,1.6996399,0.811987,-0.031724162,-2.4268546,0.79429686,-0.9252696,0.19334622,0.3694553,-2.4545019,-0.63787955,0.65730137,0.76084095,-0.5030762,-1.3541718,0.25676948,-0.28942463,-1.8549603,-1.3282698,-0.8823801,-1.210394,1.6191776,-2.3872502,-2.3598573,-1.4559425,0.9791936,-0.3754881,-0.5322436,-0.56493694,-0.3189436,-0.5813151,1
TCGA-A1-A0SN-01,-1.5854607,1.5420792,1.9981054,1.0501535,0.16103822,-1.537532,0.689831,-0.8270375,-0.2633102,-0.35874993,-1.755909,-0.42099255,0.20035648,-0.036089677,-0.1846571,0.0038343892,-0.27539748,-1.0452532,-0.94582975,-0.8276224,-0.6106511,-0.37804413,1.1162142,-1.3320725,-1.9501541,-1.3174269,0.0009519011,0.75301135,-0.62473667,-1.345661,0.5820344,-1.3606743,1
TCGA-A1-A0SO-01,-2.386773,0.60313916,-0.04250323,-0.34358898,0.8165953,-0.8858915,-0.70864093,-1.3679721,1.0935959,1.2627996,-1.7388059,-0.6720321,-0.36027926,-1.4193838,-0.8618298,-1.2281435,-1.1931142,0.64676607,0.12924409,-1.2090582,-0.14583628,-1.8777416,1.0939624,-0.5950692,-0.9171734,-0.5656474,1.6857554,-2.9258127,-0.43246314,-0.36933622,-0.25979438,0.16666628,1
