modality,classifier,cv_roc_auc,cv_tn,cv_fp,cv_fn,cv_tp,full_roc_auc,full_tn,full_fp,full_fn,full_tp,cv_accuracy,cv_precision,cv_sensitivity,cv_f1
cnv,rbf_svm,0.5331169782318769,11.3,13.8,31.8,50.9,0.661530420036902,160,91,260,567,0.577,0.7867,0.6155,0.6906
cnv,linear_svm,0.5217415176654082,16.0,9.1,49.1,33.6,0.5567572515259398,159,92,430,397,0.4601,0.7869,0.4063,0.5359
cnv,poly_svm,0.5013490133140441,12.1,13.0,39.8,42.9,0.6542439672988819,170,81,305,522,0.5102,0.7674,0.5187,0.619
cnv,sigmoid_svm,0.5139342661452564,13.1,12.0,40.9,41.8,0.5138165596381101,125,126,389,438,0.5093,0.777,0.5054,0.6125
cnv,random_forest,0.4662939713827166,4.9,20.2,21.7,61.0,0.8729435342065835,203,48,52,775,0.6113,0.7512,0.7376,0.7444
cnv,rbf_svm,0.5212233549582947,17.2,7.9,53.1,29.6,0.5325421409886452,169,82,503,324,0.4341,0.7893,0.3579,0.4925
cnv,linear_svm,0.5276902280792966,16.7,8.4,50.4,32.3,0.5305501091161352,168,83,503,324,0.4545,0.7936,0.3906,0.5235
cnv,poly_svm,0.509730622301589,18.9,6.2,60.6,22.1,0.5374318927434156,210,41,630,197,0.3803,0.7809,0.2672,0.3982
cnv,sigmoid_svm,0.46503820158683506,11.3,13.8,43.0,39.7,0.4812382874788632,122,129,433,394,0.4731,0.7421,0.48,0.583
cnv,random_forest,0.48313323085964877,5.8,19.3,21.9,60.8,0.8700988067078722,204,47,60,767,0.6178,0.7591,0.7352,0.7469
cnv,rbf_svm,0.5121163000971993,15.8,9.3,50.1,32.6,0.5561911965198457,166,85,454,373,0.449,0.778,0.3942,0.5233
cnv,linear_svm,0.5306158141006804,16.6,8.5,49.6,33.1,0.5444172523930879,161,90,457,370,0.461,0.7957,0.4002,0.5326
cnv,poly_svm,0.513731255227288,18.4,6.7,58.4,24.3,0.5580579736676028,207,44,586,241,0.3961,0.7839,0.2938,0.4274
cnv,sigmoid_svm,0.5185683898822306,13.8,11.3,42.4,40.3,0.5028254575410571,121,130,394,433,0.5019,0.781,0.4873,0.6001
cnv,random_forest,0.48029270553131853,5.7,19.4,22.0,60.7,0.8732687147419993,215,36,91,736,0.616,0.7578,0.734,0.7457
cnv,rbf_svm,0.541539230091096,13.1,12.0,36.3,46.4,0.6470586818385468,167,84,307,520,0.5519,0.7945,0.5611,0.6577
cnv,linear_svm,0.5318711544112661,12.7,12.4,36.6,46.1,0.5911107685340862,155,96,360,467,0.5455,0.788,0.5574,0.653
cnv,poly_svm,0.550614163972965,12.8,12.3,33.8,48.9,0.6585459853451973,167,84,288,539,0.5724,0.799,0.5913,0.6796
cnv,sigmoid_svm,0.47586084676416734,12.6,12.5,45.5,37.2,0.4580468934419517,114,137,445,382,0.462,0.7485,0.4498,0.5619
cnv,random_forest,0.4974819051063542,6.3,18.8,21.2,61.5,0.8777875198119252,220,31,100,727,0.6289,0.7659,0.7437,0.7546
