submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label
TCGA-3C-AAAU-01,0.014196947,-0.03269255,0.01384087,-0.07582586,0.01242939,-0.06319542,-0.08238411,0.11062191,0.08262618,-0.046426453,0.11847349,0.066164106,0.008558232,0.12699047,-0.003440658,0.7179007,-0.067335576,-0.05256542,0.08149931,0.15079579,0.06306346,0.08296095,0.02311548,-0.030950993,0.13543507,-0.10822932,-0.049729686,-0.010637511,0.1704268,-0.059026755,-0.11862286,-0.10474676,0
TCGA-3C-AALI-01,0.042042255,0.004708411,0.04744887,-0.07978324,0.027585823,-0.061568335,-0.02188753,0.12961379,-0.091570884,0.032771282,0.085258,-0.025212627,-0.050752874,-0.011527305,0.051521827,-1.5179639,0.024714842,-0.0558353,-0.0032072198,0.030054279,0.017691005,-0.003537815,0.0011857694,0.054893613,0.06596,-0.07408921,0.06515382,-0.08687119,-0.00055631995,-0.04589779,0.059900396,-0.05688645,0
TCGA-3C-AALJ-01,0.011255279,-0.020440517,-0.027187292,0.0030210838,-0.023836475,-0.030808449,-0.11097693,0.068431094,-0.08289936,-0.019020537,0.000676997,-0.017124332,-0.0022669993,-0.016065199,0.0117858555,-1.078932,0.010485858,-0.02994939,-0.04569149,-0.030975156,0.016628552,0.07749881,0.014014626,0.042614758,0.044975348,-0.029436953,-0.04649918,-0.06599617,-0.022063643,-0.026234038,0.0785029,-0.0803165,1
TCGA-3C-AALK-01,0.03158006,-0.00028008036,0.010945377,-0.05003593,0.013875145,-0.04691942,0.03776933,-0.0062393346,-0.06711808,-0.010744223,0.019189239,-0.05463634,-0.03137916,-0.003519182,0.05784552,-1.4034998,0.015828803,-0.00039383024,-0.020359805,-0.004232101,-0.0004239194,-0.028289672,0.0072445367,0.03681147,0.0058350638,-0.011167623,0.002497714,-0.031201903,-0.14974266,9.148568e-05,0.08677464,-0.031635806,1
TCGA-4H-AAAK-01,0.032874316,-0.023101268,0.031109449,-0.052236117,0.021013696,-0.03965871,0.02036954,0.013796678,-0.063899964,0.012375524,0.022663504,-0.038234215,-0.03019553,-0.011061032,0.05220728,-1.3987558,0.0040611625,0.01879964,-0.0053823274,-0.000121288,0.008020926,0.0013957955,-0.013145706,0.044373214,0.00506068,-0.01300589,0.019791242,-0.03579584,-0.100240335,-0.004914053,0.07816694,-0.03366141,1
TCGA-5L-AAT0-01,0.0044251233,-0.06547159,0.03375184,-0.00421869,-0.023869615,0.049452618,0.012404452,0.038833406,0.056600723,0.027786126,-0.061917566,-0.022572301,0.023411725,0.015068109,-0.012499521,0.61985815,-0.035926852,-0.001191698,-0.0063309353,-0.058319025,0.08897732,0.010195646,0.036579605,0.048134923,-0.008753173,0.013142876,0.025843937,-0.01706678,0.034282587,-0.021448083,-0.035859548,0.031491563,1
TCGA-5L-AAT1-01,-0.019974008,-0.0060084667,-0.029553123,0.02427867,0.017483015,0.005220607,0.02345666,-0.0025122487,0.044042047,-0.03168363,0.021973282,0.0032625939,0.029809238,-0.03458113,-0.009314785,0.77517366,0.060391337,-0.008143209,-0.007847099,-0.009588234,0.0028292201,-0.0010278039,0.021273846,-0.03929781,-0.01451879,0.018295161,-0.014582988,0.009532716,-0.008358404,-0.013109021,-0.072062515,-0.03280688,1
TCGA-5T-A9QA-01,0.05530648,-0.011458335,0.045594927,-0.09771339,0.0029261298,-0.07660638,-0.0639165,0.24788634,-0.099840075,0.10020652,0.12692538,0.028210327,-0.04735535,0.0074420823,0.022018006,-1.553712,0.025970057,-0.10286162,0.03418173,0.047275014,0.051005412,0.023322154,-0.015606826,0.06941515,0.10158158,-0.1145212,0.12121917,-0.12994182,0.16709019,-0.05849994,0.044642814,-0.12099604,1
TCGA-A1-A0SB-01,-0.027257875,-0.004312126,-0.0055091036,0.013850868,0.013903227,0.008296087,-0.0017358111,-0.026469143,0.037381437,-0.026690135,0.018095143,-0.01985693,0.03101984,-0.020006474,-0.0036054947,0.74567175,0.0006457269,-0.0032033697,-0.018523542,-0.000506565,-0.017429825,0.013544217,0.007536011,-0.040798686,0.009686209,0.029211141,-0.026280206,0.029470745,-0.0072555244,0.0016080961,-0.026891196,0.021281095,1
TCGA-A1-A0SD-01,-0.040468708,-0.008830255,0.0016915621,0.043519773,0.0030716546,0.019629478,-0.08106189,0.011028593,0.032225836,-0.04228183,0.031556614,0.058744818,-0.029480536,0.016876366,0.008725604,0.74266505,0.055280924,0.035967134,0.0050659496,-0.017228417,-0.012147751,0.019300047,0.021813387,-0.037834942,0.043005295,0.008110948,-0.065323815,-0.022898924,0.062133208,-0.10155664,-0.081506066,0.008672567,1
