run_id,modality,classifier,fold,roc_auc,tn,fp,fn,tp,accuracy,precision,sensitivity,f1
20260414_081249,cnv,rbf_svm,1,0.5572,9,17,19,63,0.6667,0.7875,0.7683,0.7778
20260414_081249,cnv,rbf_svm,2,0.5031,11,14,36,47,0.537,0.7705,0.5663,0.6528
20260414_081249,cnv,rbf_svm,3,0.5752,14,11,34,49,0.5833,0.8167,0.5904,0.6853
20260414_081249,cnv,rbf_svm,4,0.4973,8,17,27,56,0.5926,0.7671,0.6747,0.7179
20260414_081249,cnv,rbf_svm,5,0.5552,13,12,34,49,0.5741,0.8033,0.5904,0.6806
20260414_081249,cnv,rbf_svm,6,0.5494,10,15,25,58,0.6296,0.7945,0.6988,0.7436
20260414_081249,cnv,rbf_svm,7,0.507,13,12,42,41,0.5,0.7736,0.494,0.6029
20260414_081249,cnv,rbf_svm,8,0.5092,11,14,35,48,0.5463,0.7742,0.5783,0.6621
20260414_081249,cnv,rbf_svm,9,0.5066,11,14,35,47,0.5421,0.7705,0.5732,0.6573
20260414_081249,cnv,rbf_svm,10,0.571,13,12,31,51,0.5981,0.8095,0.622,0.7034
20260414_081249,cnv,linear_svm,1,0.6337,19,7,38,44,0.5833,0.8627,0.5366,0.6617
20260414_081249,cnv,linear_svm,2,0.5528,18,7,51,32,0.463,0.8205,0.3855,0.5246
20260414_081249,cnv,linear_svm,3,0.5248,16,9,49,34,0.463,0.7907,0.4096,0.5397
20260414_081249,cnv,linear_svm,4,0.5708,18,7,48,35,0.4907,0.8333,0.4217,0.56
20260414_081249,cnv,linear_svm,5,0.4407,13,12,53,30,0.3981,0.7143,0.3614,0.48
20260414_081249,cnv,linear_svm,6,0.533,14,11,41,42,0.5185,0.7925,0.506,0.6176
20260414_081249,cnv,linear_svm,7,0.4807,15,10,53,30,0.4167,0.75,0.3614,0.4878
20260414_081249,cnv,linear_svm,8,0.4506,15,10,58,25,0.3704,0.7143,0.3012,0.4237
20260414_081249,cnv,linear_svm,9,0.5239,14,11,42,40,0.5047,0.7843,0.4878,0.6015
20260414_081249,cnv,linear_svm,10,0.5063,18,7,58,24,0.3925,0.7742,0.2927,0.4248
20260414_081249,cnv,poly_svm,1,0.4418,3,23,19,63,0.6111,0.7326,0.7683,0.75
20260414_081249,cnv,poly_svm,2,0.4728,14,11,51,32,0.4259,0.7442,0.3855,0.5079
20260414_081249,cnv,poly_svm,3,0.5752,14,11,34,49,0.5833,0.8167,0.5904,0.6853
20260414_081249,cnv,poly_svm,4,0.4388,12,13,50,33,0.4167,0.7174,0.3976,0.5116
20260414_081249,cnv,poly_svm,5,0.5248,16,9,49,34,0.463,0.7907,0.4096,0.5397
20260414_081249,cnv,poly_svm,6,0.5193,10,15,30,53,0.5833,0.7794,0.6386,0.702
20260414_081249,cnv,poly_svm,7,0.5089,14,11,45,38,0.4815,0.7755,0.4578,0.5758
20260414_081249,cnv,poly_svm,8,0.4848,14,11,49,34,0.4444,0.7556,0.4096,0.5312
20260414_081249,cnv,poly_svm,9,0.5005,11,14,36,46,0.5327,0.7667,0.561,0.6479
20260414_081249,cnv,poly_svm,10,0.5466,13,12,35,47,0.5607,0.7966,0.5732,0.6667
20260414_081249,cnv,sigmoid_svm,1,0.4484,10,16,40,42,0.4815,0.7241,0.5122,0.6
20260414_081249,cnv,sigmoid_svm,2,0.6231,17,8,36,47,0.5926,0.8545,0.5663,0.6812
20260414_081249,cnv,sigmoid_svm,3,0.481,12,13,43,40,0.4815,0.7547,0.4819,0.5882
20260414_081249,cnv,sigmoid_svm,4,0.4248,11,14,49,34,0.4167,0.7083,0.4096,0.5191
20260414_081249,cnv,sigmoid_svm,5,0.5431,13,12,36,47,0.5556,0.7966,0.5663,0.662
20260414_081249,cnv,sigmoid_svm,6,0.387,7,18,42,41,0.4444,0.6949,0.494,0.5775
20260414_081249,cnv,sigmoid_svm,7,0.519,13,12,40,43,0.5185,0.7818,0.5181,0.6232
20260414_081249,cnv,sigmoid_svm,8,0.5451,14,11,39,44,0.537,0.8,0.5301,0.6377
20260414_081249,cnv,sigmoid_svm,9,0.6344,18,7,37,45,0.5888,0.8654,0.5488,0.6716
20260414_081249,cnv,sigmoid_svm,10,0.5334,16,9,47,35,0.4766,0.7955,0.4268,0.5556
20260414_081249,cnv,random_forest,1,0.4873,6,20,21,61,0.6204,0.7531,0.7439,0.7485
20260414_081249,cnv,random_forest,2,0.5236,6,19,16,67,0.6759,0.7791,0.8072,0.7929
20260414_081249,cnv,random_forest,3,0.4636,3,22,16,67,0.6481,0.7528,0.8072,0.7791
20260414_081249,cnv,random_forest,4,0.4354,4,21,24,59,0.5833,0.7375,0.7108,0.7239
20260414_081249,cnv,random_forest,5,0.4675,5,20,22,61,0.6111,0.7531,0.7349,0.7439
20260414_081249,cnv,random_forest,6,0.4735,5,20,21,62,0.6204,0.7561,0.747,0.7515
20260414_081249,cnv,random_forest,7,0.4253,5,20,29,54,0.5463,0.7297,0.6506,0.6879
20260414_081249,cnv,random_forest,8,0.4916,5,20,18,65,0.6481,0.7647,0.7831,0.7738
20260414_081249,cnv,random_forest,9,0.4276,4,21,25,57,0.5701,0.7308,0.6951,0.7125
20260414_081249,cnv,random_forest,10,0.4676,6,19,25,57,0.5888,0.75,0.6951,0.7215
20260414_082036,cnv,rbf_svm,1,0.5694,22,4,58,24,0.4259,0.8571,0.2927,0.4364
20260414_082036,cnv,rbf_svm,2,0.5586,21,4,60,23,0.4074,0.8519,0.2771,0.4182
20260414_082036,cnv,rbf_svm,3,0.5508,17,8,48,35,0.4815,0.814,0.4217,0.5556
20260414_082036,cnv,rbf_svm,4,0.5528,18,7,51,32,0.463,0.8205,0.3855,0.5246
20260414_082036,cnv,rbf_svm,5,0.4607,14,11,53,30,0.4074,0.7317,0.3614,0.4839
20260414_082036,cnv,rbf_svm,6,0.5829,18,7,46,37,0.5093,0.8409,0.4458,0.5827
20260414_082036,cnv,rbf_svm,7,0.5067,16,9,52,31,0.4352,0.775,0.3735,0.5041
20260414_082036,cnv,rbf_svm,8,0.4366,14,11,57,26,0.3704,0.7027,0.3133,0.4333
20260414_082036,cnv,rbf_svm,9,0.5039,13,12,42,40,0.4953,0.7692,0.4878,0.597
20260414_082036,cnv,rbf_svm,10,0.4898,19,6,64,18,0.3458,0.75,0.2195,0.3396
20260414_082036,cnv,linear_svm,1,0.6295,21,5,45,37,0.537,0.881,0.4512,0.5968
20260414_082036,cnv,linear_svm,2,0.5588,18,7,50,33,0.4722,0.825,0.3976,0.5366
20260414_082036,cnv,linear_svm,3,0.5508,17,8,48,35,0.4815,0.814,0.4217,0.5556
