run_id,modality,classifier,fold,roc_auc,auprc,tn,fp,fn,tp,accuracy,precision,sensitivity,f1
20260416_120600,cnv,rbf_svm,1,0.4554,0.7569,2,24,15,67,0.6389,0.7363,0.8171,0.7746
20260416_120600,cnv,rbf_svm,2,0.6005,0.8572,3,22,15,68,0.6574,0.7556,0.8193,0.7861
20260416_120600,cnv,rbf_svm,3,0.5258,0.7666,6,19,8,75,0.75,0.7979,0.9036,0.8475
20260416_120600,cnv,rbf_svm,4,0.5706,0.7894,8,17,19,64,0.6667,0.7901,0.7711,0.7805
20260416_120600,cnv,rbf_svm,5,0.546,0.8057,4,21,10,73,0.713,0.7766,0.8795,0.8249
20260416_120600,cnv,rbf_svm,6,0.5113,0.7767,4,21,15,68,0.6667,0.764,0.8193,0.7907
20260416_120600,cnv,rbf_svm,7,0.4752,0.7424,3,22,10,73,0.7037,0.7684,0.8795,0.8202
20260416_120600,cnv,rbf_svm,8,0.5489,0.8064,4,21,10,73,0.713,0.7766,0.8795,0.8249
20260416_120600,cnv,rbf_svm,9,0.4925,0.781,5,20,8,75,0.7407,0.7895,0.9036,0.8427
20260416_120600,cnv,rbf_svm,10,0.4829,0.7641,6,19,17,65,0.6636,0.7738,0.7927,0.7831
20260416_120600,cnv,linear_svm,1,0.4962,0.7663,12,14,41,41,0.4907,0.7455,0.5,0.5985
20260416_120600,cnv,linear_svm,2,0.5511,0.7777,13,12,34,49,0.5741,0.8033,0.5904,0.6806
20260416_120600,cnv,linear_svm,3,0.5104,0.7909,10,15,31,52,0.5741,0.7761,0.6265,0.6933
20260416_120600,cnv,linear_svm,4,0.5658,0.8128,13,12,38,45,0.537,0.7895,0.5422,0.6429
20260416_120600,cnv,linear_svm,5,0.5887,0.8492,12,13,34,49,0.5648,0.7903,0.5904,0.6759
20260416_120600,cnv,linear_svm,6,0.4757,0.7709,9,16,26,57,0.6111,0.7808,0.6867,0.7308
20260416_120600,cnv,linear_svm,7,0.4899,0.7816,11,14,41,42,0.4907,0.75,0.506,0.6043
20260416_120600,cnv,linear_svm,8,0.4583,0.7569,10,15,41,42,0.4815,0.7368,0.506,0.6
20260416_120600,cnv,linear_svm,9,0.4701,0.7546,8,17,36,47,0.5093,0.7344,0.5663,0.6395
20260416_120600,cnv,linear_svm,10,0.529,0.7879,12,13,47,35,0.4393,0.7292,0.4268,0.5385
20260416_120600,cnv,poly_svm,1,0.5206,0.7803,0,26,10,72,0.6667,0.7347,0.878,0.8
20260416_120600,cnv,poly_svm,2,0.4925,0.7693,1,24,3,80,0.75,0.7692,0.9639,0.8556
20260416_120600,cnv,poly_svm,3,0.492,0.7828,1,24,8,75,0.7037,0.7576,0.9036,0.8242
20260416_120600,cnv,poly_svm,4,0.5513,0.8243,3,22,7,76,0.7315,0.7755,0.9157,0.8398
20260416_120600,cnv,poly_svm,5,0.6193,0.817,2,23,1,82,0.7778,0.781,0.988,0.8723
20260416_120600,cnv,poly_svm,6,0.4058,0.7575,2,23,6,77,0.7315,0.77,0.9277,0.8415
20260416_120600,cnv,poly_svm,7,0.4935,0.7883,3,22,7,76,0.7315,0.7755,0.9157,0.8398
20260416_120600,cnv,poly_svm,8,0.4294,0.7418,0,25,8,75,0.6944,0.75,0.9036,0.8197
20260416_120600,cnv,poly_svm,9,0.5557,0.7714,6,19,3,80,0.7963,0.8081,0.9639,0.8791
20260416_120600,cnv,poly_svm,10,0.5683,0.7673,4,21,7,75,0.7383,0.7812,0.9146,0.8427
20260416_120600,cnv,sigmoid_svm,1,0.5052,0.7578,13,13,47,35,0.4444,0.7292,0.4268,0.5385
20260416_120600,cnv,sigmoid_svm,2,0.4747,0.7511,15,10,41,42,0.5278,0.8077,0.506,0.6222
20260416_120600,cnv,sigmoid_svm,3,0.5031,0.7972,12,13,45,38,0.463,0.7451,0.4578,0.5672
20260416_120600,cnv,sigmoid_svm,4,0.4361,0.7395,14,11,51,32,0.4259,0.7442,0.3855,0.5079
20260416_120600,cnv,sigmoid_svm,5,0.4159,0.7452,14,11,41,42,0.5185,0.7925,0.506,0.6176
20260416_120600,cnv,sigmoid_svm,6,0.4973,0.7884,7,18,27,56,0.5833,0.7568,0.6747,0.7134
